Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total big chances saved_Total,total duels won_Total,total effective clearance_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total accurate cross_Total,total att assist_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total interception_Total,total ontarget attempt_Total,total won contest_Total,total won tackle_Total,total goals_Total,total assists_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total big chances saved_p90,total duels won_p90,total effective clearance_p90,total touches in opposition box_p90,total was fouled_p90,total accurate cross_p90,total att assist_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total interception_p90,total ontarget attempt_p90,total won contest_p90,total won tackle_p90,total goals_p90,total assists_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total big chances saved_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total att assist_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total goals_TotalPR,total assists_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total big chances saved_p90PR,total duels won_p90PR,total effective clearance_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total att assist_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total won contest_p90PR,total won tackle_p90PR,total goals_p90PR,total assists_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,3rw4wlo3rlojg4rs9dri2uyvo,E. Kakou,Emmanuel Kakou,21.0,Defender,Côte d'Ivoire,Defender,168.0,50.0,10.0,218.0,8.0,6.0,5.0,0.0,25.0,10.0,392.0,11.0,4.0,0.0,1.0,1.0,2.0,4.0,4.0,7.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,84.17,47.62,0.0,25.0,16.67,48.08,33.33,75.0,0.6850365823282835,0.0,0.0,2.0,0.03682666,0.0,6.0,9.0,0.2329358599999998,138.0,38.57142857142858,11.479591836734697,2.295918367346939,50.05102040816327,1.8367346938775515,1.3775510204081634,1.1479591836734695,0.0,5.739795918367348,2.295918367346939,2.525510204081633,0.9183673469387756,0.0,0.2295918367346939,0.2295918367346939,0.4591836734693878,0.9183673469387756,0.9183673469387756,1.6071428571428572,0.2295918367346939,0.2295918367346939,2.066326530612245,0.0,0.0,0.0,0.0,84.17,47.62,0.0,25.0,16.67,48.08,33.33,75.0,0.1572788071672079,0.0,0.0,0.4591836734693878,0.008455100510204,0.0,1.3775510204081634,2.066326530612245,0.0534801719387754,31.68367346938776,CB,60,35,36,50,49,88,91,44,68,18,90,78,36,50,76,85,85,85,61,65,66,98,41,48,51,51,30,52,36,57,48,25,15,74,90,26,35,57,52,28,39,44,50,75,72,22,38,55,48,95,92,44,78,18,92,82,36,52,78,90,82,82,57,65,70,95,41,48,51,51,30,52,36,57,48,25,15,74,98,26,35,57,57,28,40,45,48,72,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,41gpjj5od0ww4rnopzgp1oetw,I. Diakité,Ibrahim Diakité,22.0,Defender,Guinea,Defender,89.0,49.0,1.0,138.0,9.0,2.0,2.0,0.0,27.0,15.0,389.0,9.0,3.0,0.0,1.0,0.0,1.0,6.0,6.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,79.31,11.11,0.0,50.0,0.0,64.29,64.29,58.33,0.2196614479744555,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0116809799999999,5.0,20.59125964010283,11.336760925449871,0.2313624678663239,31.9280205655527,2.082262210796915,0.4627249357326478,0.4627249357326478,0.0,6.246786632390746,3.470437017994859,2.082262210796915,0.6940874035989718,0.0,0.2313624678663239,0.0,0.2313624678663239,1.3881748071979436,1.3881748071979436,0.4627249357326478,0.0,0.6940874035989718,1.6195372750642674,0.0,0.0,0.0,0.0,79.31,11.11,0.0,50.0,0.0,64.29,64.29,58.33,0.0508214146984601,0.0,0.2313624678663239,0.0,0.0,0.0,0.2313624678663239,0.2313624678663239,0.0027025403598971,1.1568123393316196,RB/RCB,50,20,8,32,70,25,45,52,75,48,70,50,22,25,28,68,60,60,10,30,65,55,38,42,52,52,35,5,22,70,30,85,70,52,40,18,68,15,15,20,20,20,20,20,50,15,10,30,65,30,40,52,70,60,65,55,22,25,28,75,65,60,5,30,70,60,38,42,52,52,35,5,22,70,30,85,70,52,40,18,70,15,15,20,20,20,20,20,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,7vv4ef3y8swdekozwaent3ai1,D. Vanzeir,Dante Vanzeir,28.0,Attacker,Belgium,Striker,21.0,49.0,2.0,67.0,3.0,10.0,6.0,0.0,12.0,1.0,339.0,16.0,1.0,3.0,6.0,4.0,2.0,4.0,4.0,5.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,68.37,50.0,30.0,0.0,20.0,50.0,42.86,87.5,1.1047404264432203,0.6533688024952957,1.0,6.0,0.15869185,2.0,3.0,10.0,0.38680567,34.0,5.575221238938053,13.008849557522124,0.5309734513274337,17.787610619469028,0.7964601769911505,2.6548672566371683,1.592920353982301,0.0,3.185840707964602,0.2654867256637168,4.247787610619469,0.2654867256637168,0.7964601769911505,1.592920353982301,1.0619469026548674,0.5309734513274337,1.0619469026548674,1.0619469026548674,1.327433628318584,0.5309734513274337,0.0,1.8584070796460177,0.0,0.2654867256637168,0.0,0.0,68.37,50.0,30.0,0.0,20.0,50.0,42.86,87.5,0.2932939185247488,0.1734607440252997,0.2654867256637168,1.592920353982301,0.0421305796460177,0.5309734513274337,0.7964601769911505,2.6548672566371683,0.1026917707964601,9.026548672566372,ST,59,59,53,62,44,68,45,51,27,32,37,12,85,77,83,51,32,29,95,36,9,96,22,77,51,51,23,49,87,9,22,85,56,82,64,79,46,64,62,63,47,76,67,74,59,64,56,62,36,59,38,51,18,36,41,13,85,74,95,56,26,23,95,41,9,97,22,79,51,51,23,49,87,9,22,85,56,82,67,82,46,67,54,67,51,79,69,77,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,83tew2ypb9l4lyitwfpoezifo,G. Kondo,Geoffrey Kondo,24.0,Defender,France,Defender,208.0,136.0,29.0,343.0,9.0,2.0,1.0,1.0,16.0,31.0,540.0,4.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,84.69,45.31,25.0,100.0,0.0,42.11,50.0,40.0,0.1638155702611425,0.2708002118022095,1.0,2.0,0.0482448,3.0,29.0,47.0,1.0266040999999997,217.0,34.666666666666664,22.666666666666668,4.833333333333333,57.16666666666666,1.5,0.3333333333333333,0.1666666666666666,0.1666666666666666,2.6666666666666665,5.166666666666667,0.6666666666666666,0.0,0.1666666666666666,0.5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,84.69,45.31,25.0,100.0,0.0,42.11,50.0,40.0,0.0273025950435237,0.0451333686337015,0.1666666666666666,0.3333333333333333,0.0080407999999999,0.5,4.833333333333333,7.833333333333333,0.1711006833333332,36.16666666666666,CB,75,78,92,85,59,34,22,94,38,72,42,6,79,84,76,60,62,61,61,24,82,16,41,48,51,51,35,48,76,98,24,10,38,15,45,88,82,57,62,84,90,100,90,92,57,78,85,68,41,19,16,88,10,48,35,6,74,72,66,50,50,50,34,24,76,11,41,48,51,51,35,48,76,98,24,10,38,15,40,82,70,50,52,76,88,100,85,88,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,8l7tgpuwr3zne4v92a1lgt2j8,V. Konaté,Valy Konaté,19.0,Defender,Côte d'Ivoire,Defender,67.0,106.0,5.0,169.0,8.0,4.0,1.0,0.0,27.0,16.0,503.0,6.0,6.0,4.0,3.0,3.0,1.0,4.0,5.0,13.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,79.72,38.46,15.38,50.0,0.0,55.1,72.73,36.36,0.2412359691818938,0.1829821103660554,2.0,8.0,0.19299269,6.0,20.0,23.0,0.7998985599999997,97.0,11.988071570576542,18.9662027833002,0.8946322067594434,30.238568588469185,1.4314115308151094,0.7157057654075547,0.1789264413518886,0.0,4.831013916500995,2.862823061630219,1.0735586481113322,1.0735586481113322,0.7157057654075547,0.5367793240556661,0.5367793240556661,0.1789264413518886,0.7157057654075547,0.8946322067594434,2.326043737574553,0.0,0.3578528827037773,0.7157057654075547,0.0,0.0,0.0,0.0,79.72,38.46,15.38,50.0,0.0,55.1,72.73,36.36,0.0431634934917901,0.0327403378388568,0.3578528827037773,1.4314115308151094,0.0345314952286282,1.0735586481113322,3.5785288270377738,4.11530815109344,0.1431230027833001,17.355864811133202,LB/LCB,39,78,28,61,81,56,19,50,92,72,53,89,61,42,86,53,61,61,94,28,61,42,42,42,53,53,56,50,39,53,28,61,100,6,44,39,78,86,89,81,72,72,78,67,17,61,22,28,67,44,17,50,67,50,44,89,50,33,75,42,56,61,89,28,50,33,42,42,53,53,56,50,39,53,28,61,100,6,39,39,72,72,72,72,67,67,61,61,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,8owlntesst4ij1fhpot46udjo,V. Martens,Viggo Martens,19.0,Midfielder,Belgium,Midfielder,19.0,53.0,2.0,68.0,2.0,9.0,3.0,0.0,17.0,0.0,426.0,18.0,6.0,4.0,6.0,6.0,3.0,12.0,14.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,73.91,66.67,20.0,33.33,33.33,41.46,25.0,80.0,0.5737477539979252,0.6582921886646002,6.0,9.0,0.25962647,6.0,7.0,14.0,0.6620950199999999,30.0,4.014084507042253,11.19718309859155,0.4225352112676056,14.366197183098592,0.4225352112676056,1.9014084507042253,0.6338028169014085,0.0,3.591549295774648,0.0,3.8028169014084505,1.267605633802817,0.8450704225352113,1.267605633802817,1.267605633802817,0.6338028169014085,2.535211267605634,2.9577464788732395,0.2112676056338028,0.6338028169014085,0.8450704225352113,0.8450704225352113,0.0,0.0,0.0,0.0,73.91,66.67,20.0,33.33,33.33,41.46,25.0,80.0,0.1212143142249137,0.1390758145066056,1.267605633802817,1.9014084507042253,0.0548506626760563,1.267605633802817,1.4788732394366195,2.9577464788732395,0.1398792295774647,6.338028169014084,LM/LCM,67,33,67,33,83,67,33,67,33,50,67,83,100,67,100,67,33,33,33,67,33,50,33,50,67,67,33,100,100,33,67,33,67,83,67,67,67,33,33,67,67,67,67,50,67,33,33,33,67,33,33,67,33,50,33,67,100,67,100,67,33,33,33,33,33,33,33,50,67,67,33,100,100,33,67,33,67,83,33,67,67,33,33,33,33,33,67,33,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,9f5ne3ea3mfrwh36l51ssw6qc,S. Ngoura,Steve Ngoura,21.0,Attacker,France,Striker,20.0,43.0,1.0,62.0,13.0,18.0,16.0,0.0,26.0,1.0,453.0,30.0,6.0,1.0,5.0,2.0,6.0,16.0,19.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,68.13,100.0,33.33,37.5,16.67,34.67,44.83,100.0,1.862858425553292,0.5490210472485989,8.0,9.0,0.32602388,2.0,4.0,3.0,0.3733509999999999,28.0,3.9735099337748334,8.543046357615895,0.1986754966887417,12.317880794701988,2.5827814569536423,3.576158940397351,3.178807947019868,0.0,5.1655629139072845,0.1986754966887417,5.960264900662252,1.1920529801324504,0.1986754966887417,0.9933774834437088,0.3973509933774835,1.1920529801324504,3.178807947019868,3.774834437086093,0.1986754966887417,0.5960264900662252,1.1920529801324504,0.1986754966887417,0.1986754966887417,0.0,0.0,0.0,68.13,100.0,33.33,37.5,16.67,34.67,44.83,100.0,0.3701043229576077,0.1090770292546885,1.589403973509934,1.7880794701986755,0.0647729562913907,0.3973509933774835,0.794701986754967,0.5960264900662252,0.0741756953642383,5.562913907284768,ST,53,54,33,53,77,99,99,51,67,32,90,59,65,67,68,100,86,87,55,56,76,38,56,35,51,51,21,94,91,56,18,13,64,92,92,74,100,76,77,63,55,45,64,69,28,33,28,38,69,92,92,51,59,21,77,41,62,54,56,95,85,87,41,46,74,23,44,35,51,51,21,94,91,56,18,13,64,92,87,67,100,72,74,54,49,38,62,64,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,ditnpqgspoih5ich7c5vn44fe,G. Magnée,Gary Magnée,26.0,Defender,Belgium,Defender,56.0,118.0,14.0,152.0,3.0,6.0,4.0,0.0,18.0,10.0,514.0,17.0,4.0,22.0,21.0,2.0,2.0,14.0,14.0,10.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,72.73,40.0,30.99,21.43,0.0,37.5,42.86,50.0,0.5611422974287307,2.488472686249245,1.0,9.0,0.21917469,3.0,24.0,26.0,1.4620782899999996,86.0,9.80544747081712,20.66147859922179,2.45136186770428,26.614785992217897,0.5252918287937743,1.050583657587549,0.7003891050583657,0.0,3.151750972762646,1.7509727626459144,2.9766536964980546,0.7003891050583657,3.852140077821012,3.67704280155642,0.3501945525291828,0.3501945525291828,2.45136186770428,2.45136186770428,1.7509727626459144,0.0,0.5252918287937743,0.7003891050583657,0.0,0.0,0.0,0.0,72.73,40.0,30.99,21.43,0.0,37.5,42.86,50.0,0.098254487876626,0.4357247894210739,0.1750972762645914,1.575875486381323,0.0383768912451361,0.5252918287937743,4.202334630350195,4.552529182879377,0.2560059262645913,15.058365758754864,CB,10,75,57,20,14,88,84,44,48,18,95,78,100,100,91,85,98,98,80,24,89,39,41,48,51,51,2,26,80,55,24,5,24,26,85,100,82,90,90,84,80,78,95,50,2,68,45,5,8,80,68,44,25,10,95,65,100,100,85,72,95,95,68,24,88,25,41,48,51,51,2,26,80,55,24,5,24,26,72,100,72,82,88,82,80,75,92,40,Pro League
Cercle Brugge,3ix9om1svhd6obl0mbk1otgop,djtyuw7aeennchh7191ysjris,L. Mondele,Lukas Mondele,22.0,Midfielder,Belgium,Midfielder,62.0,77.0,12.0,138.0,1.0,11.0,5.0,0.0,12.0,8.0,493.0,12.0,4.0,1.0,3.0,6.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,82.63,66.67,33.33,50.0,18.18,60.0,0.0,80.0,0.9437953325828496,0.2312939351941138,4.0,4.0,0.07957381,2.0,16.0,15.0,0.2712749999999998,61.0,11.318458417849898,14.056795131845842,2.1906693711967544,25.19269776876268,0.1825557809330628,2.0081135902636915,0.9127789046653144,0.0,2.1906693711967544,1.460446247464503,2.1906693711967544,0.7302231237322515,0.1825557809330628,0.5476673427991886,1.0953346855983772,0.1825557809330628,0.7302231237322515,0.7302231237322515,0.7302231237322515,0.3651115618661257,0.3651115618661257,0.7302231237322515,0.1825557809330628,0.0,0.0,0.0,82.63,66.67,33.33,50.0,18.18,60.0,0.0,80.0,0.1722952939806419,0.0422240449644426,0.7302231237322515,0.7302231237322515,0.0145266590263691,0.3651115618661257,2.920892494929006,2.738336713995943,0.0495228194726166,11.135902636916835,DM/CM,30,48,61,32,14,97,92,48,18,47,92,48,70,50,100,65,61,58,35,92,64,33,92,41,52,52,48,74,65,64,61,62,9,97,97,64,98,55,42,71,64,61,36,42,12,24,55,15,9,94,91,48,6,36,88,30,58,39,97,58,42,39,18,82,55,18,91,41,52,52,48,74,65,64,61,62,9,97,94,58,94,42,36,61,45,48,30,30,Pro League
Club Brugge,1oyb7oym5nwzny8vxf03szd2h,1q935a1d9qmoyo7v6tstqx7je,K. Sabbe,Kyriani Sabbe,21.0,Defender,Belgium,Defender,150.0,168.0,13.0,313.0,3.0,3.0,2.0,0.0,19.0,4.0,440.0,16.0,1.0,5.0,9.0,1.0,0.0,15.0,16.0,5.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,89.43,59.09,50.0,46.67,0.0,55.88,60.0,62.5,0.1875966955551087,0.7880327816870237,1.0,7.0,0.18705242,3.0,32.0,36.0,1.2286305400000004,132.0,30.68181818181818,34.36363636363636,2.6590909090909087,64.02272727272727,0.6136363636363635,0.6136363636363635,0.409090909090909,0.0,3.886363636363636,0.8181818181818181,3.2727272727272725,0.2045454545454545,1.0227272727272727,1.8409090909090908,0.2045454545454545,0.0,3.068181818181818,3.2727272727272725,1.0227272727272727,0.0,1.4318181818181817,1.0227272727272727,0.0,0.0,0.0,0.0,89.43,59.09,50.0,46.67,0.0,55.88,60.0,62.5,0.0383720513635449,0.1611885235268912,0.2045454545454545,1.4318181818181817,0.0382607222727272,0.6136363636363635,6.545454545454545,7.363636363636363,0.2513107922727273,27.0,RB/RCB,85,100,68,100,20,52,45,52,28,8,85,15,90,100,65,25,98,100,42,30,100,32,38,42,52,52,100,90,100,60,30,50,57,68,35,95,68,80,80,62,100,100,95,85,75,100,65,100,20,40,30,52,15,5,90,10,95,100,65,25,100,100,35,30,100,30,38,42,52,52,100,90,100,60,30,50,57,68,35,95,65,80,85,65,100,100,95,90,Pro League
