Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total assists_Total,total blocked scoring att_Total,total interception_Total,total won tackle_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total assists_p90,total blocked scoring att_p90,total interception_p90,total won tackle_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total assists_TotalPR,total blocked scoring att_TotalPR,total interception_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total assists_p90PR,total blocked scoring att_p90PR,total interception_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,12cgiy0t282ywdbr5j78hrxsl,S. McKenna,Scott McKenna,29,Defender,Scotland,Defender,95.0,0.0,99.0,4.0,194.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,10.0,0.0,225.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,90.65,33.33,0.0,100.0,0.0,66.67,77.78,0.0,0.0,0.3308868499363623,0.0,2.0,0.03682666,0.0,21.0,19.0,0.46471215,145.0,38.0,0.0,39.6,1.6,77.6,2.8,1.2,0.0,0.0,0.0,0.4,0.4,3.2,4.0,0.0,0.0,0.8,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,90.65,33.33,0.0,100.0,0.0,66.67,77.78,0.0,0.0,0.1323547399745449,0.0,0.8,0.014730664,0.0,8.4,7.6,0.1858848599999999,58.0,CB,17,40,67,4,21,35,83,6,12,29,52,52,12,4,44,31,25,15,56,46,25,4,6,44,52,77,17,40,85,31,88,90,6,6,88,29,29,29,21,58,44,50,38,62,40,100,17,92,79,92,6,12,29,67,67,33,27,44,31,58,15,75,46,25,4,6,44,52,77,17,40,85,31,88,90,6,6,92,29,46,46,21,90,88,83,92,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,1ic5mnwhm510mptrxz04zmtm2,D. Beljo,Dion Beljo,24,Attacker,Croatia,Striker,17.0,0.0,56.0,1.0,73.0,17.0,11.0,34.0,29.0,5.0,17.0,19.0,40.0,5.0,9.0,506.0,16.0,67.0,11.0,8.0,3.0,8.0,1.0,4.0,0.0,0.0,76.04,100.0,0.0,47.06,47.06,55.56,77.27,100.0,4.292252360744698,1.044350169179146,7.0,5.0,0.28798395,1.0,3.0,7.0,0.67351001,26.0,3.023715415019763,0.0,9.960474308300396,0.1778656126482213,12.98418972332016,3.023715415019763,1.956521739130435,6.047430830039526,5.158102766798419,0.8893280632411068,3.023715415019763,3.379446640316206,7.114624505928854,0.8893280632411068,1.6007905138339922,2.845849802371541,11.91699604743083,1.956521739130435,1.4229249011857708,0.5335968379446641,1.4229249011857708,0.1778656126482213,0.7114624505928854,0.0,0.0,76.04,100.0,0.0,47.06,47.06,55.56,77.27,100.0,0.76344409578463,0.1857539826603224,1.2450592885375495,0.8893280632411068,0.0512224416996047,0.1778656126482213,0.5335968379446641,1.2450592885375495,0.1197942705533596,4.624505928853755,ST,30,37,73,40,67,87,83,100,100,90,87,87,87,63,100,100,100,70,87,97,100,53,63,53,53,80,100,37,47,73,93,87,87,100,93,97,43,80,43,50,70,93,60,13,37,60,47,53,80,87,100,100,93,93,93,87,60,100,100,100,73,93,93,100,47,67,53,53,80,100,37,47,73,93,87,87,100,93,93,47,80,47,40,60,87,47,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,1j99x774oc7dpglwcyy6l1fc9,A. Hoxha,Arbër Hoxha,27,Attacker,Albania,Striker,20.0,1.0,86.0,0.0,105.0,2.0,3.0,16.0,10.0,6.0,13.0,13.0,25.0,1.0,1.0,446.0,5.0,23.0,12.0,9.0,0.0,4.0,1.0,1.0,0.0,0.0,84.0,0.0,8.33,69.23,31.25,41.67,20.0,50.0,1.5109741824102294,0.2551369906417361,9.0,20.0,0.58767874,7.0,0.0,6.0,0.46518731,28.0,4.035874439461884,0.2017937219730941,17.354260089686097,0.0,21.18834080717489,0.4035874439461883,0.6053811659192825,3.2286995515695067,2.0179372197309418,1.210762331838565,2.623318385650224,2.623318385650224,5.044843049327354,0.2017937219730941,0.2017937219730941,1.0089686098654709,4.641255605381166,2.42152466367713,1.816143497757848,0.0,0.8071748878923767,0.2017937219730941,0.2017937219730941,0.0,0.0,84.0,0.0,8.33,69.23,31.25,41.67,20.0,50.0,0.3049051040738131,0.0514850429546104,1.816143497757848,4.035874439461884,0.1185898802690582,1.412556053811659,0.0,1.210762331838565,0.0938718786995515,5.650224215246636,LW,38,46,75,17,75,42,33,75,79,79,42,33,42,25,62,71,62,67,58,33,67,17,12,54,54,100,17,33,92,67,17,12,38,92,25,92,75,83,88,8,38,58,50,33,50,100,17,83,17,17,83,92,75,42,33,42,25,58,92,67,67,83,33,67,17,8,54,54,100,17,33,92,67,17,12,38,92,17,100,92,92,75,8,25,50,33,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,2zbhh5sasfhsez0bfa1suk8ic,L. Kačavenda,Lukas Kacavenda,23,Midfielder,Croatia,Midfielder,57.0,2.0,110.0,4.0,165.0,2.0,10.0,6.0,5.0,1.0,14.0,15.0,35.0,0.0,1.0,431.0,2.0,23.0,11.0,9.0,0.0,2.0,1.0,11.0,0.0,0.0,85.05,50.0,100.0,64.29,33.33,60.34,40.0,84.62,1.0150851237010552,0.9867097301845548,1.0,15.0,0.52341978,4.0,13.0,14.0,0.91812128,68.0,11.902552204176336,0.4176334106728538,22.96983758700696,0.8352668213457077,34.45475638051044,0.4176334106728538,2.0881670533642693,1.2529002320185616,1.0440835266821349,0.2088167053364269,2.923433874709977,3.132250580046404,7.308584686774942,0.0,0.2088167053364269,0.4176334106728538,4.802784222737819,2.296983758700696,1.8793503480278424,0.0,0.4176334106728538,0.2088167053364269,2.296983758700696,0.0,0.0,85.05,50.0,100.0,64.29,33.33,60.34,40.0,84.62,0.2119667311672737,0.2060414749805335,0.2088167053364269,3.132250580046404,0.1092987939675174,0.8352668213457077,2.71461716937355,2.923433874709977,0.1917190607888631,14.19953596287703,LM/LCM,100,40,100,40,100,40,80,20,60,20,60,70,80,30,60,20,100,80,100,40,60,40,100,60,60,80,70,100,100,40,100,80,80,80,60,40,80,80,60,100,100,100,100,100,40,80,20,80,20,80,20,40,20,80,60,100,30,60,20,100,80,100,40,60,40,100,60,60,80,70,100,100,40,100,80,80,40,60,20,80,80,60,100,60,100,100,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,36vtsnz3ifmeyi6m1katae5pm,M. Valinčić,Moris Valincic,23,Defender,Croatia,Defender,56.0,6.0,103.0,5.0,153.0,4.0,6.0,2.0,0.0,2.0,4.0,4.0,19.0,8.0,0.0,315.0,0.0,4.0,5.0,1.0,0.0,1.0,6.0,5.0,0.0,0.0,85.96,55.56,42.86,25.0,0.0,59.38,57.14,55.56,0.1147334691631521,0.6833873848165954,2.0,15.0,0.4443979299999999,10.0,13.0,19.0,0.8536917800000001,67.0,16.0,1.7142857142857142,29.428571428571427,1.4285714285714286,43.71428571428572,1.1428571428571428,1.7142857142857142,0.5714285714285714,0.0,0.5714285714285714,1.1428571428571428,1.1428571428571428,5.428571428571429,2.2857142857142856,0.0,0.0,1.1428571428571428,1.4285714285714286,0.2857142857142857,0.0,0.2857142857142857,1.7142857142857142,1.4285714285714286,0.0,0.0,85.96,55.56,42.86,25.0,0.0,59.38,57.14,55.56,0.032780991189472,0.1952535385190272,0.5714285714285714,4.285714285714286,0.1269708371428571,2.857142857142857,3.7142857142857135,5.428571428571429,0.2439119371428571,19.142857142857142,RB/RCB,21,89,79,32,57,61,86,43,18,82,36,36,50,32,50,39,43,75,29,46,61,75,32,50,54,79,93,100,21,39,100,64,32,29,93,89,89,93,89,61,86,86,64,43,100,100,50,93,71,93,71,18,86,43,43,86,43,50,39,50,93,36,46,71,93,43,50,54,79,93,100,21,39,100,64,32,64,100,93,100,100,100,93,93,93,93,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,4jpwo30o4qp53k59oxvuj90k4,Sergi Domínguez,Sergi Domínguez,21,Defender,Spain,Defender,139.0,0.0,102.0,11.0,241.0,12.0,2.0,2.0,2.0,0.0,1.0,1.0,16.0,21.0,0.0,255.0,0.0,3.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,89.59,57.89,0.0,100.0,0.0,66.67,80.0,66.67,0.2626888211980698,0.1445149947181533,0.0,3.0,0.05740611,1.0,33.0,32.0,0.6200802099999999,177.0,49.05882352941176,0.0,36.0,3.882352941176471,85.05882352941175,4.235294117647059,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.0,0.3529411764705882,0.3529411764705882,5.647058823529411,7.411764705882352,0.0,0.0,1.0588235294117647,0.0,0.3529411764705882,0.0,0.7058823529411764,1.4117647058823528,0.7058823529411764,0.0,0.0,89.59,57.89,0.0,100.0,0.0,66.67,80.0,66.67,0.0927137015993187,0.0510052922534658,0.0,1.0588235294117647,0.02026098,0.3529411764705882,11.647058823529411,11.294117647058822,0.2188518388235293,62.47058823529412,CB,29,40,71,40,42,65,65,46,52,29,52,52,38,46,44,31,40,15,56,46,85,27,21,44,52,67,79,40,85,31,88,96,54,54,62,29,40,38,52,83,77,62,58,92,40,92,62,96,96,79,62,75,29,54,54,88,88,44,31,67,15,62,46,96,62,25,44,52,67,79,40,85,31,88,96,54,75,79,29,58,58,67,100,100,92,100,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,90wyta6l6mfp2aa0egoqy5nxm,M. Lisica,Mateo Lisica,23,Attacker,Croatia,Striker,20.0,11.0,94.0,1.0,103.0,2.0,7.0,3.0,2.0,1.0,7.0,8.0,14.0,3.0,0.0,393.0,1.0,11.0,2.0,4.0,0.0,1.0,2.0,5.0,0.0,0.0,86.55,33.33,34.38,57.14,33.33,48.28,0.0,83.33,0.2388527511042566,0.7949601795678776,1.0,21.0,0.64921135,5.0,5.0,12.0,0.9325523300000004,40.0,4.580152671755726,2.5190839694656493,21.52671755725191,0.2290076335877862,23.587786259541986,0.4580152671755725,1.603053435114504,0.6870229007633588,0.4580152671755725,0.2290076335877862,1.603053435114504,1.8320610687022905,3.206106870229008,0.6870229007633588,0.0,0.2290076335877862,2.5190839694656493,0.4580152671755725,0.9160305343511452,0.0,0.2290076335877862,0.4580152671755725,1.1450381679389314,0.0,0.0,86.55,33.33,34.38,57.14,33.33,48.28,0.0,83.33,0.0546991033063183,0.1820519495193613,0.2290076335877862,4.809160305343512,0.148674354961832,1.1450381679389314,1.1450381679389314,2.748091603053436,0.2135616022900764,9.160305343511451,RW,50,100,75,31,75,62,56,25,25,25,19,19,12,44,25,25,38,12,12,25,31,25,62,56,50,100,44,62,62,44,38,25,100,25,62,12,88,88,75,25,75,75,62,38,100,100,25,75,75,62,25,25,25,12,12,12,38,25,25,25,12,12,25,25,25,75,56,50,100,44,62,62,44,38,25,100,25,62,12,100,100,75,38,75,75,50,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,96yikwkvaqoblxfn43f4gswr9,J. Mišić,Josip Misic,32,Midfielder,Croatia,Midfielder,95.0,0.0,201.0,21.0,296.0,6.0,7.0,6.0,0.0,6.0,4.0,4.0,21.0,5.0,0.0,475.0,1.0,0.0,4.0,3.0,0.0,4.0,6.0,2.0,0.0,0.0,84.57,56.76,0.0,75.0,16.67,60.0,85.71,25.0,0.3352433595476265,0.4564567991015087,4.0,21.0,0.46406364,9.0,46.0,59.0,0.9750773299999996,188.0,18.0,0.0,38.08421052631579,3.978947368421053,56.08421052631579,1.136842105263158,1.3263157894736843,1.136842105263158,0.0,1.136842105263158,0.7578947368421053,0.7578947368421053,3.978947368421053,0.9473684210526316,0.0,0.1894736842105263,0.0,0.7578947368421053,0.5684210526315789,0.0,0.7578947368421053,1.136842105263158,0.3789473684210526,0.0,0.0,84.57,56.76,0.0,75.0,16.67,60.0,85.71,25.0,0.0635197944406029,0.0864865514087069,0.7578947368421053,3.978947368421053,0.0879278475789473,1.7052631578947368,8.715789473684211,11.178947368421053,0.1847514941052631,35.62105263157895,DM/CM,57,29,100,100,95,76,95,93,17,100,38,38,43,38,40,60,7,45,50,43,100,45,17,45,52,57,67,29,76,40,76,100,14,76,86,100,100,100,95,100,100,100,100,43,29,100,100,95,71,95,90,17,100,38,38,38,33,40,57,7,38,48,43,100,33,19,45,52,57,67,29,76,40,76,100,14,76,86,95,100,100,100,100,100,100,95,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,9jz0dmpw8lnorss1a4qbfanl5,S. Radeljić,Stjepan Radeljic,29,Defender,Bosnia and Herzegovina,Defender,213.0,1.0,166.0,22.0,378.0,23.0,7.0,6.0,4.0,2.0,0.0,0.0,32.0,16.0,0.0,450.0,1.0,11.0,2.0,0.0,2.0,1.0,3.0,5.0,0.0,0.0,90.65,61.11,20.0,0.0,16.67,59.26,65.71,71.43,0.6024640824153902,0.6763668773802454,2.0,21.0,0.40349873,6.0,42.0,42.0,1.2872302800000004,256.0,42.6,0.2,33.2,4.4,75.6,4.6,1.4,1.2,0.8,0.4,0.0,0.0,6.4,3.2,0.0,0.2,2.2,0.4,0.0,0.4,0.2,0.6,1.0,0.0,0.0,90.65,61.11,20.0,0.0,16.67,59.26,65.71,71.43,0.120492816483078,0.135273375476049,0.4,4.2,0.080699746,1.2,8.4,8.4,0.2574460560000001,51.2,CB,75,85,92,62,88,100,100,88,77,92,21,21,81,17,44,71,98,46,25,100,65,17,60,44,52,77,83,79,25,62,54,75,77,88,100,94,92,92,92,96,92,100,92,83,92,88,71,88,100,96,96,88,92,21,21,100,12,44,79,100,50,25,100,71,17,73,44,52,77,83,79,25,62,54,75,77,92,96,96,96,96,88,90,92,96,88,Prva HNL
Dinamo Zagreb,7vyubxg6fnmwwyo2nnyhp6j5d,aa39qmdltst984nw5q0pr8j8q,N. Galešić,Niko Galesic,25,Defender,Croatia,Defender,182.0,0.0,126.0,17.0,308.0,7.0,2.0,7.0,4.0,3.0,5.0,5.0,25.0,20.0,2.0,414.0,3.0,6.0,6.0,3.0,0.0,2.0,8.0,6.0,0.0,0.0,90.86,51.52,0.0,60.0,42.86,59.52,63.64,66.67,0.6317479637640084,0.1049351624745677,3.0,23.0,0.47739063,9.0,34.0,34.0,0.6411474100000003,172.0,39.56521739130435,0.0,27.39130434782609,3.695652173913044,66.95652173913044,1.5217391304347827,0.4347826086956522,1.5217391304347827,0.8695652173913044,0.6521739130434783,1.0869565217391306,1.0869565217391306,5.434782608695652,4.347826086956522,0.4347826086956522,0.6521739130434783,1.3043478260869563,1.3043478260869563,0.6521739130434783,0.0,0.4347826086956522,1.7391304347826089,1.3043478260869563,0.0,0.0,90.86,51.52,0.0,60.0,42.86,59.52,63.64,66.67,0.1373365138617409,0.0228119918422973,0.6521739130434783,5.0,0.1037805717391304,1.956521739130435,7.391304347826088,7.391304347826088,0.1393798717391305,37.39130434782609,CB,46,40,88,54,75,35,65,92,77,98,94,92,62,38,98,94,77,90,88,46,85,67,77,44,52,83,71,40,58,83,58,62,54,92,54,100,96,96,100,88,83,67,50,75,40,83,54,79,46,71,100,92,100,100,96,75,33,100,100,83,100,92,46,92,71,96,44,52,83,71,40,58,83,58,62,54,100,54,100,100,100,100,83,83,75,67,Prva HNL
