Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total attempts obox_Total,total ontarget attempt_Total,total goals_Total,total big chances saved_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total attempts obox_p90,total ontarget attempt_p90,total goals_p90,total big chances saved_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total attempts obox_TotalPR,total ontarget attempt_TotalPR,total goals_TotalPR,total big chances saved_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total attempts obox_p90PR,total ontarget attempt_p90PR,total goals_p90PR,total big chances saved_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,1ay3ef800f635ki7nks9w9re,A. Stojchevski,Andrej Stojchevski,23,Defender,North Macedonia,Defender,237.0,1.0,151.0,20.0,387.0,12.0,0.0,4.0,6.0,3.0,1.0,3.0,3.0,26.0,39.0,9.0,810.0,9.0,6.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,87.16,55.56,33.33,66.67,33.33,56.52,57.14,57.14,0.4741264429780186,0.2877795341917305,2.0,5.0,0.13599441,6.0,38.0,34.0,0.9777656899999996,214.0,26.33333333333333,0.1111111111111111,16.77777777777778,2.2222222222222223,43.0,1.3333333333333333,0.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,2.888888888888889,4.333333333333333,1.0,1.0,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,87.16,55.56,33.33,66.67,33.33,56.52,57.14,57.14,0.0526807158864465,0.0319755037990811,0.2222222222222222,0.5555555555555556,0.01511049,0.6666666666666666,4.222222222222222,3.7777777777777777,0.1086406322222221,23.77777777777778,LB/LCB,92,38,92,90,96,74,40,54,78,70,58,26,26,52,82,78,80,68,46,20,76,76,38,48,52,52,80,86,76,88,68,60,54,26,72,52,82,58,60,86,96,96,76,96,92,28,80,72,84,60,40,44,52,28,46,20,20,16,68,54,56,40,38,12,64,70,38,48,52,52,80,86,76,88,68,60,54,26,40,44,76,44,44,68,96,80,68,84,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,1oqsye3np44f24kfne286k6ol,M. Trávník,Michal Trávník,32,Midfielder,Czechia,Midfielder,200.0,13.0,202.0,20.0,389.0,2.0,1.0,13.0,18.0,4.0,7.0,9.0,10.0,60.0,8.0,3.0,800.0,14.0,33.0,6.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,86.83,55.56,23.64,66.67,11.11,61.86,50.0,73.68,1.0712999998264807,1.329275558365695,14.0,17.0,0.4487845200000001,5.0,38.0,51.0,1.7465088900000003,203.0,22.5,1.4625,22.725,2.25,43.7625,0.2249999999999999,0.1124999999999999,1.4625,2.025,0.4499999999999999,0.7875,1.0125,1.125,6.75,0.8999999999999999,0.3374999999999999,1.575,3.7125,0.6749999999999999,1.575,1.575,0.2249999999999999,0.0,0.0,0.0,0.0,86.83,55.56,23.64,66.67,11.11,61.86,50.0,73.68,0.120521249980479,0.1495435003161407,1.575,1.9125,0.0504882585,0.5625,4.275,5.7375,0.196482250125,22.8375,CM/AM,100,96,97,97,97,35,67,74,96,53,94,56,56,100,89,68,62,100,78,100,100,47,29,50,51,51,89,69,39,78,19,92,67,75,69,78,100,93,94,64,94,97,92,97,100,69,69,89,94,19,47,42,69,31,75,31,31,97,69,39,36,97,42,92,92,31,29,50,51,51,89,69,39,78,19,92,67,75,47,50,92,53,56,33,81,89,81,94,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,3x89gzv0j50gqd044j62yxous,Š. Slončík,Simon Sloncík,19,Defender,Czechia,Defender,247.0,0.0,135.0,34.0,382.0,27.0,0.0,2.0,1.0,1.0,0.0,5.0,5.0,60.0,41.0,7.0,720.0,3.0,15.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,84.51,57.63,0.0,40.0,0.0,69.77,67.5,62.5,0.1226487938066299,0.2545544771895871,0.0,10.0,0.1963397499999999,4.0,31.0,37.0,0.8802167900000002,224.0,30.875,0.0,16.875,4.25,47.75,3.375,0.0,0.25,0.125,0.125,0.0,0.625,0.625,7.5,5.125,0.875,0.375,1.875,0.25,1.25,0.0,0.0,0.0,0.125,0.0,0.0,84.51,57.63,0.0,40.0,0.0,69.77,67.5,62.5,0.0153310992258287,0.0318193096486983,0.0,1.25,0.0245424687499999,0.5,3.875,4.625,0.11002709875,28.0,RB/RCB,97,14,86,97,97,100,38,21,19,34,28,64,62,100,93,67,31,97,57,76,21,22,40,98,52,52,76,90,14,53,22,93,93,48,28,41,28,91,76,78,83,83,66,93,100,14,62,90,97,97,38,14,17,28,28,41,41,100,83,55,14,90,45,59,21,22,40,100,52,52,76,90,14,53,22,93,93,48,21,28,28,76,55,55,66,66,45,93,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,3zm27zj8masdyfu4n3tz0w0es,J. Behiratche,Jocelin Behiratche,26,Defender,Côte d'Ivoire,Defender,277.0,0.0,60.0,10.0,337.0,11.0,0.0,4.0,3.0,3.0,0.0,1.0,1.0,32.0,44.0,10.0,651.0,11.0,11.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,92.58,50.0,0.0,100.0,33.33,57.14,78.57,60.0,0.3585950132520516,0.3575772973995176,0.0,1.0,0.10805102,0.0,7.0,5.0,0.3281177,177.0,38.29493087557604,0.0,8.294930875576037,1.3824884792626728,46.58986175115207,1.5207373271889402,0.0,0.5529953917050692,0.4147465437788018,0.4147465437788018,0.0,0.1382488479262673,0.1382488479262673,4.423963133640553,6.082949308755761,1.3824884792626728,1.5207373271889402,1.5207373271889402,0.1382488479262673,0.8294930875576036,0.0,0.1382488479262673,0.0,0.1382488479262673,0.0,0.0,92.58,50.0,0.0,100.0,33.33,57.14,78.57,60.0,0.0495753474542006,0.0494346494100715,0.0,0.1382488479262673,0.014937929032258,0.0,0.967741935483871,0.6912442396313364,0.0453618940092165,24.47004608294931,CB,79,34,50,30,76,58,41,82,58,66,28,43,43,68,79,82,78,92,59,67,28,59,41,95,51,51,97,51,34,88,64,45,89,45,63,84,32,30,63,21,21,7,37,66,84,34,13,8,61,29,41,74,45,55,28,37,37,45,55,74,68,79,58,61,28,47,41,95,51,51,97,51,34,88,64,45,89,45,45,79,32,26,55,21,8,5,13,50,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,50i05npy0v93nfhir5xh0ooic,G. Niarchos,Giannis Niarchos,24,Attacker,Greece,Striker,20.0,0.0,14.0,0.0,34.0,9.0,0.0,1.0,4.0,2.0,2.0,2.0,3.0,20.0,2.0,3.0,237.0,2.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,72.34,0.0,0.0,50.0,0.0,48.78,47.37,50.0,0.2905130769853341,0.0439068291727973,3.0,0.0,0.0,0.0,1.0,1.0,0.01449547,9.0,7.59493670886076,0.0,5.316455696202532,0.0,12.91139240506329,3.4177215189873418,0.0,0.379746835443038,1.518987341772152,0.759493670886076,0.759493670886076,0.759493670886076,1.139240506329114,7.59493670886076,0.759493670886076,1.139240506329114,0.759493670886076,3.037974683544304,0.379746835443038,0.379746835443038,0.759493670886076,0.0,0.0,0.0,0.0,0.0,72.34,0.0,0.0,50.0,0.0,48.78,47.37,50.0,0.1103214216400002,0.0166734794327078,1.139240506329114,0.0,0.0,0.0,0.379746835443038,0.379746835443038,0.0055046088607594,3.4177215189873418,ST,69,25,4,14,22,67,36,8,7,6,49,6,8,58,15,94,3,71,17,28,56,4,15,51,51,49,56,14,25,72,4,89,71,40,3,6,69,7,7,15,12,12,3,12,92,25,17,14,53,83,36,11,14,3,75,14,22,100,39,100,3,94,28,39,83,4,15,51,51,49,56,14,25,72,4,89,71,40,3,8,92,7,7,15,22,14,3,31,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,6ft0p23uh329gr0xc2cdni1ud,Gigli Ndefe,Gigli Nsungani Ndefe,32,Defender,Angola,Defender,92.0,5.0,109.0,3.0,196.0,2.0,0.0,4.0,7.0,6.0,2.0,6.0,6.0,37.0,26.0,7.0,751.0,13.0,19.0,1.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,84.12,23.08,26.32,16.67,28.57,57.81,22.22,40.0,0.954342241286504,0.2580096075222744,1.0,9.0,0.21521317,0.0,11.0,15.0,0.79543256,99.0,11.025299600532623,0.5992010652463382,13.062583222370172,0.3595206391478029,23.48868175765645,0.2396804260985352,0.0,0.4793608521970705,0.8388814913448734,0.7190412782956058,0.2396804260985352,0.7190412782956058,0.7190412782956058,4.434087882822903,3.1158455392809583,0.8388814913448734,1.5579227696404792,2.276964047936085,0.1198402130492676,0.7190412782956058,0.1198402130492676,0.2396804260985352,0.2396804260985352,0.0,0.0,0.0,84.12,23.08,26.32,16.67,28.57,57.81,22.22,40.0,0.1143685775176902,0.0309199263342272,0.1198402130492676,1.078561917443409,0.0257911921438082,0.0,1.318242343541944,1.7976031957390146,0.0953248074567243,11.864181091877496,RB/RCB,52,90,83,14,62,16,38,62,84,90,91,69,69,62,64,67,86,100,31,50,57,84,93,48,52,52,72,14,76,28,67,62,14,7,97,45,66,86,83,5,24,31,59,59,28,76,38,10,24,10,38,34,79,83,83,52,52,38,34,48,69,97,28,21,45,69,93,48,52,52,72,14,76,28,67,62,14,7,83,24,55,62,66,5,10,10,24,21,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,846noswumd4tahm2f7p9g6iac,P. Juroška,Pavel Juroska,25,Midfielder,Czechia,Midfielder,16.0,2.0,26.0,2.0,40.0,0.0,0.0,5.0,6.0,3.0,1.0,7.0,10.0,17.0,2.0,1.0,317.0,7.0,8.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,68.97,66.67,40.0,57.14,33.33,54.84,0.0,80.0,0.5974538252014459,0.3164492018776447,3.0,4.0,0.12890485,1.0,2.0,2.0,0.17454906,17.0,4.542586750788644,0.5678233438485805,7.381703470031546,0.5678233438485805,11.35646687697161,0.0,0.0,1.4195583596214512,1.7034700315457414,0.8517350157728707,0.2839116719242902,1.987381703470032,2.8391167192429023,4.826498422712934,0.5678233438485805,0.2839116719242902,1.987381703470032,2.271293375394322,1.135646687697161,1.135646687697161,0.8517350157728707,0.5678233438485805,0.2839116719242902,0.0,0.0,0.0,68.97,66.67,40.0,57.14,33.33,54.84,0.0,80.0,0.1696241144105051,0.0898436219841893,0.8517350157728707,1.135646687697161,0.0365975914826498,0.2839116719242902,0.5678233438485805,0.5678233438485805,0.0495565154574132,4.826498422712934,LM/LCM,27,50,17,43,20,13,40,50,40,37,27,33,47,47,23,37,17,67,67,63,63,57,57,50,53,53,27,97,93,87,57,73,13,77,53,47,63,23,27,23,7,7,7,20,20,53,20,47,7,13,40,60,53,53,33,53,60,47,20,40,27,67,73,60,80,67,53,50,53,53,27,97,93,87,57,73,13,77,53,53,80,27,33,27,7,7,7,13,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,8zvsos5fsrrf9aizqmyhtt9m,M. Šviderský,Martin Svidersky,23,Midfielder,Slovakia,Midfielder,57.0,2.0,82.0,5.0,137.0,6.0,0.0,5.0,6.0,2.0,2.0,5.0,6.0,26.0,13.0,3.0,405.0,11.0,6.0,2.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,79.65,27.78,22.22,40.0,16.67,61.9,54.55,66.67,0.3864861300531166,0.2283144635313949,4.0,5.0,0.14204024,2.0,12.0,11.0,0.3102483599999999,66.0,12.666666666666666,0.4444444444444444,18.22222222222222,1.1111111111111112,30.444444444444443,1.3333333333333333,0.0,1.1111111111111112,1.3333333333333333,0.4444444444444444,0.4444444444444444,1.1111111111111112,1.3333333333333333,5.777777777777778,2.888888888888889,0.6666666666666666,2.4444444444444446,1.3333333333333333,0.4444444444444444,1.7777777777777777,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,79.65,27.78,22.22,40.0,16.67,61.9,54.55,66.67,0.0858858066784703,0.050736547451421,0.8888888888888888,1.1111111111111112,0.0315644977777777,0.4444444444444444,2.6666666666666665,2.4444444444444446,0.0689440799999999,14.666666666666666,LM/LCM,83,50,87,77,87,87,40,50,40,17,67,27,27,80,93,73,43,43,27,80,87,27,17,100,53,53,67,43,47,60,17,100,90,40,20,20,80,37,33,40,83,80,40,93,100,47,93,67,93,87,40,47,33,13,73,20,20,73,93,70,40,40,20,93,87,13,17,100,53,53,67,43,47,60,17,100,90,40,27,27,87,20,27,40,77,60,27,93,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,9hwxz4jig9tzvusschssz9r6d,T. Kostadinov,Tihomir Kostadinov,30,Midfielder,North Macedonia,Midfielder,118.0,1.0,123.0,8.0,240.0,3.0,0.0,9.0,6.0,3.0,3.0,7.0,7.0,32.0,9.0,5.0,596.0,8.0,15.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,85.11,36.36,25.0,71.43,16.67,52.46,33.33,66.67,0.5615359339245758,0.6690358022463975,3.0,7.0,0.20250283,2.0,17.0,19.0,0.6877795600000001,103.0,17.818791946308725,0.1510067114093959,18.573825503355707,1.2080536912751678,36.24161073825504,0.4530201342281879,0.0,1.359060402684564,0.906040268456376,0.4530201342281879,0.4530201342281879,1.0570469798657718,1.0570469798657718,4.832214765100671,1.359060402684564,0.7550335570469799,1.2080536912751678,2.26510067114094,0.7550335570469799,0.906040268456376,0.4530201342281879,0.1510067114093959,0.0,0.0,0.0,0.0,85.11,36.36,25.0,71.43,16.67,52.46,33.33,66.67,0.084795694720154,0.1010288963123754,0.4530201342281879,1.0570469798657718,0.0305792864093959,0.3020134228187919,2.567114093959732,2.869127516778524,0.1038593295302013,15.553691275167786,DM/CM,62,59,61,29,55,39,34,95,57,64,73,70,70,77,62,32,71,95,84,50,45,48,39,52,52,50,68,20,82,75,45,59,29,52,61,86,66,57,64,36,54,46,61,54,54,61,64,18,57,39,34,100,43,61,75,64,64,54,50,21,64,96,79,46,32,50,39,52,52,50,68,20,82,75,45,59,29,52,54,82,61,36,43,25,46,43,46,46,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,aprzekzw2al3nf4dglv6eicb9,M. Havlík,Marek Havlík,31,Midfielder,Czechia,Midfielder,63.0,7.0,145.0,19.0,201.0,3.0,2.0,13.0,9.0,4.0,2.0,1.0,1.0,13.0,6.0,2.0,657.0,17.0,7.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,76.43,57.58,41.18,0.0,44.44,33.33,42.86,100.0,0.448949653368159,1.3411283050491871,3.0,12.0,0.34860329,2.0,21.0,23.0,1.1130613600000003,82.0,8.63013698630137,0.9589041095890412,19.863013698630137,2.602739726027397,27.534246575342465,0.4109589041095891,0.273972602739726,1.7808219178082192,1.2328767123287672,0.547945205479452,0.273972602739726,0.136986301369863,0.136986301369863,1.7808219178082192,0.8219178082191781,0.273972602739726,2.328767123287671,0.9589041095890412,0.0,0.547945205479452,0.684931506849315,0.547945205479452,0.0,0.0,0.0,0.0,76.43,57.58,41.18,0.0,44.44,33.33,42.86,100.0,0.0614999525161861,0.1837162061711215,0.4109589041095891,1.6438356164383563,0.0477538753424657,0.273972602739726,2.8767123287671232,3.150684931506849,0.1524741589041096,11.232876712328768,RM/RCM,80,87,93,100,87,37,70,87,40,43,37,10,7,13,30,33,47,47,10,37,73,57,27,53,50,50,40,87,100,10,80,7,67,97,33,93,30,67,60,20,100,80,80,80,57,93,93,93,67,33,67,87,33,40,33,7,7,7,13,27,47,33,10,20,67,53,27,53,50,50,40,87,100,10,80,7,67,97,20,93,20,47,47,20,80,60,73,67,Czech League
