Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total assists_Total,total goals_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total assists_p90,total goals_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total goals_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total assists_p90PR,total goals_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,2p86mzr8qnu9iy01fusvovf56,António Silva,António João Pereira de Albuquerque Tavares da Silva,22.0,Defender,Portugal,Defender,125.0,0.0,92.0,20.0,217.0,19.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,24.0,38.0,8.0,450.0,1.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,87.15,62.5,0.0,0.0,25.0,60.0,65.52,80.0,0.5724198684864257,0.0,0.0,11.0,0.22450432,5.0,30.0,35.0,0.8009906599999999,147.0,25.0,0.0,18.4,4.0,43.4,3.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,4.8,7.6,1.6,0.2,1.6,0.2,0.0,0.8,0.0,0.0,0.0,0.0,87.15,62.5,0.0,0.0,25.0,60.0,65.52,80.0,0.1144839736972851,0.0,0.0,2.2,0.044900864,1.0,6.0,7.0,0.1601981319999999,29.4,CB,51,45,65,86,62,92,18,76,85,31,28,19,19,69,95,91,65,82,26,28,76,46,45,43,51,46,81,45,28,55,57,62,80,86,19,36,88,89,85,89,93,97,65,32,45,57,81,43,92,18,72,82,31,28,19,19,54,92,89,57,70,22,28,69,46,45,43,51,46,81,45,28,55,57,62,80,78,19,36,80,81,80,84,86,95,54,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,2wl0uylmkzi2ls7v4amgaa1yi,Evanilson,Francisco Evanilson de Lima Barbosa,26.0,Attacker,Brazil,Striker,28.0,1.0,45.0,2.0,72.0,10.0,6.0,8.0,8.0,0.0,3.0,5.0,5.0,25.0,6.0,5.0,425.0,2.0,16.0,10.0,2.0,2.0,3.0,0.0,0.0,0.0,70.59,50.0,50.0,40.0,25.0,44.64,40.0,66.67,1.137048501581312,0.5810998467632603,1.0,3.0,0.1013393799999999,2.0,6.0,5.0,0.36045621,22.0,5.929411764705883,0.2117647058823529,9.529411764705882,0.4235294117647059,15.24705882352941,2.117647058823529,1.2705882352941176,1.6941176470588235,1.6941176470588235,0.0,0.6352941176470588,1.0588235294117647,1.0588235294117647,5.294117647058823,1.2705882352941176,1.0588235294117647,0.4235294117647059,3.388235294117647,2.117647058823529,0.4235294117647059,0.4235294117647059,0.6352941176470588,0.0,0.0,0.0,70.59,50.0,50.0,40.0,25.0,44.64,40.0,66.67,0.2407867415113366,0.1230564381381021,0.2117647058823529,0.6352941176470588,0.0214601039999999,0.4235294117647059,1.2705882352941176,1.0588235294117647,0.0763319032941176,4.658823529411765,ST,91,87,78,72,87,57,87,20,41,9,70,28,22,72,87,96,17,39,87,20,83,98,11,52,52,35,43,89,20,20,52,39,65,39,96,22,37,39,61,80,59,96,70,87,78,70,70,83,52,78,4,30,9,61,9,9,61,78,96,13,22,83,13,78,96,11,52,52,35,43,89,20,20,52,39,65,26,87,26,35,35,61,74,43,83,65,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,5qgc6zjc38a5xjl35gs7h3vu1,J. Kluivert,Justin Kluivert,27.0,Attacker,Netherlands,Striker,22.0,1.0,29.0,5.0,50.0,1.0,3.0,10.0,6.0,4.0,2.0,5.0,5.0,14.0,0.0,2.0,298.0,6.0,11.0,5.0,4.0,3.0,0.0,1.0,0.0,0.0,78.12,100.0,25.0,80.0,60.0,46.67,20.0,75.0,0.8858470474798074,0.1856572963364509,4.0,3.0,0.0833494499999999,3.0,4.0,4.0,0.08494942,20.0,6.644295302013424,0.3020134228187919,8.758389261744966,1.51006711409396,15.100671140939598,0.3020134228187919,0.906040268456376,3.02013422818792,1.812080536912752,1.2080536912751678,0.6040268456375839,1.51006711409396,1.51006711409396,4.228187919463087,0.0,0.6040268456375839,1.812080536912752,3.322147651006712,1.51006711409396,1.2080536912751678,0.906040268456376,0.0,0.3020134228187919,0.0,0.0,78.12,100.0,25.0,80.0,60.0,46.67,20.0,75.0,0.2675376989032975,0.0560709955378543,1.2080536912751678,0.906040268456376,0.0251726526845637,0.906040268456376,1.2080536912751678,1.2080536912751678,0.0256558651006711,6.04026845637584,ST,78,87,35,100,48,9,43,43,28,89,43,28,22,22,7,85,85,13,46,65,98,37,41,52,52,78,83,74,98,87,74,13,74,22,52,78,37,30,74,61,46,26,61,91,96,61,100,78,9,52,65,35,91,48,52,43,26,7,87,96,17,57,74,100,37,48,52,52,78,83,74,98,87,74,13,74,35,52,83,65,43,83,65,52,43,91,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,7dbzcwyph2xoljyhaogjo7mcp,T. Adams,Tyler Adams,27.0,Midfielder,USA,Midfielder,67.0,0.0,84.0,2.0,151.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,12.0,3.0,8.0,282.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,87.79,28.57,0.0,0.0,100.0,48.0,0.0,28.57,0.0449410565926799,0.0697330274813319,1.0,3.0,0.06207,3.0,19.0,13.0,0.28455758,87.0,21.382978723404257,0.0,26.80851063829787,0.6382978723404256,48.191489361702125,0.6382978723404256,0.6382978723404256,0.3191489361702128,0.0,0.3191489361702128,0.0,0.9574468085106383,0.9574468085106383,3.8297872340425534,0.9574468085106383,2.5531914893617023,0.3191489361702128,0.0,0.9574468085106383,0.0,0.6382978723404256,0.0,0.0,0.0,0.0,87.79,28.57,0.0,0.0,100.0,48.0,0.0,28.57,0.0143428904019191,0.0222552215365952,0.3191489361702128,0.9574468085106383,0.0198095744680851,0.9574468085106383,6.0638297872340425,4.148936170212766,0.0908162489361702,27.76595744680851,DM/CM,40,28,37,8,33,32,23,25,22,40,20,48,48,17,17,92,68,10,38,13,17,38,47,52,50,50,7,28,13,97,23,13,7,17,17,55,22,20,48,67,43,37,40,50,28,63,7,57,37,23,33,22,50,20,57,57,23,23,97,83,10,47,13,20,38,47,52,50,50,7,28,13,97,23,13,7,23,17,70,23,23,57,77,60,47,63,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,80bmtj7l07ohb2h475w955n9,A. Smith,Adam Smith,35.0,Defender,England,Defender,47.0,2.0,51.0,10.0,96.0,6.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,20.0,12.0,4.0,435.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,76.8,40.0,50.0,50.0,0.0,55.56,60.0,40.0,0.0476950386863289,0.2733209342791113,1.0,1.0,0.02756312,1.0,16.0,17.0,0.35636159,41.0,9.724137931034484,0.4137931034482759,10.551724137931036,2.0689655172413794,19.86206896551724,1.2413793103448276,0.6206896551724138,0.2068965517241379,0.0,0.2068965517241379,0.2068965517241379,0.4137931034482759,0.4137931034482759,4.137931034482759,2.4827586206896552,0.8275862068965518,0.0,0.2068965517241379,1.6551724137931036,0.2068965517241379,0.4137931034482759,0.0,0.0,0.0,0.0,76.8,40.0,50.0,50.0,0.0,55.56,60.0,40.0,0.0098679390385508,0.0565491588163678,0.2068965517241379,0.2068965517241379,0.0057027144827586,0.2068965517241379,3.310344827586208,3.517241379310345,0.073729984137931,8.482758620689655,RB/RCB,44,68,40,90,30,58,62,36,20,62,60,34,34,58,54,62,30,8,98,44,22,42,46,50,52,32,52,86,68,30,64,64,26,28,48,64,20,20,34,88,92,56,40,12,60,24,76,20,52,56,32,20,56,48,24,24,36,40,48,30,8,88,32,20,42,46,50,52,32,52,86,68,30,64,64,26,28,44,56,16,16,28,80,80,36,20,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,92qqdiryqd8juqdjq8585476y,A. Truffert,Adrien Truffert,24.0,Defender,France,Defender,69.0,4.0,94.0,9.0,159.0,6.0,4.0,4.0,1.0,3.0,1.0,6.0,6.0,29.0,19.0,7.0,450.0,2.0,7.0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,85.95,56.25,18.18,50.0,50.0,47.54,46.15,52.94,0.1887813202834178,0.3692995544705275,4.0,8.0,0.19585294,6.0,18.0,17.0,0.7367937299999998,77.0,13.8,0.8,18.8,1.8,31.8,1.2,0.8,0.8,0.2,0.6,0.2,1.2,1.2,5.8,3.8,1.4,0.4,1.4,0.6,0.6,1.8,0.0,0.0,0.0,0.0,85.95,56.25,18.18,50.0,50.0,47.54,46.15,52.94,0.0377562640566835,0.0738599108941055,0.8,1.6,0.039170588,1.2,3.6,3.4,0.1473587459999999,15.4,LB/LCB,59,72,63,70,56,63,56,63,37,93,61,76,74,87,78,87,85,67,56,76,87,31,37,44,52,70,74,48,61,89,26,44,37,41,56,100,85,81,81,72,59,63,59,48,67,59,67,44,50,46,59,28,85,44,74,74,80,70,69,80,52,48,70,85,31,37,44,52,70,74,48,61,89,26,44,37,30,52,96,78,78,72,65,52,63,52,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,9ea8t509bssf2bhp1n5xxvrl6,J. Hill,James Hill,24.0,Defender,England,Defender,128.0,1.0,69.0,22.0,196.0,16.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,31.0,6.0,450.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,76.26,36.67,100.0,0.0,0.0,63.64,66.67,55.56,0.0,0.6441337083644461,0.0,2.0,0.04382219,1.0,19.0,24.0,0.6559695700000006,125.0,25.6,0.2,13.8,4.4,39.2,3.2,1.2,0.0,0.0,0.0,0.0,0.4,0.4,5.6,6.2,1.2,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,76.26,36.67,100.0,0.0,0.0,63.64,66.67,55.56,0.0,0.1288267416728892,0.0,0.4,0.008764438,0.2,3.8,4.8,0.1311939140000001,25.0,CB,54,91,59,92,57,81,100,5,9,31,28,77,77,86,74,69,23,23,58,28,86,46,45,43,51,3,22,100,28,23,72,68,46,4,100,36,34,35,35,66,76,84,59,43,91,43,92,35,69,100,5,9,31,28,76,76,78,65,61,23,20,46,28,82,46,45,43,51,3,22,100,28,23,72,68,46,4,100,36,27,27,32,61,70,76,41,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,b3gobhr43y8oxpafvp4f8rgmh,M. Tavernier,Marcus Tavernier,27.0,Midfielder,England,Midfielder,43.0,8.0,96.0,5.0,131.0,3.0,9.0,13.0,8.0,5.0,1.0,9.0,9.0,26.0,5.0,0.0,427.0,8.0,13.0,8.0,4.0,6.0,0.0,3.0,0.0,0.0,84.52,83.33,33.33,44.44,61.54,46.43,27.27,54.55,1.1207170060578415,1.015681838262875,4.0,21.0,0.58539149,7.0,7.0,10.0,0.5560800700000001,46.0,9.063231850117097,1.6861826697892273,20.234192037470727,1.053864168618267,27.6112412177986,0.6323185011709602,1.8969555035128804,2.740046838407494,1.6861826697892273,1.053864168618267,0.2107728337236534,1.8969555035128804,1.8969555035128804,5.480093676814988,1.053864168618267,0.0,1.6861826697892273,2.740046838407494,1.6861826697892273,0.8430913348946136,1.2646370023419204,0.0,0.6323185011709602,0.0,0.0,84.52,83.33,33.33,44.44,61.54,46.43,27.27,54.55,0.2362166991691001,0.2140781392123155,0.8430913348946136,4.426229508196721,0.1233846231850117,1.475409836065574,1.475409836065574,2.107728337236534,0.1172065721311475,9.695550351288055,LM/LCM,80,100,85,70,80,35,90,85,85,90,35,80,80,80,55,30,100,65,85,70,90,45,90,55,55,80,100,70,40,90,40,10,40,80,100,95,100,100,100,60,60,90,70,70,100,90,70,70,10,90,80,80,90,40,70,70,80,50,30,100,50,90,60,90,45,100,55,55,80,100,70,40,90,40,10,40,70,100,90,100,100,100,60,60,90,70,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,db59xs6wi27mder57ocnlidjo,Rayan,Rayan Vitor Simplício Rocha,20.0,Attacker,Brazil,Striker,10.0,2.0,45.0,1.0,53.0,15.0,3.0,12.0,7.0,5.0,3.0,6.0,7.0,27.0,4.0,2.0,438.0,4.0,16.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,62.35,25.0,20.0,33.33,33.33,45.76,42.86,60.0,1.1203751266357242,0.3054395269874639,6.0,13.0,0.43378298,3.0,7.0,10.0,0.39872025,16.0,2.054794520547945,0.4109589041095891,9.246575342465754,0.2054794520547945,10.890410958904113,3.082191780821918,0.6164383561643836,2.4657534246575343,1.4383561643835618,1.0273972602739727,0.6164383561643836,1.2328767123287672,1.4383561643835618,5.5479452054794525,0.8219178082191781,0.4109589041095891,0.8219178082191781,3.2876712328767126,1.0273972602739727,0.4109589041095891,0.6164383561643836,0.0,0.0,0.0,0.0,62.35,25.0,20.0,33.33,33.33,45.76,42.86,60.0,0.2302140671169296,0.0627615466412597,1.2328767123287672,2.671232876712329,0.0891334890410959,0.6164383561643836,1.4383561643835618,2.054794520547945,0.0819288184931506,3.2876712328767126,RW,14,32,50,46,43,100,18,79,86,86,71,21,25,79,64,32,75,54,57,21,43,39,25,54,54,7,39,32,29,54,50,68,43,86,14,82,43,57,39,86,75,36,32,14,21,21,29,7,100,7,71,57,79,50,14,14,50,64,29,50,29,43,14,36,39,25,54,54,7,39,32,29,54,50,68,43,79,7,79,43,50,29,79,50,21,7,Premier League
Bournemouth,1pse9ta7a45pi2w2grjim70ge,mfsus6ryni5b1hjn0y70sbo4,A. Scott,Alex Scott,23.0,Midfielder,England,Midfielder,88.0,2.0,118.0,16.0,204.0,3.0,11.0,7.0,2.0,5.0,4.0,6.0,6.0,33.0,7.0,8.0,446.0,1.0,15.0,17.0,4.0,5.0,0.0,1.0,0.0,0.0,81.6,44.44,13.33,66.67,14.29,58.93,37.5,55.56,0.5641934498961096,0.8286590621319323,3.0,17.0,0.3995060199999999,6.0,25.0,26.0,0.4794653899999999,97.0,17.757847533632287,0.4035874439461883,23.81165919282511,3.2286995515695067,41.16591928251121,0.6053811659192825,2.219730941704036,1.412556053811659,0.4035874439461883,1.0089686098654709,0.8071748878923767,1.210762331838565,1.210762331838565,6.659192825112108,1.412556053811659,1.6143497757847534,0.2017937219730941,3.0269058295964126,3.430493273542601,0.8071748878923767,1.0089686098654709,0.0,0.2017937219730941,0.0,0.0,81.6,44.44,13.33,66.67,14.29,58.93,37.5,55.56,0.1138506961673763,0.1672181963943361,0.6053811659192825,3.430493273542601,0.0806178067264573,1.210762331838565,5.044843049327354,5.246636771300448,0.0967531056053811,19.573991031390133,CM/AM,87,46,67,94,81,65,75,37,23,67,75,48,38,96,92,96,21,65,100,60,81,33,62,50,50,46,38,38,88,13,88,56,50,31,62,44,73,69,62,92,79,38,85,81,42,58,85,73,58,69,19,21,54,62,35,27,88,85,96,8,58,100,46,67,33,62,50,50,46,38,38,88,13,88,56,50,15,54,31,58,58,42,85,65,35,69,Premier League
