Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total big chances saved_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total big chances saved_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Oulu,cy6zs39z79dcfbr4xzkp38z7q,18xd5tutfsezwq4bxdbuc4b9w,I. Mendolin,Iiro Mendolin,20.0,Midfielder,Finland,Midfielder,285.0,1.0,338.0,44.0,622.0,31.0,1.0,15.0,19.0,9.0,10.0,8.0,24.0,26.0,129.0,41.0,1.0,40.0,1891.0,5.0,29.0,35.0,14.0,21.0,0.0,0.0,0.0,78.83,57.89,11.11,58.33,26.32,53.09,55.36,42.0,1.3338087994071537,0.9827412808709638,5.0,20.0,0.517441,7.0,62.0,70.0,1.3703722300000012,281.0,13.564251718667371,0.0475938656795346,16.086726599682706,2.094130089899524,29.603384452670543,1.4754098360655736,0.0475938656795346,0.7139079851930195,0.904283447911158,0.4283447911158117,0.4759386567953463,0.3807509254362771,1.1422527763088313,1.2374405076679005,6.139608672659968,1.95134849286092,0.0475938656795346,1.9037546271813848,0.2379693283976731,1.3802221047065044,1.6657852987837125,0.6663141195134848,0.9994711792702272,0.0,0.0,0.0,78.83,57.89,11.11,58.33,26.32,53.09,55.36,42.0,0.0634811168411654,0.0467724565195064,0.2379693283976731,0.9518773135906928,0.024627017451084,0.3331570597567424,2.950819672131148,3.331570597567425,0.0652213118455844,13.373876255949233,DM/CM,51,29,56,75,50,94,71,63,72,76,72,81,88,88,100,91,65,97,78,88,97,85,72,47,51,51,9,76,26,76,71,59,74,12,71,56,47,41,47,35,53,62,44,44,12,24,26,50,18,91,62,38,56,65,44,71,74,74,88,79,53,94,56,59,74,71,32,47,51,51,9,76,26,76,71,59,74,12,50,21,18,24,29,15,29,29,12,15,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,33va022bhya45v496wz8usn6y,O. Kemppainen,Otto Kemppainen,22.0,Defender,Finland,Defender,194.0,4.0,177.0,17.0,367.0,6.0,1.0,5.0,4.0,2.0,2.0,1.0,24.0,25.0,50.0,43.0,0.0,12.0,1168.0,2.0,7.0,11.0,12.0,14.0,0.0,0.0,0.0,82.1,35.42,16.0,50.0,50.0,44.64,30.0,66.67,0.2598437148971533,0.45966920362684,2.0,31.0,0.79524885,20.0,26.0,28.0,0.9239241100000004,160.0,14.9486301369863,0.3082191780821918,13.638698630136986,1.3099315068493151,28.27910958904109,0.4623287671232877,0.0770547945205479,0.3852739726027397,0.3082191780821918,0.1541095890410959,0.1541095890410959,0.0770547945205479,1.8493150684931507,1.9263698630136987,3.852739726027397,3.3133561643835616,0.0,0.9246575342465754,0.1541095890410959,0.5393835616438356,0.8476027397260274,0.9246575342465754,1.0787671232876712,0.0,0.0,0.0,82.1,35.42,16.0,50.0,50.0,44.64,30.0,66.67,0.0200222040588559,0.03541971603289,0.1541095890410959,2.3886986301369864,0.061277736729452,1.5410958904109588,2.0034246575342465,2.1575342465753424,0.0711927824486301,12.32876712328767,RB/RCB,52,52,50,54,50,40,67,38,38,33,71,60,79,79,46,69,40,60,56,21,54,83,54,46,52,52,67,50,33,52,69,17,15,73,29,42,69,92,96,100,44,38,33,46,33,38,38,38,38,21,67,38,29,29,62,58,79,79,33,71,40,46,54,8,54,79,46,46,52,52,67,50,33,52,69,17,15,73,21,38,67,88,83,100,38,29,25,29,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,3ajk1fh1r7rxjmsljdm5zs639,M. Pitkänen,Mikko Pitkänen,29.0,Defender,Finland,Defender,403.0,0.0,181.0,37.0,584.0,24.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,9.0,61.0,61.0,0.0,6.0,1251.0,2.0,7.0,10.0,6.0,14.0,0.0,0.0,0.0,82.84,41.57,0.0,66.67,100.0,56.48,48.0,66.67,0.3259697227287981,0.1680224634147802,0.0,4.0,0.08608521,2.0,40.0,42.0,0.8597125499999997,361.0,28.992805755395683,0.0,13.021582733812949,2.661870503597122,42.01438848920864,1.7266187050359711,0.0,0.0719424460431654,0.1438848920863309,0.1438848920863309,0.0,0.0,0.6474820143884892,0.6474820143884892,4.388489208633094,4.388489208633094,0.0,0.4316546762589928,0.1438848920863309,0.5035971223021583,0.7194244604316546,0.4316546762589928,1.0071942446043165,0.0,0.0,0.0,82.84,41.57,0.0,66.67,100.0,56.48,48.0,66.67,0.0234510591891221,0.0120879470082575,0.0,0.2877697841726618,0.0061931805755395,0.1438848920863309,2.8776978417266186,3.021582733812949,0.0618498237410071,25.97122302158273,CB,50,36,42,58,45,41,38,26,16,18,17,13,76,75,62,55,33,22,57,28,62,79,78,41,50,51,32,32,36,74,100,42,13,59,24,45,20,24,24,42,47,45,32,47,37,36,26,39,32,32,38,18,11,13,17,13,71,71,58,29,33,11,53,13,61,74,74,41,50,51,32,32,36,74,100,42,13,59,13,42,20,18,24,42,37,29,24,34,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,Tuomas Kaukua,25.0,Attacker,Finland,Striker,291.0,12.0,345.0,28.0,624.0,17.0,1.0,20.0,15.0,9.0,6.0,5.0,91.0,95.0,158.0,60.0,1.0,19.0,2122.0,6.0,48.0,35.0,53.0,34.0,0.0,0.0,0.0,70.67,20.29,24.0,58.24,40.0,56.83,44.74,62.96,1.130883537468829,1.7303694558008895,5.0,77.0,2.34688059,36.0,63.0,89.0,3.141348310000002,306.0,12.342130065975494,0.5089538171536286,14.632422243166824,1.1875589066918002,26.46559849198869,0.7210179076343072,0.0424128180961357,0.8482563619227144,0.6361922714420358,0.3817153628652214,0.2544769085768143,0.2120640904806786,3.8595664467483504,4.029217719132893,6.701225259189443,2.544769085768144,0.0424128180961357,0.8058435438265786,0.2544769085768143,2.0358152686145146,1.4844486333647502,2.247879359095193,1.4420358152686144,0.0,0.0,0.0,70.67,20.29,24.0,58.24,40.0,56.83,44.74,62.96,0.0479639577625799,0.0733898449679924,0.2120640904806786,3.2657869934024504,0.0995378195570216,1.5268614514608858,2.6720075400565504,3.774740810556079,0.1332334344486334,12.978322337417527,LW,100,67,100,100,100,92,29,67,50,46,58,38,100,100,100,100,46,100,50,50,92,100,100,50,54,54,17,25,50,92,83,100,100,67,33,58,42,92,92,100,100,100,83,100,75,50,58,92,75,75,25,25,17,17,17,17,67,67,92,92,42,100,33,25,58,83,100,50,54,54,17,25,50,92,83,100,100,67,17,25,17,58,58,75,83,75,50,92,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,4votdnyh0srvboatz6a20d5p0,J. Paananen,Julius Paananen,19.0,Midfielder,Finland,Midfielder,285.0,0.0,347.0,34.0,632.0,10.0,0.0,12.0,21.0,7.0,14.0,3.0,17.0,19.0,73.0,40.0,1.0,30.0,1684.0,7.0,18.0,16.0,5.0,19.0,0.0,0.0,0.0,80.1,37.36,0.0,29.41,33.33,48.03,40.0,45.24,1.5118621688809282,0.933070420819864,10.0,26.0,0.62065138,6.0,74.0,81.0,1.7481776000000009,316.0,15.231591448931116,0.0,18.545130641330164,1.8171021377672207,33.77672209026128,0.5344418052256532,0.0,0.6413301662707838,1.1223277909738716,0.3741092636579572,0.7482185273159144,0.1603325415676959,0.9085510688836104,1.015439429928741,3.901425178147268,2.137767220902613,0.0534441805225653,1.6033254156769596,0.3741092636579572,0.9619952494061758,0.8551068883610451,0.2672209026128266,1.015439429928741,0.0,0.0,0.0,80.1,37.36,0.0,29.41,33.33,48.03,40.0,45.24,0.0808002346789094,0.0498671840105628,0.5344418052256532,1.3895486935866983,0.0331702043942992,0.3206650831353919,3.954869358669834,4.32897862232779,0.093429919239905,16.88836104513064,DM/CM,51,12,59,56,53,59,28,49,82,71,84,44,76,76,62,88,65,88,93,60,46,47,53,47,51,51,12,15,12,12,81,18,38,18,76,50,81,63,62,25,66,71,56,56,35,12,41,41,32,44,28,29,74,56,82,29,56,56,32,82,59,82,85,41,29,26,38,47,51,51,12,15,12,12,81,18,38,18,65,29,74,44,44,9,56,62,41,35,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,6yreepfqr0qh9o2mlglzkri6t,R. Riski,Roope Riski,35.0,Attacker,Finland,Striker,27.0,0.0,49.0,1.0,76.0,1.0,0.0,3.0,12.0,11.0,1.0,4.0,5.0,5.0,9.0,2.0,2.0,2.0,648.0,5.0,25.0,4.0,1.0,2.0,0.0,0.0,0.0,82.61,33.33,0.0,20.0,41.67,21.95,7.69,66.67,1.083612387796692,0.1002981125124774,2.0,1.0,0.10805102,0.0,3.0,5.0,0.1274110699999999,18.0,3.75,0.0,6.805555555555555,0.1388888888888889,10.555555555555555,0.1388888888888889,0.0,0.4166666666666666,1.6666666666666663,1.5277777777777777,0.1388888888888889,0.5555555555555556,0.6944444444444444,0.6944444444444444,1.25,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.6944444444444444,3.4722222222222223,0.5555555555555556,0.1388888888888889,0.2777777777777778,0.0,0.0,0.0,82.61,33.33,0.0,20.0,41.67,21.95,7.69,66.67,0.1505017205273183,0.0139302934045107,0.2777777777777778,0.1388888888888889,0.0150070861111111,0.0,0.4166666666666666,0.6944444444444444,0.0176959819444444,2.5,ST,32,24,27,18,27,7,19,22,27,31,12,41,12,12,5,12,47,51,32,32,19,16,23,51,50,51,97,35,24,18,70,3,3,58,24,11,19,7,19,7,15,20,14,20,32,24,24,11,27,5,19,11,14,27,8,47,14,14,3,11,46,57,30,22,16,16,20,51,50,51,97,35,24,18,70,3,3,58,19,11,14,5,14,7,14,16,11,8,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,7glr1eur910fj5b5fg743job9,R. Karjalainen,Rasmus Karjalainen,30.0,Attacker,Finland,Striker,105.0,24.0,248.0,15.0,329.0,24.0,3.0,35.0,58.0,43.0,15.0,18.0,19.0,21.0,59.0,21.0,10.0,1.0,2161.0,24.0,87.0,13.0,8.0,8.0,0.0,0.0,0.0,65.54,28.85,20.0,42.11,41.38,40.97,42.11,53.33,6.60410999150899,3.929789590357928,15.0,22.0,0.66959716,8.0,33.0,48.0,1.6353623999999995,133.0,4.372975474317445,0.9995372512725588,10.32855159648311,0.6247107820453494,13.701989819527997,0.9995372512725588,0.1249421564090698,1.4576584914391484,2.4155483572420176,1.790837575196668,0.6247107820453494,0.7496529384544192,0.7913003239241092,0.8745950948634891,2.457195742711708,0.8745950948634891,0.4164738546968995,0.0416473854696899,0.9995372512725588,3.6233225358630254,0.5414160111059694,0.3331790837575196,0.3331790837575196,0.0,0.0,0.0,65.54,28.85,20.0,42.11,41.38,40.97,42.11,53.33,0.2750439145006058,0.1636654618844116,0.6247107820453494,0.916242480333179,0.0278869710319296,0.3331790837575196,1.3743637204997683,1.999074502545117,0.0681085682554372,5.539102267468764,ST,97,97,100,97,97,76,93,97,92,84,95,95,65,66,73,92,93,35,95,86,62,66,74,51,50,51,22,27,76,57,68,49,59,22,92,97,97,91,84,84,100,100,92,97,51,95,59,84,51,38,62,81,41,49,62,73,16,22,11,57,76,27,54,24,14,30,27,51,50,51,22,27,76,57,68,49,59,22,51,97,54,32,30,38,86,84,65,76,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,7ljghcaztuhry0jka0gx0x72s,A. Lietsa,Johan Lietsa,21.0,Defender,Finland,Defender,300.0,1.0,87.0,27.0,386.0,26.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,42.0,47.0,0.0,4.0,823.0,0.0,11.0,6.0,0.0,7.0,0.0,0.0,0.0,80.25,36.99,100.0,0.0,0.0,53.16,56.52,70.0,0.2630024822428607,0.1216025102943307,0.0,2.0,0.04087117,1.0,8.0,20.0,0.5570583600000001,240.0,32.806804374240585,0.1093560145808019,9.513973268529767,2.952612393681653,42.21142162818956,2.8432563791008505,0.0,0.2187120291616039,0.2187120291616039,0.2187120291616039,0.0,0.1093560145808019,0.0,0.0,4.592952612393682,5.139732685297692,0.0,0.4374240583232078,0.0,1.2029161603888214,0.6561360874848117,0.0,0.7654921020656137,0.0,0.0,0.0,80.25,36.99,100.0,0.0,0.0,53.16,56.52,70.0,0.0287609032829373,0.0132979658888089,0.0,0.2187120291616039,0.0044695082624544,0.1093560145808019,0.8748481166464156,2.187120291616039,0.0609176821385176,26.24544349939247,CB,39,75,16,39,32,53,38,43,16,18,17,37,7,7,39,37,33,13,11,50,43,12,30,41,50,51,18,18,99,12,11,26,29,67,18,32,20,13,16,26,12,16,21,34,53,79,11,50,34,82,38,58,16,24,17,53,7,7,63,47,33,16,11,63,47,12,58,41,50,51,18,18,99,12,11,26,29,67,26,50,20,13,13,32,5,13,21,37,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,7os7jcq9ok9jco9kqtscubpp1,J. Pirinen,Juha Pirinen,34.0,Defender,Finland,Defender,758.0,1.0,434.0,94.0,1191.0,59.0,0.0,3.0,8.0,7.0,1.0,0.0,5.0,6.0,123.0,134.0,1.0,22.0,2160.0,4.0,22.0,34.0,2.0,17.0,0.0,0.0,0.0,79.35,34.81,25.0,40.0,50.0,67.58,64.84,60.71,0.9419640622752196,0.2077854479766149,1.0,15.0,0.29844792,1.0,114.0,122.0,2.64259073,747.0,31.58333333333333,0.0416666666666666,18.08333333333333,3.9166666666666665,49.625,2.458333333333333,0.0,0.125,0.3333333333333333,0.2916666666666667,0.0416666666666666,0.0,0.2083333333333333,0.25,5.125,5.583333333333333,0.0416666666666666,0.9166666666666666,0.1666666666666666,0.9166666666666666,1.4166666666666667,0.0833333333333333,0.7083333333333334,0.0,0.0,0.0,79.35,34.81,25.0,40.0,50.0,67.58,64.84,60.71,0.0392485025948008,0.0086577269990256,0.0416666666666666,0.625,0.01243533,0.0416666666666666,4.75,5.083333333333333,0.1101079470833333,31.125,CB,89,75,95,100,92,96,38,61,57,63,54,13,59,64,97,95,79,83,87,79,100,53,84,41,50,51,16,11,76,38,92,97,71,37,61,58,51,70,68,26,97,97,97,92,50,71,63,82,55,53,38,34,34,32,34,13,42,45,79,58,68,42,61,42,97,29,50,41,50,51,16,11,76,38,92,97,71,37,34,32,39,41,34,18,74,76,68,55,Veikkausliiga
Oulu,cy6zs39z79dcfbr4xzkp38z7q,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,Adramane Cassamá,22.0,Defender,Guinea-Bissau,Defender,158.0,5.0,137.0,22.0,290.0,11.0,0.0,3.0,5.0,1.0,4.0,0.0,34.0,36.0,69.0,30.0,0.0,10.0,829.0,1.0,6.0,17.0,23.0,15.0,1.0,0.0,0.0,80.11,37.93,23.81,67.65,20.0,69.7,68.75,83.33,0.3168268458313418,0.3597901747840294,4.0,12.0,0.27190251,9.0,27.0,32.0,0.9843750100000004,135.0,17.15319662243667,0.5428226779252111,14.873341375150783,2.388419782870929,31.483715319662245,1.1942098914354644,0.0,0.3256936067551267,0.5428226779252111,0.1085645355850422,0.4342581423401689,0.0,3.691194209891436,3.90832328106152,7.490952955367914,3.256936067551267,0.0,1.0856453558504222,0.1085645355850422,0.6513872135102534,1.8455971049457176,2.4969843184559712,1.6284680337756334,0.1085645355850422,0.0,0.0,80.11,37.93,23.81,67.65,20.0,69.7,68.75,83.33,0.0343961593785533,0.0390604532334893,0.4342581423401689,1.3027744270205068,0.0295189697225572,0.97708082026538,2.93124246079614,3.474065138721352,0.1068682158021713,14.6562123039807,LB/LCB,43,48,37,48,39,41,22,17,30,13,57,9,83,83,57,35,35,35,33,17,78,91,48,89,52,52,57,43,48,74,50,100,74,100,22,17,57,35,26,43,35,39,22,39,61,52,35,70,43,57,22,9,39,9,57,9,96,96,96,61,35,61,39,17,100,100,83,96,52,52,57,43,48,74,50,100,74,100,26,17,61,43,35,57,35,26,22,39,Veikkausliiga
