Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total assists_Total,total att assist_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total goals_Total,total won contest_Total,total accurate cross_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total assists_p90,total att assist_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total goals_p90,total won contest_p90,total accurate cross_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total goals_TotalPR,total won contest_TotalPR,total accurate cross_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total assists_p90PR,total att assist_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total goals_p90PR,total won contest_p90PR,total accurate cross_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Monaco,4t4hod56fsj7utpjdor8so5q6,28x7i681wkjueanvkevew3bh1,A. Golovin,Aleksandr Golovin,30,Midfielder,Russia,Midfielder,44.0,75.0,7.0,114.0,0.0,5.0,2.0,15.0,2.0,2.0,438.0,2.0,14.0,2.0,3.0,2.0,10.0,3.0,3.0,6.0,6.0,0.0,5.0,5.0,0.0,80.28,63.64,33.33,83.33,40.0,45.45,0.0,37.5,0.3421772102010209,1.0281979005619803,1.0,14.0,0.36472799,4.0,11.0,22.0,0.81021429,43.0,9.04109589041096,15.41095890410959,1.4383561643835618,23.424657534246577,0.0,1.0273972602739727,0.4109589041095891,3.082191780821918,0.4109589041095891,0.4109589041095891,0.4109589041095891,2.876712328767124,0.4109589041095891,0.6164383561643836,0.4109589041095891,2.054794520547945,0.6164383561643836,0.6164383561643836,1.2328767123287672,1.2328767123287672,0.0,1.0273972602739727,1.0273972602739727,0.0,80.28,63.64,33.33,83.33,40.0,45.45,0.0,37.5,0.070310385657744,0.2112735412113658,0.2054794520547945,2.876712328767124,0.0749441075342465,0.8219178082191781,2.26027397260274,4.52054794520548,0.1664823883561643,8.835616438356166,CM/AM,48,50,71,46,15,60,44,50,42,38,71,81,19,46,92,88,77,90,48,44,35,79,88,50,21,52,81,96,73,38,17,31,42,92,33,79,83,52,58,88,100,33,17,21,54,17,15,33,38,12,33,29,54,46,8,33,83,62,62,83,42,38,35,71,75,50,21,52,81,96,73,38,17,31,29,71,29,62,71,33,33,62,83,12,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,2jc6sdkse1kxjztsgystidot1,D. Zakaria,Denis Zakaria,29,Midfielder,Switzerland,Midfielder,83.0,99.0,5.0,182.0,2.0,5.0,0.0,17.0,13.0,4.0,436.0,3.0,4.0,3.0,5.0,0.0,0.0,5.0,0.0,8.0,8.0,0.0,5.0,0.0,0.0,92.39,71.43,0.0,62.5,60.0,56.67,50.0,71.43,0.3082332056690435,0.0,3.0,6.0,0.13437951,5.0,16.0,17.0,0.2374789099999999,81.0,17.13302752293578,20.43577981651376,1.0321100917431194,37.56880733944954,0.4128440366972477,1.0321100917431194,0.0,3.5091743119266057,2.6834862385321103,0.8256880733944955,0.6192660550458716,0.8256880733944955,0.6192660550458716,1.0321100917431194,0.0,0.0,1.0321100917431194,0.0,1.651376146788991,1.651376146788991,0.0,1.0321100917431194,0.0,0.0,92.39,71.43,0.0,62.5,60.0,56.67,50.0,71.43,0.0636261204362704,0.0,0.6192660550458716,1.2385321100917432,0.027738889678899,1.0321100917431194,3.302752293577982,3.5091743119266057,0.0490208759174311,16.720183486238533,DM/CM,45,53,20,48,52,61,18,55,89,32,82,48,38,56,38,8,85,15,79,77,42,89,24,50,94,59,24,65,91,73,67,64,48,11,68,56,52,86,50,45,15,39,24,45,6,39,48,52,18,48,85,23,76,41,33,48,38,8,79,15,76,73,42,85,24,50,94,59,24,65,91,73,67,64,42,11,61,45,36,76,42,42,9,27,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,370bp4zp3mxe27rtx3gwhcems,S. Idumbo,Stanis Idumbo,21,Midfielder,Belgium,Midfielder,29.0,58.0,3.0,85.0,0.0,10.0,4.0,18.0,8.0,1.0,325.0,3.0,11.0,4.0,4.0,0.0,4.0,6.0,3.0,13.0,13.0,1.0,8.0,2.0,0.0,85.86,37.5,40.0,61.54,30.0,51.43,0.0,66.67,0.7326704096985863,0.3629816399063862,7.0,16.0,0.42929859,7.0,4.0,5.0,0.35122986,29.0,8.03076923076923,16.06153846153846,0.8307692307692307,23.538461538461537,0.0,2.769230769230769,1.1076923076923078,4.984615384615385,2.2153846153846155,0.2769230769230769,0.8307692307692307,3.046153846153846,1.1076923076923078,1.1076923076923078,0.0,1.1076923076923078,1.6615384615384614,0.8307692307692307,3.6,3.6,0.2769230769230769,2.2153846153846155,0.5538461538461539,0.0,85.86,37.5,40.0,61.54,30.0,51.43,0.0,66.67,0.2028933442242239,0.1005179925894608,1.9384615384615385,4.430769230769231,0.1188826864615384,1.9384615384615385,1.1076923076923078,1.3846153846153846,0.0972636535384615,8.03076923076923,LM/LCM,38,25,31,25,25,100,75,75,88,25,81,75,88,62,31,44,100,100,100,100,94,100,56,56,50,12,62,75,62,75,25,62,88,50,100,81,88,100,25,12,25,25,25,25,25,25,25,100,88,88,88,38,88,75,75,62,31,50,100,100,100,100,100,100,62,56,50,12,62,75,62,75,25,62,100,50,100,88,88,100,25,12,25,12,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,4dkerrlcqxybg52pose3qxas,P. Brunner,Paris Brunner,20,Attacker,Germany,Striker,11.0,38.0,2.0,49.0,7.0,16.0,12.0,21.0,4.0,0.0,390.0,9.0,24.0,5.0,2.0,0.0,5.0,4.0,3.0,13.0,13.0,4.0,3.0,0.0,0.0,73.13,66.67,0.0,23.08,56.25,42.0,58.33,33.33,1.8020668833967413,0.363747207625543,5.0,2.0,0.13190251,2.0,5.0,4.0,0.1907878099999999,24.0,2.5384615384615388,8.76923076923077,0.4615384615384615,11.307692307692308,1.6153846153846154,3.692307692307693,2.7692307692307696,4.846153846153847,0.9230769230769232,0.0,2.076923076923077,5.538461538461539,1.153846153846154,0.4615384615384615,0.0,1.153846153846154,0.9230769230769232,0.6923076923076924,3.0,3.0,0.9230769230769232,0.6923076923076924,0.0,0.0,73.13,66.67,0.0,23.08,56.25,42.0,58.33,33.33,0.4158615884761711,0.0839416632982022,1.153846153846154,0.4615384615384615,0.0304390407692307,0.4615384615384615,1.153846153846154,0.9230769230769232,0.0440279561538461,5.538461538461539,ST,22,61,46,39,67,87,87,70,87,17,93,78,61,61,33,67,91,80,100,91,93,61,39,52,30,30,39,26,74,48,83,35,91,61,91,22,48,63,70,37,48,70,9,52,35,26,61,83,74,57,83,17,87,57,52,61,33,43,87,78,96,87,91,48,39,52,30,30,39,26,74,48,83,35,83,43,83,17,43,65,65,26,30,61,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,52bg33ueyjgfvlh0x4n4rks2c,M. Coulibaly,Mamadou Coulibaly,22,Midfielder,France,Midfielder,30.0,43.0,2.0,71.0,0.0,0.0,0.0,14.0,1.0,4.0,211.0,0.0,4.0,7.0,2.0,0.0,3.0,0.0,0.0,9.0,10.0,0.0,3.0,2.0,0.0,80.68,40.0,100.0,33.33,0.0,37.84,0.0,50.0,0.0,0.2647971900590639,0.0,5.0,0.16359375,3.0,3.0,4.0,0.1614842499999999,17.0,12.796208530805687,18.34123222748816,0.8530805687203791,30.28436018957346,0.0,0.0,0.0,5.971563981042654,0.4265402843601895,1.706161137440758,0.0,1.706161137440758,2.985781990521327,0.8530805687203791,0.0,1.2796208530805686,0.0,0.0,3.838862559241706,4.265402843601896,0.0,1.2796208530805686,0.8530805687203791,0.0,80.68,40.0,100.0,33.33,0.0,37.84,0.0,50.0,0.0,0.1129466687455722,0.0,2.132701421800948,0.0697793246445497,1.2796208530805686,1.2796208530805686,1.706161137440758,0.0688795379146919,7.251184834123222,RM/RCM,30,20,35,20,20,10,10,30,10,65,25,10,90,30,35,30,25,15,70,70,35,45,50,55,40,50,100,35,25,20,20,50,10,30,35,20,30,40,15,20,20,10,50,40,40,40,20,10,10,80,10,80,25,10,100,50,35,40,25,15,90,90,35,60,70,55,40,50,100,35,25,20,20,50,10,30,35,40,40,50,20,20,30,10,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,7mg9ycwc9ay4fdedl0dpp5nca,Flávio Nazinho,Flávio Basilua Jacinto Nazinho,23,Defender,Portugal,Defender,103.0,114.0,4.0,214.0,2.0,1.0,1.0,17.0,16.0,9.0,440.0,1.0,3.0,4.0,5.0,1.0,5.0,0.0,0.0,4.0,4.0,1.0,1.0,3.0,0.0,84.58,28.57,18.75,25.0,100.0,53.12,50.0,50.0,0.1394521354400326,0.6141060223464994,0.0,7.0,0.15252704,2.0,22.0,20.0,0.5333944099999999,124.0,21.068181818181817,23.318181818181817,0.8181818181818181,43.77272727272727,0.409090909090909,0.2045454545454545,0.2045454545454545,3.477272727272727,3.2727272727272725,1.8409090909090908,0.2045454545454545,0.6136363636363635,0.8181818181818181,1.0227272727272727,0.2045454545454545,1.0227272727272727,0.0,0.0,0.8181818181818181,0.8181818181818181,0.2045454545454545,0.2045454545454545,0.6136363636363635,0.0,84.58,28.57,18.75,25.0,100.0,53.12,50.0,50.0,0.0285243004309157,0.1256125954799657,0.0,1.4318181818181817,0.0311987127272727,0.409090909090909,4.5,4.090909090909091,0.1091034020454545,25.363636363636363,LB/LCB,83,96,42,88,42,46,65,52,75,88,79,56,56,67,94,88,29,44,44,40,94,23,75,46,62,29,29,17,94,50,56,46,67,96,27,75,67,31,100,71,62,92,62,96,25,75,38,38,67,29,58,79,79,33,38,54,96,75,29,44,38,33,92,12,71,46,62,29,29,17,94,50,56,46,54,79,27,54,50,25,96,58,38,79,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,8eq4c5cotvem9ae9uzb2yezo4,L. Camara,Lamine Camara,22,Midfielder,Senegal,Midfielder,144.0,120.0,23.0,262.0,3.0,2.0,1.0,46.0,4.0,8.0,450.0,1.0,1.0,11.0,17.0,1.0,3.0,1.0,0.0,11.0,11.0,0.0,6.0,2.0,0.0,91.93,71.88,28.57,54.55,50.0,64.79,42.86,65.38,0.1419719369177397,0.134417794098967,1.0,11.0,0.2239488399999999,3.0,24.0,18.0,0.6162987700000001,129.0,28.8,24.0,4.6,52.4,0.6,0.4,0.2,9.2,0.8,1.6,0.2,0.2,2.2,3.4,0.2,0.6,0.2,0.0,2.2,2.2,0.0,1.2,0.4,0.0,91.93,71.88,28.57,54.55,50.0,64.79,42.86,65.38,0.0283943873835479,0.0268835588197934,0.2,2.2,0.0447897679999999,0.6,4.8,3.6,0.123259754,25.8,DM/CM,82,77,89,82,64,24,47,97,29,82,47,18,100,97,86,36,23,15,97,92,42,95,80,50,82,64,64,58,82,88,58,42,27,27,30,79,73,55,80,52,79,73,70,62,79,67,55,21,36,97,21,68,41,9,97,97,76,27,12,15,86,85,42,94,77,50,82,64,64,58,82,88,58,42,24,27,18,76,70,44,64,45,70,61,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,adb8skc3qbvgunhzd9651lij8,Vanderson,Vanderson de Oliveira Campos,25,Defender,Brazil,Defender,75.0,107.0,13.0,180.0,4.0,2.0,0.0,29.0,13.0,9.0,411.0,0.0,9.0,3.0,8.0,0.0,3.0,2.0,2.0,6.0,7.0,0.0,4.0,2.0,1.0,78.6,48.15,16.67,66.67,0.0,63.04,66.67,44.44,0.1346220954900729,0.3863576362083939,1.0,15.0,0.36871274,6.0,15.0,21.0,0.8966858100000001,82.0,16.423357664233578,23.43065693430657,2.8467153284671536,39.416058394160586,0.8759124087591241,0.437956204379562,0.0,6.35036496350365,2.8467153284671536,1.9708029197080288,0.0,1.9708029197080288,0.6569343065693432,1.7518248175182485,0.0,0.6569343065693432,0.437956204379562,0.437956204379562,1.3138686131386863,1.5328467153284673,0.0,0.8759124087591241,0.437956204379562,0.218978102189781,78.6,48.15,16.67,66.67,0.0,63.04,66.67,44.44,0.0294792909832276,0.0846038619434439,0.218978102189781,3.2846715328467155,0.0807400160583941,1.3138686131386863,3.2846715328467155,4.598540145985401,0.1963545569343066,17.956204379562045,RB/RCB,43,90,76,71,69,45,17,86,62,93,29,81,55,88,45,50,74,86,69,71,36,83,48,98,14,52,52,76,29,88,90,40,43,57,60,90,90,79,67,79,86,74,33,86,81,57,71,43,17,95,57,81,29,71,57,86,45,43,76,86,71,71,36,86,48,95,14,52,52,76,29,88,90,40,43,57,57,90,90,76,71,76,71,57,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,az7wa6km1zhvsb8y4mndlogyd,E. Dier,Eric Dier,32,Defender,England,Defender,184.0,110.0,14.0,294.0,12.0,4.0,4.0,21.0,38.0,4.0,450.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,91.3,48.28,0.0,100.0,25.0,72.41,80.0,42.86,0.5470475947091225,0.141507968228175,0.0,0.0,0.0,0.0,11.0,11.0,0.3766281999999999,212.0,36.8,22.0,2.8,58.8,2.4,0.8,0.8,4.2,7.6,0.8,0.2,1.0,0.0,0.6,0.2,0.2,0.0,0.0,0.4,0.4,0.2,0.4,0.0,0.0,91.3,48.28,0.0,100.0,25.0,72.41,80.0,42.86,0.1094095189418244,0.0283015936456349,0.0,0.0,0.0,0.0,2.2,2.2,0.0753256399999999,42.4,CB,56,92,81,75,75,88,92,75,100,31,83,79,8,38,96,56,38,38,90,88,94,94,46,40,62,54,46,92,79,88,88,21,92,75,40,17,17,25,52,54,67,88,33,83,75,58,62,81,85,42,100,17,81,75,8,29,94,46,38,38,83,83,92,92,46,40,62,54,46,92,79,88,88,21,83,75,40,17,17,25,48,50,54,79,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,bffc3dzdi9c6ix77k1yaepjpw,S. Sané,Sadibou Sané,22,Defender,Senegal,Defender,165.0,95.0,12.0,260.0,4.0,0.0,0.0,15.0,27.0,2.0,450.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.19,60.0,0.0,0.0,0.0,55.56,36.36,50.0,0.0007672799402073,0.0622285307930503,0.0,2.0,0.0409104899999999,2.0,24.0,23.0,0.4108438599999999,146.0,33.0,19.0,2.4,52.0,0.8,0.0,0.0,3.0,5.4,0.4,0.0,0.6,0.6,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.19,60.0,0.0,0.0,0.0,55.56,36.36,50.0,0.0001534559880414,0.01244570615861,0.0,0.4,0.0081820979999999,0.4,4.8,4.6,0.0821687719999999,29.2,RB/RCB,90,71,69,95,69,12,17,29,100,17,29,38,55,57,45,26,26,19,10,7,36,12,19,48,100,93,19,12,29,62,48,55,19,19,26,24,29,40,95,90,43,86,90,62,67,90,50,12,17,19,100,10,29,31,48,50,45,19,26,19,10,7,36,12,19,48,100,93,19,12,29,62,48,55,19,19,26,21,24,33,90,81,33,81,Ligue 1
