Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total att assist_Total,total big chances saved_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total mins played,total won contest_Total,total aerial won_Total,total assists_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total goals_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total accurate cross_Total,total won tackle_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total att assist_p90,total big chances saved_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total won contest_p90,total aerial won_p90,total assists_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total accurate cross_p90,total won tackle_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total big chances saved_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total won contest_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total won tackle_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total att assist_p90PR,total big chances saved_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total won contest_p90PR,total aerial won_p90PR,total assists_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total won tackle_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Köln,8q1ul09cygzswb7tb456bmifv,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,Luka Lochoshvili,28,Defender,Georgia,Defender,158.0,71.0,4.0,229.0,1.0,0.0,2.0,2.0,15.0,23.0,360.0,1.0,11.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,1.0,0.0,92.71,25.0,0.0,50.0,0.0,53.57,61.11,100.0,0.6956124939196415,0.0299205811480454,0.0,1.0,0.01870347,0.0,6.0,10.0,0.19245419,143.0,39.5,17.75,1.0,57.25,0.25,0.0,0.5,0.5,3.75,5.75,0.25,2.75,0.0,1.25,1.25,0.0,0.25,0.0,0.25,0.0,2.25,0.5,0.0,0.25,0.0,92.71,25.0,0.0,50.0,0.0,53.57,61.11,100.0,0.1739031234799103,0.0074801452870113,0.0,0.25,0.0046758675,0.0,1.5,2.5,0.0481135475,35.75,CB,90,53,17,73,50,48,75,75,33,47,65,57,42,87,87,38,67,42,7,33,83,47,45,13,50,90,10,45,55,33,37,60,90,87,40,38,40,37,22,33,40,27,67,87,53,7,70,38,48,75,75,28,43,58,52,42,82,82,38,58,42,5,33,83,43,45,7,50,90,10,45,55,33,37,60,90,87,40,38,35,33,22,33,40,27,67,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,42rwtl17m029bdkerhfixiolw,M. Moore,Mikey Moore,19,Attacker,England,Striker,11.0,38.0,1.0,49.0,2.0,0.0,13.0,15.0,10.0,1.0,209.0,7.0,1.0,0.0,8.0,3.0,5.0,0.0,0.0,2.0,4.0,14.0,1.0,0.0,1.0,0.0,80.33,50.0,0.0,53.85,50.0,43.48,25.0,100.0,0.6266706588183778,0.2710509739769852,5.0,9.0,0.25061585,4.0,1.0,3.0,0.2781435599999999,15.0,4.7368421052631575,16.363636363636363,0.4306220095693779,21.10047846889952,0.8612440191387559,0.0,5.598086124401913,6.45933014354067,4.30622009569378,0.4306220095693779,3.014354066985646,0.4306220095693779,0.0,3.444976076555024,1.2918660287081338,2.15311004784689,0.0,0.0,0.8612440191387559,1.7224880382775118,6.028708133971292,0.4306220095693779,0.0,0.4306220095693779,0.0,80.33,50.0,0.0,53.85,50.0,43.48,25.0,100.0,0.2698581784385359,0.1167205151097065,2.15311004784689,3.8755980861244015,0.1079207009569377,1.7224880382775118,0.4306220095693779,1.2918660287081338,0.1197747387559808,6.45933014354067,LW,18,36,36,27,23,55,73,73,14,50,82,36,32,50,18,86,14,18,82,82,36,9,27,18,55,55,64,27,73,77,55,36,86,45,36,86,73,55,73,14,32,36,18,27,73,45,55,36,55,73,73,45,55,82,55,32,82,45,91,14,18,82,100,64,9,27,27,55,55,64,27,73,77,55,36,86,73,55,100,82,82,91,18,36,36,45,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,512mx8ixg85cbefyan94g82y1,G. Mensah,Gideon Mensah,28,Defender,Ghana,Defender,75.0,93.0,8.0,165.0,2.0,0.0,8.0,8.0,10.0,7.0,334.0,2.0,2.0,0.0,4.0,0.0,4.0,2.0,0.0,6.0,0.0,0.0,2.0,3.0,2.0,0.0,89.19,61.54,23.08,25.0,0.0,37.04,0.0,50.0,0.4977617514321093,0.2265781055004916,3.0,12.0,0.22615737,4.0,21.0,27.0,0.66686471,74.0,20.20958083832335,25.05988023952096,2.155688622754491,44.461077844311376,0.5389221556886228,0.0,2.155688622754491,2.155688622754491,2.694610778443113,1.8862275449101795,0.5389221556886228,0.5389221556886228,0.0,1.0778443113772456,0.0,1.0778443113772456,0.5389221556886228,0.0,1.616766467065868,0.0,0.0,0.5389221556886228,0.8083832335329341,0.5389221556886228,0.0,89.19,61.54,23.08,25.0,0.0,37.04,0.0,50.0,0.1341274180505683,0.0610539805240845,0.8083832335329341,3.2335329341317363,0.0609406086826347,1.0778443113772456,5.658682634730539,7.275449101796407,0.1796940835329341,19.940119760479043,LB/LCB,70,80,95,70,35,50,88,85,15,28,72,22,32,78,12,98,80,40,72,22,5,35,78,18,52,85,95,72,42,22,15,8,32,90,45,98,80,75,72,90,95,70,65,65,75,85,65,40,50,90,90,15,20,75,20,32,70,12,95,85,40,70,22,5,30,80,15,52,85,95,72,42,22,15,8,32,75,45,95,75,75,70,85,95,65,60,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,7dayrhr0c60zbc1b6lig8pm8l,A. Castro-Montes,Alessio Castro-Montes,29,Midfielder,Belgium,Midfielder,32.0,52.0,5.0,79.0,4.0,0.0,5.0,5.0,16.0,8.0,311.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,5.0,7.0,0.0,72.48,35.71,22.73,60.0,0.0,64.0,42.86,77.78,0.0,0.4736795273657448,0.0,14.0,0.3464208900000001,8.0,5.0,10.0,0.4487122699999999,43.0,9.260450160771704,15.048231511254018,1.4469453376205788,22.861736334405144,1.157556270096463,0.0,1.4469453376205788,1.4469453376205788,4.630225080385852,2.315112540192926,0.8681672025723473,0.8681672025723473,0.0,0.0,0.0,0.0,0.0,0.0,1.157556270096463,0.0,1.7363344051446945,0.2893890675241157,1.4469453376205788,2.02572347266881,0.0,72.48,35.71,22.73,60.0,0.0,64.0,42.86,77.78,0.0,0.1370776767296367,0.0,4.05144694533762,0.1002504183279743,2.315112540192926,1.4469453376205788,2.893890675241157,0.1298524254019292,12.443729903536976,RM/RCM,75,88,94,75,44,56,44,44,62,75,56,56,38,12,19,25,25,44,88,19,56,25,62,88,56,25,50,25,88,19,100,62,75,12,62,25,88,88,100,50,81,50,75,75,50,100,50,25,56,38,38,50,75,50,50,38,12,19,25,25,44,88,19,38,12,50,88,56,25,50,25,88,19,100,62,75,12,50,25,88,75,100,50,62,50,62,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,bwhn9ve3o3jh21a4vuyjmzbbo,J. Simpson-Pusey,Jahmai Simpson-Pusey,20,Defender,England,Defender,131.0,82.0,10.0,213.0,0.0,0.0,6.0,6.0,23.0,26.0,360.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,87.65,41.67,0.0,66.67,0.0,65.71,55.56,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,20.5,2.5,53.25,0.0,0.0,1.5,1.5,5.75,6.5,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.75,0.0,87.65,41.67,0.0,66.67,0.0,65.71,55.56,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,50,65,53,63,13,48,100,100,68,55,100,47,42,8,15,38,25,42,52,33,10,92,45,55,50,43,43,45,68,33,77,43,62,8,20,38,17,17,22,8,10,8,8,50,60,48,53,13,48,100,100,63,55,100,45,42,8,15,38,25,42,38,33,10,87,45,47,50,43,43,45,68,33,77,43,62,8,20,38,17,17,22,8,10,8,8,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,cnf7quyillyf560nh14taliw9,L. Maina,Linton Maina,27,Midfielder,Germany,Midfielder,23.0,48.0,1.0,68.0,6.0,0.0,2.0,2.0,10.0,2.0,246.0,2.0,0.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,7.0,3.0,1.0,0.0,89.47,50.0,37.5,100.0,25.0,71.43,0.0,100.0,0.2201941080255779,0.6644171738979849,3.0,9.0,0.26005308,5.0,6.0,13.0,0.41018916,32.0,8.414634146341463,17.5609756097561,0.3658536585365853,24.87804878048781,2.1951219512195124,0.0,0.7317073170731707,0.7317073170731707,3.658536585365854,0.7317073170731707,0.7317073170731707,0.0,0.3658536585365853,1.4634146341463414,1.0975609756097562,0.3658536585365853,1.0975609756097562,0.3658536585365853,0.3658536585365853,0.3658536585365853,1.829268292682927,2.5609756097560976,1.0975609756097562,0.3658536585365853,0.0,89.47,50.0,37.5,100.0,25.0,71.43,0.0,100.0,0.0805588200093577,0.2430794538651164,1.0975609756097562,3.292682926829268,0.0951413707317073,1.829268292682927,2.1951219512195124,4.7560975609756095,0.1500692048780487,11.707317073170731,CM/AM,22,26,11,24,56,52,39,35,22,24,50,9,74,22,44,22,74,69,20,31,22,91,65,20,50,81,57,72,89,39,96,11,89,19,67,81,61,63,67,17,61,41,20,30,48,11,37,74,52,44,41,44,33,56,9,78,33,56,33,89,78,26,33,37,96,81,33,50,81,57,72,89,39,96,11,89,22,78,85,74,81,85,26,70,63,30,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,dgysidzshgxqm3jegaihwi5wq,T. Krauß,Tom Krauß,25,Midfielder,Germany,Midfielder,70.0,67.0,1.0,136.0,4.0,0.0,3.0,3.0,10.0,10.0,348.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,0.0,6.0,2.0,8.0,4.0,1.0,2.0,0.0,85.0,14.29,25.0,0.0,40.0,33.33,40.0,50.0,0.5344558570863236,0.2827377089464329,0.0,6.0,0.14755098,1.0,8.0,5.0,0.23230303,66.0,18.103448275862068,17.32758620689655,0.2586206896551724,35.172413793103445,1.0344827586206895,0.0,0.7758620689655172,0.7758620689655172,2.586206896551724,2.586206896551724,0.0,0.5172413793103449,0.0,1.293103448275862,1.293103448275862,0.0,0.2586206896551724,0.0,1.5517241379310345,0.5172413793103449,2.0689655172413794,1.0344827586206895,0.2586206896551724,0.5172413793103449,0.0,85.0,14.29,25.0,0.0,40.0,33.33,40.0,50.0,0.1382213423499112,0.0731218212792498,0.0,1.5517241379310345,0.0381597362068965,0.2586206896551724,2.0689655172413794,1.293103448275862,0.0600783698275862,17.06896551724138,DM/CM,62,55,12,48,74,50,67,67,24,69,21,48,43,74,95,17,57,40,67,86,79,67,64,26,52,38,10,57,21,86,10,45,43,81,62,19,67,71,33,24,26,33,52,38,43,10,24,67,50,67,67,14,67,21,48,43,71,90,17,57,40,57,81,71,67,67,19,52,38,10,57,21,86,10,45,43,76,62,19,62,67,33,19,19,33,38,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,ej8pxizgwjx9qjacvc136yusq,Í. Jóhannesson,Ísak Jóhannesson,23,Midfielder,Iceland,Midfielder,30.0,45.0,4.0,73.0,5.0,0.0,0.0,0.0,8.0,3.0,228.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,6.0,2.0,2.0,5.0,0.0,84.88,66.67,11.76,0.0,25.0,53.33,0.0,83.33,0.2828930969835646,0.532622394519681,2.0,8.0,0.176079,3.0,10.0,12.0,0.30503952,45.0,11.842105263157896,17.763157894736842,1.5789473684210529,28.81578947368421,1.973684210526316,0.0,0.0,0.0,3.1578947368421053,1.1842105263157896,0.0,0.0,0.0,1.5789473684210529,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.0,0.3947368421052631,0.3947368421052631,2.368421052631579,0.7894736842105263,0.7894736842105263,1.973684210526316,0.0,84.88,66.67,11.76,0.0,25.0,53.33,0.0,83.33,0.1116683277566702,0.2102456820472425,0.7894736842105263,3.1578947368421053,0.0695048684210526,1.1842105263157896,3.947368421052632,4.736842105263158,0.1204103368421052,17.763157894736842,CM/AM,37,17,59,37,37,52,7,7,7,44,13,9,33,22,31,46,54,30,20,31,37,19,50,80,50,74,78,30,13,39,63,11,67,22,56,65,46,33,35,46,54,19,41,56,52,74,52,52,52,7,7,26,63,13,9,33,44,37,67,67,30,30,37,52,44,59,96,50,74,78,30,13,39,63,11,67,41,63,78,63,59,56,67,67,30,70,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,ojqb7kv87o0cidbckgtg1rdh,E. Skhiri,Ellyes Skhiri,31,Midfielder,Tunisia,Midfielder,59.0,97.0,7.0,154.0,5.0,0.0,1.0,1.0,12.0,5.0,250.0,0.0,5.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,5.0,1.0,2.0,2.0,0.0,94.48,70.0,100.0,0.0,33.33,44.44,55.56,33.33,0.4702019991517026,0.4706342229548624,0.0,15.0,0.29518335,2.0,14.0,12.0,0.63949212,96.0,21.24,34.92,2.52,55.440000000000005,1.8,0.0,0.36,0.36,4.32,1.8,0.0,1.8,0.72,1.08,1.08,0.0,0.36,0.0,1.08,0.36,1.8,0.36,0.72,0.72,0.0,94.48,70.0,100.0,0.0,33.33,44.44,55.56,33.33,0.1692727196946129,0.1694283202637504,0.0,5.4,0.106266006,0.72,5.04,4.32,0.2302171632,34.56,DM/CM,36,86,81,76,86,50,31,29,43,43,21,83,98,48,69,17,57,40,29,60,57,17,86,26,52,100,93,98,21,67,29,74,17,76,86,19,100,100,57,64,64,90,76,62,100,90,90,95,50,38,38,57,48,21,95,100,62,76,17,71,40,33,71,62,19,95,33,52,100,93,98,21,67,29,74,17,81,90,19,100,100,62,71,71,90,95,Bundesliga
Union Berlin,a8d2gb2nag8fy0itbuxmcibh2,1vv29mash2uijx542ssjk666t,R. Khedira,Rani Khedira,32,Midfielder,Tunisia,Midfielder,36.0,33.0,3.0,67.0,1.0,0.0,0.0,0.0,17.0,9.0,360.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,2.0,6.0,0.0,68.37,23.08,100.0,0.0,0.0,56.67,66.67,75.0,0.0,0.1218706840640553,0.0,1.0,0.02401521,1.0,6.0,7.0,0.22381868,34.0,9.0,8.25,0.75,16.75,0.25,0.0,0.0,0.0,4.25,2.25,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,0.5,1.5,0.0,68.37,23.08,100.0,0.0,0.0,56.67,66.67,75.0,0.0,0.0304676710160138,0.0,0.25,0.0060038025,0.25,1.5,1.75,0.05595467,8.5,CM/AM,56,7,46,17,6,52,7,7,72,89,13,87,33,4,9,6,9,30,46,11,11,41,50,89,50,7,11,100,13,11,78,94,59,4,11,7,7,7,11,17,17,4,28,48,4,37,7,4,52,7,7,56,89,13,74,33,4,9,6,9,30,39,11,7,26,41,81,50,7,11,100,13,11,78,94,59,4,11,7,7,7,7,11,7,4,11,Bundesliga
