Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total assists_Total,total big chances saved_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total assists_p90,total big chances saved_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,1jp5ure85qhx8kkzgivt86t3p,M. Costly,Marcel Costly,30,Attacker,Germany,Striker,28.0,60.0,4.0,77.0,7.0,16.0,9.0,5.0,4.0,1.0,9.0,10.0,24.0,9.0,1.0,2.0,441.0,3.0,16.0,4.0,3.0,5.0,11.0,3.0,0.0,0.0,0.0,74.04,44.44,27.5,33.33,33.33,52.17,58.33,50.0,1.1810053610712925,1.4947740411453705,4.0,15.0,0.3512820799999999,10.0,9.0,11.0,0.9229703600000002,29.0,5.7142857142857135,12.244897959183673,0.8163265306122448,15.714285714285714,1.4285714285714284,3.265306122448979,1.8367346938775508,1.020408163265306,0.8163265306122448,0.2040816326530612,1.8367346938775508,2.0408163265306123,4.897959183673469,1.8367346938775508,0.2040816326530612,0.4081632653061224,0.6122448979591836,3.265306122448979,0.8163265306122448,0.6122448979591836,1.020408163265306,2.2448979591836733,0.6122448979591836,0.0,0.0,0.0,74.04,44.44,27.5,33.33,33.33,52.17,58.33,50.0,0.2410215022594474,0.3050559267643613,0.8163265306122448,3.061224489795918,0.0716902204081632,2.0408163265306123,1.8367346938775508,2.2448979591836733,0.1883612979591837,5.918367346938775,ST,84,93,88,88,66,100,38,29,77,38,77,77,82,100,34,89,29,45,55,64,98,96,100,52,52,52,61,39,79,29,23,89,79,55,50,96,82,96,93,100,91,88,93,79,71,86,86,71,54,100,18,14,75,32,68,71,75,93,32,82,18,25,36,50,96,100,100,52,52,52,61,39,79,29,23,89,79,55,36,100,75,93,86,96,89,86,96,71,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,3t31crka9rpryrpazn7m46zo4,A. Vogt,Alessandro Vogt,21,Attacker,Switzerland,Striker,2.0,5.0,2.0,7.0,4.0,1.0,9.0,8.0,1.0,0.0,5.0,5.0,9.0,0.0,0.0,0.0,237.0,4.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.67,100.0,0.0,40.0,44.44,39.13,66.67,0.0,1.1866402160161749,0.0,1.0,1.0,0.05491138,0.0,0.0,0.0,0.00695305,2.0,0.759493670886076,1.89873417721519,0.759493670886076,2.6582278481012658,1.518987341772152,0.379746835443038,3.4177215189873418,3.037974683544304,0.379746835443038,0.0,1.89873417721519,1.89873417721519,3.4177215189873418,0.0,0.0,0.0,1.518987341772152,6.835443037974684,1.139240506329114,0.759493670886076,0.0,0.0,0.0,0.0,0.0,0.0,46.67,100.0,0.0,40.0,44.44,39.13,66.67,0.0,0.4506228668415854,0.0,0.379746835443038,0.379746835443038,0.0208524227848101,0.0,0.0,0.0,0.0026403987341772,0.759493670886076,ST,4,4,55,4,41,5,38,45,34,14,57,54,11,4,12,36,48,54,36,38,9,34,34,52,52,52,4,88,34,43,55,36,86,9,54,4,32,16,32,14,7,5,4,4,4,4,79,4,68,4,68,75,50,14,71,68,18,4,12,36,71,93,61,57,9,34,34,52,52,52,4,88,34,43,55,36,86,9,82,4,50,29,43,14,7,5,4,4,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,5dcemmjwbguvnz7sz0m8uomad,J. Föhrenbach,Jonas Föhrenbach,30,Defender,Germany,Defender,164.0,107.0,38.0,266.0,6.0,9.0,1.0,1.0,0.0,0.0,3.0,3.0,16.0,21.0,1.0,4.0,540.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,83.12,52.78,41.67,33.33,100.0,57.14,50.0,40.0,0.1197301545908704,0.9724118186304508,0.0,10.0,0.22214362,6.0,20.0,26.0,1.11431738,160.0,27.33333333333333,17.833333333333332,6.333333333333333,44.333333333333336,1.0,1.5,0.1666666666666666,0.1666666666666666,0.0,0.0,0.5,0.5,2.6666666666666665,3.5,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.3333333333333333,0.8333333333333334,0.1666666666666666,0.0,0.0,0.0,83.12,52.78,41.67,33.33,100.0,57.14,50.0,40.0,0.019955025765145,0.1620686364384084,0.0,1.6666666666666667,0.0370239366666666,1.0,3.333333333333333,4.333333333333333,0.1857195633333333,26.666666666666668,LB/LCB,96,71,100,93,75,89,12,39,18,23,39,38,39,89,95,45,59,5,54,34,20,80,86,46,52,52,57,82,86,38,100,55,48,14,21,96,18,84,82,88,79,84,86,96,89,46,100,71,57,86,11,36,18,23,21,21,11,68,91,29,46,4,43,25,7,68,79,46,52,52,57,82,86,38,100,55,48,14,11,86,18,61,57,61,46,62,75,79,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,6hotzhpidcjljm3u0ud1uqsid,B. Zivzivadze,Budu Zivzivadze,32,Attacker,Georgia,Striker,28.0,40.0,3.0,68.0,7.0,7.0,9.0,8.0,1.0,0.0,10.0,11.0,18.0,6.0,3.0,0.0,416.0,6.0,18.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,71.58,75.0,0.0,50.0,66.67,38.3,43.75,33.33,0.632192521944515,0.5396203235357041,2.0,3.0,0.30470911,2.0,4.0,10.0,0.2111947799999999,24.0,6.057692307692308,8.653846153846155,0.6490384615384616,14.711538461538463,1.514423076923077,1.514423076923077,1.9471153846153848,1.7307692307692308,0.2163461538461538,0.0,2.1634615384615388,2.3798076923076925,3.8942307692307696,1.2980769230769231,0.6490384615384616,0.0,1.2980769230769231,3.8942307692307696,0.6490384615384616,1.0817307692307694,0.2163461538461538,0.0,0.0,0.0,0.0,0.0,71.58,75.0,0.0,50.0,66.67,38.3,43.75,33.33,0.136772420612996,0.1167447815341667,0.4326923076923077,0.6490384615384616,0.0659226439903846,0.4326923076923077,0.8653846153846154,2.1634615384615388,0.0456911783653846,5.1923076923076925,ST,84,68,71,73,66,77,38,45,34,14,84,84,54,82,86,36,68,54,36,86,34,34,34,52,52,52,50,66,34,61,93,29,54,27,29,71,54,50,82,54,62,82,61,68,79,50,68,61,64,79,25,29,21,14,75,75,36,71,79,36,54,36,25,71,29,34,34,52,52,52,50,66,34,61,93,29,54,27,14,75,57,39,82,50,50,79,50,52,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,98glpci54ztzmd3yn1kttlvpx,M. Busch,Marnon Busch,31,Defender,Germany,Defender,66.0,46.0,8.0,110.0,6.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,19.0,22.0,0.0,4.0,426.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,79.71,50.0,20.0,0.0,50.0,54.29,60.0,27.27,0.0814700351821465,0.2602264989616378,2.0,2.0,0.03805479,1.0,15.0,19.0,0.6585145300000002,44.0,13.943661971830986,9.71830985915493,1.6901408450704225,23.239436619718308,1.267605633802817,0.6338028169014085,0.4225352112676056,0.0,0.4225352112676056,0.0,0.2112676056338028,0.2112676056338028,4.014084507042253,4.647887323943662,0.0,0.8450704225352113,0.2112676056338028,0.2112676056338028,0.4225352112676056,0.0,0.6338028169014085,0.4225352112676056,0.2112676056338028,0.0,0.0,0.0,79.71,50.0,20.0,0.0,50.0,54.29,60.0,27.27,0.0172119792638337,0.0549774293580924,0.4225352112676056,0.4225352112676056,0.0080397443661971,0.2112676056338028,3.169014084507042,4.014084507042253,0.139122788028169,9.295774647887324,RB/RCB,50,15,44,35,71,54,29,13,62,27,13,13,56,73,42,44,58,10,29,8,29,62,87,42,52,52,58,69,63,8,83,58,73,8,15,54,65,25,19,33,54,56,69,21,46,12,42,19,69,46,31,13,62,27,15,15,42,81,42,50,62,12,31,8,21,65,85,42,52,52,58,69,63,8,83,58,73,8,19,54,69,27,27,35,54,58,69,15,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,9bc9agusjoz8173beezt6qbdg,M. Heule,Michael Heule,25,Defender,Switzerland,Defender,55.0,60.0,8.0,112.0,1.0,3.0,7.0,3.0,4.0,0.0,12.0,13.0,30.0,7.0,0.0,7.0,360.0,2.0,7.0,8.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,78.32,38.1,21.43,41.67,28.57,61.22,50.0,31.25,0.6070321206991893,0.4205106792850244,3.0,7.0,0.19293132,2.0,17.0,17.0,0.78088718,66.0,13.75,15.0,2.0,28.0,0.25,0.75,1.75,0.75,1.0,0.0,3.0,3.25,7.5,1.75,0.0,1.75,0.5,1.75,2.0,1.25,1.25,0.75,0.25,0.25,0.0,0.0,78.32,38.1,21.43,41.67,28.57,61.22,50.0,31.25,0.1517580301747973,0.1051276698212561,0.75,1.75,0.04823283,0.5,4.25,4.25,0.195221795,16.5,LB/LCB,43,36,61,29,14,46,91,79,91,23,96,98,93,29,45,80,86,75,95,93,59,57,86,96,52,52,25,43,43,50,61,79,48,7,82,61,93,66,61,29,71,50,75,36,36,32,64,36,14,43,93,86,93,23,96,96,100,25,45,82,89,71,89,96,57,61,93,96,52,52,25,43,43,50,61,79,48,7,89,61,93,64,68,30,79,57,79,54,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,9heh3f6hvyp4sgbu0ft4xfh05,P. Mainka,Patrick Mainka,31,Defender,Germany,Defender,165.0,62.0,18.0,227.0,21.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,30.0,54.0,0.0,9.0,495.0,1.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,85.98,54.55,0.0,0.0,50.0,58.82,60.0,25.0,0.1869594462162527,0.0968219387978667,0.0,1.0,0.01611813,0.0,7.0,11.0,0.3704815899999999,145.0,30.0,11.272727272727272,3.272727272727273,41.27272727272727,3.8181818181818175,0.1818181818181818,0.3636363636363636,0.3636363636363636,0.0,0.1818181818181818,0.0,0.0,5.454545454545454,9.818181818181818,0.0,1.6363636363636365,0.1818181818181818,1.818181818181818,0.1818181818181818,0.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,85.98,54.55,0.0,0.0,50.0,58.82,60.0,25.0,0.0339926265847732,0.0176039888723394,0.0,0.1818181818181818,0.002930569090909,0.0,1.2727272727272727,2.0,0.067360289090909,26.363636363636363,CB,53,36,73,38,97,25,36,56,30,75,19,19,75,100,41,78,58,89,20,30,19,47,42,44,52,52,36,62,47,30,77,66,72,8,34,47,30,28,19,23,14,14,34,47,38,22,69,25,97,22,34,64,30,77,19,19,72,100,41,75,52,84,19,30,19,47,42,44,52,52,36,62,47,30,77,66,72,8,34,41,30,27,22,23,12,9,19,34,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,bqjrib66m08p1qw8315ljc38q,J. Schöppner,Jan Schöppner,27,Midfielder,Germany,Midfielder,91.0,74.0,14.0,165.0,16.0,3.0,5.0,4.0,1.0,1.0,7.0,7.0,35.0,23.0,3.0,6.0,540.0,3.0,11.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,75.0,50.0,0.0,42.86,60.0,47.3,61.54,83.33,0.9190067424010656,0.187796708961167,0.0,8.0,0.17447718,4.0,19.0,15.0,0.3371577299999999,87.0,15.166666666666666,12.333333333333334,2.333333333333333,27.5,2.6666666666666665,0.5,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.1666666666666666,1.1666666666666667,1.1666666666666667,5.833333333333333,3.8333333333333335,0.5,1.0,0.5,1.8333333333333333,0.6666666666666666,0.5,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,75.0,50.0,0.0,42.86,60.0,47.3,61.54,83.33,0.1531677904001776,0.0312994514935278,0.0,1.3333333333333333,0.02907953,0.6666666666666666,3.1666666666666665,2.5,0.0561929549999999,14.5,DM/CM,50,34,72,39,97,42,42,73,28,36,81,80,88,94,98,55,88,89,34,75,94,33,38,52,52,52,6,48,33,48,97,28,75,84,91,34,12,69,56,81,59,39,31,50,31,12,59,9,94,31,38,59,20,28,75,72,69,94,98,34,72,78,23,64,81,33,38,52,52,52,6,48,33,48,97,28,75,84,81,28,12,53,47,75,38,19,12,22,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,csdd9p7ai8i0s4b2akm9is8yy,O. Mhamdi,Oualid Mhamdi,23,Defender,Morocco,Defender,53.0,29.0,8.0,78.0,2.0,4.0,11.0,5.0,6.0,4.0,7.0,8.0,9.0,8.0,1.0,2.0,261.0,3.0,8.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,74.29,72.73,50.0,42.86,27.27,37.5,33.33,0.0,0.6834905429044771,0.6182674048653947,4.0,3.0,0.05769113,1.0,9.0,12.0,0.5950187400000001,38.0,18.27586206896552,10.0,2.7586206896551726,26.89655172413793,0.6896551724137931,1.3793103448275863,3.793103448275862,1.7241379310344829,2.0689655172413794,1.3793103448275863,2.413793103448276,2.7586206896551726,3.103448275862069,2.7586206896551726,0.3448275862068966,0.6896551724137931,1.0344827586206895,2.7586206896551726,0.6896551724137931,1.0344827586206895,0.0,1.3793103448275863,0.0,0.0,0.0,0.0,74.29,72.73,50.0,42.86,27.27,37.5,33.33,0.0,0.2356863941049921,0.2131956568501361,1.3793103448275863,1.0344827586206895,0.0198934931034482,0.3448275862068966,3.103448275862069,4.137931034482759,0.205178875862069,13.10344827586207,CB,3,3,17,3,6,88,100,86,100,100,97,100,6,3,91,9,94,80,36,94,3,100,42,44,52,52,3,97,97,62,44,3,9,3,91,100,100,58,53,56,25,22,88,3,3,12,41,3,9,100,100,97,100,100,100,100,31,12,100,9,100,94,59,97,3,100,42,44,52,52,3,97,97,62,44,3,9,3,97,100,100,75,72,75,44,81,100,3,2. Bundesliga
Heidenheim,3xcg7xikgrn2x8oa65sopb2is,euywniqwcq40dqoo55xni961h,M. Honsak,Mathias Honsak,29,Attacker,Austria,Striker,35.0,21.0,3.0,56.0,4.0,3.0,4.0,4.0,0.0,1.0,4.0,4.0,9.0,8.0,0.0,2.0,298.0,0.0,11.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,83.58,75.0,0.0,0.0,0.0,32.14,36.36,100.0,0.322323259494551,0.0644654252266684,0.0,0.0,0.0,0.0,2.0,2.0,0.04044908,14.0,10.57046979865772,6.342281879194632,0.906040268456376,16.91275167785235,1.2080536912751678,0.906040268456376,1.2080536912751678,1.2080536912751678,0.0,0.3020134228187919,1.2080536912751678,1.2080536912751678,2.718120805369128,2.416107382550336,0.0,0.6040268456375839,0.0,3.322147651006712,0.906040268456376,0.0,0.6040268456375839,0.0,0.3020134228187919,0.0,0.0,0.0,83.58,75.0,0.0,0.0,0.0,32.14,36.36,100.0,0.097345950854059,0.019469423726175,0.0,0.0,0.0,0.0,0.6040268456375839,0.6040268456375839,0.0122161651006711,4.228187919463087,LW,58,8,42,25,75,12,12,21,12,17,8,8,12,96,25,58,12,17,29,8,33,17,58,50,50,50,92,100,17,8,12,25,33,92,8,8,8,8,8,8,17,12,8,17,67,8,67,42,100,25,17,42,12,17,8,8,17,100,25,67,12,42,33,8,42,17,75,50,50,50,92,100,17,8,12,25,33,92,25,8,8,8,8,8,17,17,8,17,2. Bundesliga
