Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total big chances saved_Total,total duels won_Total,total effective clearance_Total,total mins played,total was fouled_Total,total accurate cross_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total ontarget attempt_Total,total touches in opposition box_Total,total won contest_Total,total won tackle_Total,total assists_Total,total interception_Total,total goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total big chances saved_p90,total duels won_p90,total effective clearance_p90,total was fouled_p90,total accurate cross_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won contest_p90,total won tackle_p90,total assists_p90,total interception_p90,total goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total big chances saved_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total interception_TotalPR,total goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total big chances saved_p90PR,total duels won_p90PR,total effective clearance_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won contest_p90PR,total won tackle_p90PR,total assists_p90PR,total interception_p90PR,total goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,21pztrby95djexvw3m9hhzgt1,L. Jović,Luka Jovic,28,Attacker,Serbia,Striker,25.0,37.0,7.0,62.0,12.0,0.0,21.0,2.0,400.0,6.0,0.0,6.0,14.0,12.0,2.0,3.0,3.0,3.0,7.0,23.0,0.0,2.0,0.0,1.0,4.0,0.0,70.45,58.33,0.0,0.0,50.0,43.75,50.0,66.67,1.569685646621322,0.3999785482339991,1.0,4.0,0.0948344099999999,1.0,4.0,6.0,0.15314566,24.0,5.625,8.325,1.575,13.95,2.7,0.0,4.725,0.4499999999999999,1.35,0.0,1.35,3.15,2.7,0.4499999999999999,0.6749999999999999,0.6749999999999999,0.6749999999999999,1.575,5.175,0.0,0.4499999999999999,0.0,0.2249999999999999,0.8999999999999999,0.0,70.45,58.33,0.0,0.0,50.0,43.75,50.0,66.67,0.3531792704897974,0.0899951733526498,0.2249999999999999,0.8999999999999999,0.0213377422499999,0.2249999999999999,0.8999999999999999,1.35,0.0344577735,5.4,ST,90,70,98,85,85,52,65,57,52,38,82,98,92,72,78,45,35,100,85,15,65,42,70,98,52,50,70,38,15,70,60,85,68,95,75,52,70,55,45,65,68,55,85,80,50,90,75,70,52,40,50,30,38,70,70,70,65,65,30,25,80,70,15,60,42,65,90,52,50,70,38,15,70,60,85,68,65,65,45,60,50,35,55,55,50,65,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,2b1lk0zbkv8x09p0qal56xko9,B. Varga,Barnabás Varga,31,Attacker,Hungary,Striker,13.0,18.0,0.0,30.0,20.0,0.0,26.0,3.0,272.0,5.0,1.0,2.0,10.0,10.0,0.0,1.0,1.0,1.0,5.0,16.0,0.0,0.0,0.0,1.0,4.0,0.0,53.57,0.0,100.0,0.0,50.0,66.67,76.92,0.0,2.0846173104736225,0.1268189626460293,0.0,0.0,0.0,0.0,2.0,1.0,0.0853024899999999,3.0,4.301470588235294,5.955882352941177,0.0,9.926470588235292,6.61764705882353,0.0,8.602941176470589,0.9926470588235294,1.6544117647058825,0.3308823529411764,0.6617647058823529,3.308823529411765,3.308823529411765,0.0,0.3308823529411764,0.3308823529411764,0.3308823529411764,1.6544117647058825,5.294117647058823,0.0,0.0,0.0,0.3308823529411764,1.3235294117647058,0.0,53.57,0.0,100.0,0.0,50.0,66.67,76.92,0.0,0.6897630806714192,0.0419621567578773,0.0,0.0,0.0,0.0,0.6617647058823529,0.3308823529411764,0.0282250886029411,0.9926470588235294,ST,42,30,12,30,95,52,90,75,40,80,48,60,80,15,35,12,12,75,68,15,20,42,70,98,52,10,12,100,15,70,100,100,20,100,45,22,8,8,18,32,25,35,5,40,20,12,30,95,52,95,80,45,80,40,75,80,15,40,5,5,90,75,15,20,42,75,100,52,10,12,100,15,70,100,100,20,100,35,22,8,8,18,25,25,45,5,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,30mghmimxsxj12m1w7jnx4f3e,L. Rota,Lazaros Rota,29,Defender,Greece,Defender,86.0,77.0,3.0,163.0,4.0,0.0,15.0,5.0,360.0,3.0,0.0,2.0,7.0,3.0,4.0,1.0,1.0,1.0,3.0,12.0,0.0,3.0,0.0,4.0,0.0,0.0,93.14,50.0,0.0,0.0,42.86,51.72,50.0,37.5,0.6976605557461631,0.1300135243488256,5.0,17.0,0.40980607,6.0,4.0,10.0,0.3041041699999999,71.0,21.5,19.25,0.75,40.75,1.0,0.0,3.75,1.25,0.75,0.0,0.5,1.75,0.75,1.0,0.25,0.25,0.25,0.75,3.0,0.0,0.75,0.0,1.0,0.0,0.0,93.14,50.0,0.0,0.0,42.86,51.72,50.0,37.5,0.1744151389365408,0.0325033810872064,1.25,4.25,0.1024515175,1.5,1.0,2.5,0.0760260424999999,17.75,RB/RCB,75,81,19,81,47,53,31,12,56,19,41,94,81,97,56,22,22,94,91,12,38,47,50,47,53,100,62,19,12,81,62,53,19,94,31,100,100,100,81,12,44,31,62,88,88,12,88,53,53,44,12,62,19,44,88,81,100,59,16,16,94,88,12,34,47,47,47,53,100,62,19,12,81,62,53,19,94,31,100,100,100,81,12,62,25,69,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,33vdvzbclcs4eh2dshydkc3it,M. Gaćinović,Mijat Gacinovic,31,Midfielder,Serbia,Midfielder,42.0,68.0,8.0,108.0,2.0,0.0,16.0,0.0,289.0,7.0,2.0,4.0,4.0,2.0,2.0,2.0,8.0,10.0,1.0,4.0,3.0,3.0,1.0,4.0,0.0,0.0,81.82,72.73,40.0,37.5,25.0,45.71,33.33,75.0,0.3747952472197906,0.4793496334663875,1.0,13.0,0.30060311,6.0,13.0,19.0,0.9777879,48.0,13.079584775086504,21.176470588235293,2.491349480968858,33.63321799307958,0.6228373702422145,0.0,4.982698961937716,0.0,2.179930795847751,0.6228373702422145,1.245674740484429,1.245674740484429,0.6228373702422145,0.6228373702422145,0.6228373702422145,2.491349480968858,3.1141868512110724,0.3114186851211072,1.245674740484429,0.9342560553633218,0.9342560553633218,0.3114186851211072,1.245674740484429,0.0,0.0,81.82,72.73,40.0,37.5,25.0,45.71,33.33,75.0,0.1167182430788275,0.1492784325673871,0.3114186851211072,4.048442906574394,0.0936134252595155,1.868512110726644,4.048442906574394,5.916955017301038,0.3045014221453287,14.948096885813149,LM/LCM,60,80,80,60,30,60,60,30,70,60,70,90,80,100,100,80,80,80,40,80,60,100,50,60,60,80,100,100,60,60,60,60,80,100,80,70,80,80,100,90,100,100,60,80,100,80,80,40,60,80,30,100,60,80,100,80,100,100,80,80,100,80,80,80,100,80,60,60,80,100,100,60,60,60,60,80,100,100,80,100,80,100,100,100,100,60,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,Lovro Majer,28,Midfielder,Croatia,Midfielder,71.0,130.0,6.0,194.0,2.0,0.0,20.0,2.0,358.0,7.0,7.0,12.0,7.0,2.0,5.0,3.0,7.0,8.0,3.0,12.0,3.0,3.0,2.0,1.0,0.0,0.0,85.09,46.15,31.82,42.86,42.86,52.63,66.67,37.5,0.4195590901482928,1.3955786239875567,5.0,27.0,0.68446992,14.0,26.0,31.0,1.5027455900000004,98.0,17.849162011173185,32.68156424581006,1.5083798882681565,48.77094972067039,0.5027932960893855,0.0,5.027932960893855,0.5027932960893855,1.759776536312849,1.759776536312849,3.016759776536313,1.759776536312849,0.5027932960893855,1.2569832402234635,0.7541899441340782,1.759776536312849,2.011173184357542,0.7541899441340782,3.016759776536313,0.7541899441340782,0.7541899441340782,0.5027932960893855,0.2513966480446927,0.0,0.0,85.09,46.15,31.82,42.86,42.86,52.63,66.67,37.5,0.1054757489199618,0.3508437881532963,1.2569832402234635,6.787709497206704,0.1720734435754189,3.519553072625698,6.536312849162011,7.793296089385475,0.3777852041899442,24.636871508379887,CM/AM,91,96,50,91,46,52,74,59,61,93,96,65,41,85,83,63,72,74,67,63,67,98,37,33,52,74,22,65,50,80,70,96,26,57,100,93,100,100,100,100,100,100,96,83,91,48,91,39,52,57,48,57,91,96,52,26,74,74,57,61,74,61,52,57,96,30,33,52,74,22,65,50,80,70,96,26,43,96,96,96,96,100,100,91,96,96,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,4g72ltwbeujps5dlns7aegru,S. Pilios,Stavros Pilios,25,Defender,Albania,Defender,94.0,81.0,10.0,168.0,4.0,0.0,30.0,9.0,450.0,12.0,7.0,8.0,5.0,3.0,2.0,0.0,5.0,5.0,1.0,10.0,5.0,3.0,1.0,5.0,0.0,0.0,84.85,58.82,36.84,100.0,20.0,66.67,40.0,33.33,0.3096794641087284,0.7991113435156684,2.0,13.0,0.3234403599999999,7.0,12.0,16.0,1.4810848899999995,65.0,18.8,16.2,2.0,33.6,0.8,0.0,6.0,1.8,2.4,1.4,1.6,1.0,0.6,0.4,0.0,1.0,1.0,0.2,2.0,1.0,0.6,0.2,1.0,0.0,0.0,84.85,58.82,36.84,100.0,20.0,66.67,40.0,33.33,0.0619358928217456,0.1598222687031336,0.4,2.6,0.0646880719999999,1.4,2.4,3.2,0.2962169779999999,13.0,LB/LCB,87,87,80,87,47,53,100,40,100,100,100,87,87,90,43,73,70,77,93,83,13,67,60,47,53,83,93,87,97,70,93,27,7,80,100,87,93,87,87,87,87,100,60,67,73,80,60,40,53,80,33,93,93,100,83,87,80,43,70,67,70,93,80,13,50,37,47,53,83,93,87,97,70,93,27,7,80,100,73,80,73,80,73,80,100,40,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,Razvan Marin,30,Midfielder,Romania,Midfielder,134.0,142.0,13.0,267.0,5.0,0.0,26.0,1.0,422.0,7.0,9.0,11.0,6.0,3.0,3.0,1.0,5.0,5.0,2.0,9.0,4.0,8.0,3.0,1.0,1.0,0.0,88.41,56.52,39.13,80.0,33.33,56.52,83.33,80.0,0.6872809990860692,1.3237754295760966,2.0,14.0,0.3087229699999999,8.0,23.0,30.0,0.6566638399999999,147.0,28.5781990521327,30.28436018957346,2.772511848341232,56.943127962085306,1.066350710900474,0.0,5.545023696682464,0.2132701421800947,1.4928909952606635,1.919431279620853,2.3459715639810423,1.2796208530805686,0.6398104265402843,0.6398104265402843,0.2132701421800947,1.066350710900474,1.066350710900474,0.4265402843601895,1.919431279620853,0.8530805687203791,1.706161137440758,0.6398104265402843,0.2132701421800947,0.2132701421800947,0.0,88.41,56.52,39.13,80.0,33.33,56.52,83.33,80.0,0.1465765163927635,0.2823217740802101,0.4265402843601895,2.985781990521327,0.0658413917061611,1.706161137440758,4.90521327014218,6.398104265402844,0.1400467905213269,31.35071090047393,DM/CM,100,95,74,95,76,52,83,10,79,100,100,88,90,79,69,81,79,86,95,79,90,100,19,86,50,86,43,76,69,69,57,93,100,100,100,69,98,100,100,76,90,76,100,100,95,67,90,52,52,57,10,57,100,100,86,90,67,67,62,57,81,90,71,90,100,14,81,50,86,43,76,69,69,57,93,100,100,100,67,90,95,95,67,90,71,100,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,Filipe do Bem Relvas Vitó Oliveira,27,Defender,Portugal,Defender,235.0,119.0,30.0,354.0,20.0,0.0,24.0,23.0,450.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,91.0,65.22,0.0,0.0,0.0,85.71,83.33,33.33,0.392265043961336,0.1124577260774423,0.0,4.0,0.07291549,1.0,19.0,22.0,0.4431211099999999,202.0,47.0,23.8,6.0,70.8,4.0,0.0,4.8,4.6,0.2,0.0,0.4,0.4,0.4,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.2,0.0,1.2,0.0,0.0,91.0,65.22,0.0,0.0,0.0,85.71,83.33,33.33,0.0784530087922672,0.0224915452154884,0.0,0.8,0.014583098,0.2,3.8,4.4,0.0886242219999999,40.4,CB,100,93,100,100,100,41,81,46,26,46,91,52,61,41,85,28,28,39,78,33,15,50,78,50,52,81,93,46,33,39,100,100,15,81,78,41,70,67,63,89,85,81,96,96,89,93,100,96,41,67,33,22,46,81,43,52,41,78,28,28,39,69,33,7,50,70,50,52,81,93,46,33,39,100,100,15,78,74,41,61,59,54,85,81,74,85,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,chd9jdwmunetujxsjy6m4r9hx,H. Moukoudi,Harold Moukoudi,28,Defender,Cameroon,Defender,197.0,80.0,5.0,277.0,10.0,0.0,14.0,20.0,450.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,93.9,41.67,0.0,0.0,0.0,53.85,66.67,66.67,0.1426672757401741,0.1618994177433831,0.0,7.0,0.14806723,2.0,11.0,11.0,0.53621365,168.0,39.4,16.0,1.0,55.4,2.0,0.0,2.8,4.0,0.4,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.6,0.0,0.0,93.9,41.67,0.0,0.0,0.0,53.85,66.67,66.67,0.0285334551480348,0.0323798835486766,0.0,1.4,0.0296134459999999,0.4,2.2,2.2,0.10724273,33.6,CB,93,85,13,89,70,41,33,37,37,46,59,28,37,41,37,28,28,39,37,33,33,50,43,50,52,93,19,46,33,39,37,80,61,30,96,41,91,89,83,59,44,93,85,85,74,7,78,54,41,11,26,33,46,44,22,31,41,37,28,28,39,26,33,26,50,28,50,52,93,19,46,33,39,37,80,61,30,93,41,83,81,80,44,30,89,78,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,dsm566un9e2aoiz7t4z4pl7je,M. Vitális,Milán Vitális,24,Midfielder,Hungary,Midfielder,90.0,98.0,13.0,187.0,1.0,0.0,21.0,4.0,294.0,13.0,1.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,96.39,100.0,50.0,50.0,50.0,61.76,0.0,66.67,0.1060523339976297,0.4793211161519034,0.0,10.0,0.2126388599999999,4.0,22.0,20.0,0.3664314299999998,91.0,27.551020408163264,30.0,3.979591836734694,57.24489795918368,0.3061224489795918,0.0,6.428571428571429,1.2244897959183674,3.979591836734694,0.3061224489795918,1.836734693877551,0.6122448979591837,0.0,0.6122448979591837,0.3061224489795918,0.6122448979591837,0.6122448979591837,0.3061224489795918,0.3061224489795918,0.3061224489795918,1.2244897959183674,0.3061224489795918,1.2244897959183674,0.0,0.0,96.39,100.0,50.0,50.0,50.0,61.76,0.0,66.67,0.032465000203356,0.146730953924052,0.0,3.061224489795918,0.0650935285714285,1.2244897959183674,6.73469387755102,6.122448979591836,0.1121728867346938,27.857142857142858,DM/CM,76,67,74,76,17,52,71,36,100,64,88,48,29,60,69,29,29,62,31,29,69,83,69,38,50,100,100,90,45,83,90,10,79,43,90,19,86,86,79,71,69,48,67,90,90,81,95,14,52,71,38,100,71,95,43,29,57,81,24,24,62,33,19,71,81,71,38,50,100,100,90,45,83,90,10,79,43,95,19,95,90,81,100,81,48,90,Greek Super League
