Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total duels won_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total accurate long balls_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total big chances saved_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total interception_Total,total assists_Total,total attempts obox_Total,total goals_Total,total ontarget attempt_Total,total accurate cross_Total,total won contest_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total duels won_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total accurate long balls_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total big chances saved_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total interception_p90,total assists_p90,total attempts obox_p90,total goals_p90,total ontarget attempt_p90,total accurate cross_p90,total won contest_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total duels won_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total accurate long balls_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total big chances saved_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total assists_TotalPR,total attempts obox_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total accurate cross_TotalPR,total won contest_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total duels won_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total accurate long balls_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total big chances saved_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total interception_p90PR,total assists_p90PR,total attempts obox_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total accurate cross_p90PR,total won contest_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1ainxl6zw3ne3doloixspdez8,P. Mulder,Pascal Mulder,27,Defender,Netherlands,Defender,235.0,107.0,342.0,39.0,613.0,12.0,5.0,9.0,27.0,19.0,2.0,5.0,5.0,0.0,0.0,3.0,3.0,36.0,21.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,87.24,55.1,0.0,66.67,20.0,52.0,54.29,69.23,0.6153462703592762,0.1778490933375486,0.0,13.0,0.48040752,1.0,33.0,35.0,0.7415272699999996,211.0,34.50244698205547,15.70962479608483,50.2120717781403,5.725938009787928,1.7618270799347473,0.734094616639478,1.3213703099510603,3.964110929853181,2.789559543230016,0.2936378466557912,0.734094616639478,0.734094616639478,0.0,0.0,0.4404567699836868,0.4404567699836868,5.285481239804241,3.0831973898858074,0.0,0.0,0.0,0.1468189233278956,0.0,0.2936378466557912,0.0,0.0,87.24,55.1,0.0,66.67,20.0,52.0,54.29,69.23,0.0903444768879851,0.0261116123986612,0.0,1.9086460032626429,0.0705329148450244,0.1468189233278956,4.8450244698205545,5.138662316476346,0.1088702353996736,30.978792822185973,CB,93,51,80,94,96,73,90,88,88,63,89,95,40,26,80,78,78,100,39,29,35,63,39,78,51,51,44,71,39,66,49,24,46,68,85,66,33,83,98,32,72,84,83,78,78,44,51,85,95,61,80,83,76,56,80,83,40,26,66,63,61,98,39,29,35,59,39,71,51,51,44,71,39,66,49,24,46,68,73,61,33,73,93,24,59,73,73,59,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1cfenhtdvum1vtwn1fd01fzhm,J. Kilo,Juho Kilo,24,Midfielder,Finland,Midfielder,228.0,202.0,422.0,30.0,630.0,4.0,4.0,12.0,27.0,6.0,9.0,5.0,2.0,0.0,2.0,2.0,2.0,16.0,4.0,1.0,3.0,0.0,3.0,8.0,1.0,0.0,0.0,88.84,55.1,42.11,50.0,60.0,56.6,85.71,63.16,0.3702141876541551,0.8558440850909959,2.0,16.0,0.3206807,6.0,45.0,35.0,1.0689559600000005,228.0,32.57142857142857,28.857142857142858,60.285714285714285,4.285714285714286,0.5714285714285714,0.5714285714285714,1.7142857142857142,3.857142857142857,0.8571428571428571,1.2857142857142858,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,2.2857142857142856,0.5714285714285714,0.1428571428571428,0.4285714285714285,0.0,0.4285714285714285,1.1428571428571428,0.1428571428571428,0.0,0.0,88.84,55.1,42.11,50.0,60.0,56.6,85.71,63.16,0.0528877410934507,0.1222634407272851,0.2857142857142857,2.2857142857142856,0.0458115285714285,0.8571428571428571,6.428571428571429,5.0,0.1527079942857143,32.57142857142857,DM/CM,100,100,100,79,45,39,98,100,66,91,59,57,48,73,16,16,79,48,82,70,36,79,96,23,52,52,75,68,61,39,82,54,96,68,61,93,68,82,71,70,96,93,89,96,100,82,96,54,29,20,93,96,57,77,46,39,48,62,9,9,54,34,70,54,36,68,93,14,52,52,75,68,61,39,82,54,96,68,43,82,48,71,50,55,93,71,75,93,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1sb4655mgzrdohlltyk9fqlzp,D. van Mieghem,Daryl van Mieghem,36,Attacker,Netherlands,Striker,28.0,46.0,71.0,13.0,407.0,4.0,9.0,0.0,11.0,2.0,2.0,7.0,3.0,0.0,3.0,8.0,8.0,1.0,3.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,60.17,52.38,15.0,0.0,28.57,48.15,66.67,0.0,0.4845376860931248,0.2236407505597372,1.0,4.0,0.1172523599999999,0.0,16.0,16.0,0.4917227,35.0,6.191646191646192,10.171990171990172,15.7002457002457,2.8746928746928746,0.8845208845208845,1.9901719901719903,0.0,2.4324324324324325,0.4422604422604422,0.4422604422604422,1.547911547911548,0.6633906633906634,0.0,0.6633906633906634,1.769041769041769,1.769041769041769,0.2211302211302211,0.6633906633906634,0.0,0.8845208845208845,0.0,0.4422604422604422,0.6633906633906634,0.0,0.0,0.0,60.17,52.38,15.0,0.0,28.57,48.15,66.67,0.0,0.1071459256716983,0.0494537286250033,0.2211302211302211,0.8845208845208845,0.0259280402948402,0.0,3.538083538083538,3.538083538083538,0.1087347493857494,7.73955773955774,RW,59,24,26,9,12,94,9,88,53,6,21,18,50,32,29,29,21,56,26,59,24,26,50,6,53,53,6,41,35,6,41,50,82,9,18,18,15,12,12,6,91,62,35,29,47,6,12,12,6,94,9,94,53,6,18,18,50,29,24,24,18,59,26,59,24,24,47,6,53,53,6,41,35,6,41,50,82,9,18,18,12,12,12,6,94,65,29,35,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,Jonas Jensen-Abbew,24,Defender,Denmark,Defender,41.0,27.0,68.0,4.0,204.0,3.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27,36.36,0.0,0.0,0.0,33.33,14.29,0.0,0.1180721891091049,0.1614380035686616,0.0,2.0,0.04691444,0.0,3.0,6.0,0.13012556,40.0,18.08823529411765,11.911764705882351,30.0,1.7647058823529411,1.3235294117647058,0.8823529411764706,0.0,1.7647058823529411,0.4411764705882353,0.8823529411764706,0.4411764705882353,0.4411764705882353,0.0,0.0,0.0,0.0,3.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27,36.36,0.0,0.0,0.0,33.33,14.29,0.0,0.0520906716657815,0.071222648633233,0.0,0.8823529411764706,0.0206975470588235,0.0,1.3235294117647058,2.647058823529412,0.0574083352941176,17.647058823529413,RB/RCB,11,11,11,5,11,21,5,29,13,24,21,29,47,24,16,16,26,8,32,18,45,18,16,18,53,53,26,42,16,18,18,5,16,5,26,16,26,16,16,8,11,13,11,21,58,32,42,5,42,58,5,79,21,53,37,68,47,24,16,16,53,8,32,18,45,18,16,18,53,53,26,42,16,18,18,5,16,5,58,47,26,42,37,8,21,32,16,63,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,4isvhkgvsyqhoyvwd38agic5w,M. Hokke,Milan Hokke,22,Defender,Netherlands,Defender,176.0,121.0,293.0,33.0,605.0,7.0,3.0,13.0,28.0,6.0,10.0,4.0,1.0,0.0,2.0,4.0,5.0,23.0,7.0,1.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,81.84,49.12,26.67,50.0,25.0,57.89,37.5,59.09,0.2456236809468317,0.676471150021306,2.0,7.0,0.20291467,2.0,36.0,40.0,0.9861097000000004,163.0,26.18181818181818,18.0,43.58677685950413,4.909090909090909,1.0413223140495869,0.4462809917355372,1.9338842975206607,4.1652892561983474,0.8925619834710744,1.487603305785124,0.5950413223140496,0.1487603305785124,0.0,0.2975206611570248,0.5950413223140496,0.743801652892562,3.4214876033057853,1.0413223140495869,0.1487603305785124,0.4462809917355372,0.0,0.1487603305785124,0.5950413223140496,0.2975206611570248,0.0,0.0,81.84,49.12,26.67,50.0,25.0,57.89,37.5,59.09,0.0365390599755617,0.1006320719039959,0.2975206611570248,1.0413223140495869,0.0301856533884297,0.2975206611570248,5.355371900826446,5.950413223140496,0.1466940049586777,24.24793388429752,LB/LCB,100,73,88,96,50,40,100,100,85,79,75,40,50,83,63,65,88,77,73,94,44,75,62,58,50,52,46,81,60,73,71,79,31,54,58,62,79,56,58,29,92,96,65,88,96,58,77,81,46,23,96,100,58,73,65,27,50,81,50,50,65,58,65,92,44,65,58,54,50,52,46,81,60,73,71,79,31,54,42,62,73,50,58,23,81,88,65,81,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,5f8ajd8cgyvmmdzr0lzi1gtii,E. Rottier,Evan Rottier,24,Attacker,Netherlands,Striker,28.0,60.0,85.0,19.0,535.0,15.0,9.0,1.0,7.0,5.0,11.0,7.0,5.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,76.58,58.33,50.0,100.0,42.86,48.72,41.67,25.0,0.6911659917646759,0.8518709857934682,4.0,10.0,0.3511512599999999,2.0,5.0,9.0,0.5071837899999999,35.0,4.710280373831775,10.093457943925234,14.299065420560748,3.1962616822429903,2.5233644859813085,1.514018691588785,0.1682242990654205,1.1775700934579438,0.8411214953271028,1.8504672897196264,1.1775700934579438,0.8411214953271028,0.0,0.3364485981308411,0.1682242990654205,0.3364485981308411,0.6728971962616822,0.1682242990654205,0.3364485981308411,0.3364485981308411,0.1682242990654205,0.5046728971962616,0.5046728971962616,0.1682242990654205,0.0,0.0,76.58,58.33,50.0,100.0,42.86,48.72,41.67,25.0,0.1162709145024688,0.143305399479275,0.6728971962616822,1.6822429906542056,0.0590721745794392,0.3364485981308411,0.8411214953271028,1.514018691588785,0.0853206375700934,5.887850467289719,ST,68,82,76,53,24,83,33,97,33,88,27,20,52,53,8,17,61,64,88,55,30,32,97,26,52,52,76,64,98,95,59,73,58,23,21,91,83,91,88,67,77,88,88,85,61,79,61,24,9,79,21,97,21,88,15,18,52,42,6,9,42,58,88,39,21,21,97,15,52,52,76,64,98,95,59,73,58,23,15,88,70,91,88,64,67,88,79,88,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,6bd8f7n398r2c92uve249rzmc,O. Raterink,Othniël Raterink,20,Defender,Netherlands,Defender,58.0,46.0,101.0,26.0,403.0,6.0,1.0,8.0,3.0,6.0,4.0,3.0,2.0,0.0,2.0,4.0,4.0,19.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,82.11,37.5,30.0,75.0,0.0,70.27,60.0,50.0,0.2207790087440841,0.3591459729865337,1.0,8.0,0.17586478,4.0,7.0,7.0,0.25865702,36.0,12.952853598014888,10.272952853598015,22.555831265508683,5.806451612903226,1.3399503722084367,0.2233250620347394,1.7866004962779156,0.6699751861042184,1.3399503722084367,0.8933002481389578,0.6699751861042184,0.4466501240694789,0.0,0.4466501240694789,0.8933002481389578,0.8933002481389578,4.2431761786600495,0.2233250620347394,0.0,0.2233250620347394,0.0,0.0,0.6699751861042184,0.6699751861042184,0.0,0.0,82.11,37.5,30.0,75.0,0.0,70.27,60.0,50.0,0.0493054858237408,0.0802062966967445,0.2233250620347394,1.7866004962779156,0.0392750129032258,0.8933002481389578,1.563275434243176,1.563275434243176,0.0577645950372208,8.03970223325062,RB/RCB,26,32,21,58,34,5,66,13,63,47,45,61,47,71,61,61,63,18,32,47,45,18,71,84,53,53,58,53,74,95,18,100,84,21,37,53,68,53,53,53,26,24,21,11,32,26,32,89,47,5,79,21,68,58,63,74,47,79,79,79,68,21,32,58,45,18,74,84,53,53,58,53,74,95,18,100,84,21,47,53,79,63,63,58,26,21,21,11,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,7d9x6ojih9obktxl3fnrjskk4,M. Waem,Matteo Waem,26,Defender,Belgium,Defender,177.0,41.0,218.0,17.0,349.0,1.0,1.0,3.0,13.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,26.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,89.34,52.0,0.0,50.0,100.0,56.67,63.64,37.5,0.0367823415603722,0.0,1.0,3.0,0.05617798,1.0,10.0,7.0,0.19745588,112.0,45.64469914040114,10.573065902578795,56.21776504297994,4.383954154727793,0.2578796561604584,0.2578796561604584,0.7736389684813754,3.35243553008596,1.805157593123209,0.0,0.2578796561604584,0.0,0.0,0.0,0.5157593123209169,0.5157593123209169,6.70487106017192,1.805157593123209,0.0,0.2578796561604584,0.0,0.2578796561604584,0.0,0.2578796561604584,0.0,0.0,89.34,52.0,0.0,50.0,100.0,56.67,63.64,37.5,0.0094854175943653,0.0,0.2578796561604584,0.7736389684813754,0.0144871581661891,0.2578796561604584,2.5787965616045847,1.805157593123209,0.0509198544412607,28.882521489971342,CB,56,12,27,27,15,17,39,43,29,12,21,10,40,26,62,61,46,61,39,76,35,63,39,56,51,51,61,66,39,57,98,49,72,17,10,12,79,27,22,32,24,16,17,27,100,12,68,49,15,20,54,66,44,12,27,10,40,26,76,73,83,76,39,88,35,78,39,61,51,51,61,66,39,57,98,49,72,17,10,12,90,39,32,39,32,20,20,51,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,8kns1kywrlakjwll1cxs19r3e,N. Thomas,Nigel Thomas,25,Attacker,Curaçao,Striker,16.0,44.0,59.0,11.0,259.0,3.0,2.0,1.0,1.0,0.0,3.0,9.0,1.0,0.0,4.0,12.0,13.0,5.0,0.0,1.0,8.0,1.0,2.0,1.0,6.0,0.0,0.0,84.29,25.0,12.5,50.0,22.22,42.31,0.0,33.33,0.4506904072457722,0.3614507972218,7.0,9.0,0.2726138,4.0,8.0,7.0,0.4909925599999999,15.0,5.55984555984556,15.28957528957529,20.501930501930502,3.8223938223938223,1.0424710424710424,0.694980694980695,0.3474903474903475,0.3474903474903475,0.0,1.0424710424710424,3.1274131274131274,0.3474903474903475,0.0,1.38996138996139,4.1698841698841695,4.517374517374518,1.7374517374517375,0.0,0.3474903474903475,2.77992277992278,0.3474903474903475,0.694980694980695,0.3474903474903475,2.0849420849420848,0.0,0.0,84.29,25.0,12.5,50.0,22.22,42.31,0.0,33.33,0.1566105662243996,0.1256006631272664,2.4324324324324325,3.1274131274131274,0.0947306640926641,1.38996138996139,2.77992277992278,2.4324324324324325,0.1706151752895752,5.212355212355212,LW,6,25,19,6,6,22,16,16,16,31,50,9,53,75,44,47,75,12,62,94,47,31,28,69,53,53,75,12,31,75,25,44,16,16,25,38,72,25,31,28,72,19,31,6,50,44,38,31,6,25,25,19,16,38,88,12,53,100,75,75,100,12,81,100,69,31,31,88,53,53,75,12,31,75,25,44,16,16,44,44,88,44,50,56,88,38,62,6,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,c82umtdnxng9vgwogrbznr1be,J. Hawkins,Jalen Hawkins,25,Midfielder,USA,Midfielder,9.0,36.0,40.0,12.0,279.0,8.0,7.0,1.0,1.0,1.0,7.0,4.0,2.0,0.0,2.0,6.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,65.57,11.11,23.81,33.33,0.0,42.86,50.0,50.0,0.3011937661439305,0.7515799868317734,4.0,3.0,0.08768049,2.0,2.0,7.0,0.46947705,17.0,2.903225806451613,11.612903225806452,12.903225806451612,3.870967741935484,2.5806451612903225,2.258064516129032,0.3225806451612903,0.3225806451612903,0.3225806451612903,2.258064516129032,1.2903225806451613,0.6451612903225806,0.0,0.6451612903225806,1.935483870967741,1.935483870967741,0.9677419354838708,0.0,0.0,0.6451612903225806,0.0,0.0,1.6129032258064515,0.6451612903225806,0.0,0.0,65.57,11.11,23.81,33.33,0.0,42.86,50.0,50.0,0.0971592794012679,0.2424451570425075,1.2903225806451613,0.9677419354838708,0.028284029032258,0.6451612903225806,0.6451612903225806,2.258064516129032,0.1514442096774193,5.483870967741935,RM/RCM,11,22,11,11,22,83,11,17,44,61,28,17,56,33,33,33,33,17,28,44,22,22,78,28,56,56,11,11,100,22,22,22,67,22,22,67,56,17,22,28,11,22,44,22,11,22,11,33,44,100,22,22,56,78,33,33,56,67,56,44,44,17,28,44,22,22,89,33,56,56,11,11,100,22,22,22,67,22,33,78,78,11,22,44,11,22,67,22,Eredivisie
