Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total att assist_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total was fouled_Total,total won contest_Total,total won tackle_Total,total aerial won_Total,total assists_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total goals_Total,total ontarget attempt_Total,total touches in opposition box_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total att assist_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total aerial won_p90,total assists_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total att assist_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total aerial won_p90PR,total assists_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Milan,9dntj5dioj5ex52yrgwzxrq9l,2nddcty9qris2mmeldon0ogd1,A. Rabiot,Adrien Rabiot,31,Midfielder,France,Midfielder,40.0,1.0,74.0,1.0,113.0,3.0,1.0,1.0,8.0,5.0,0.0,216.0,4.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,84.96,16.67,33.33,0.0,33.33,38.1,40.0,100.0,0.2679086985576809,0.2559882737610772,0.0,5.0,0.1234349099999999,4.0,6.0,4.0,0.184981,56.0,16.666666666666668,0.4166666666666667,30.833333333333336,0.4166666666666667,47.083333333333336,1.25,0.4166666666666667,0.4166666666666667,3.333333333333333,2.083333333333333,0.0,1.6666666666666667,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.25,0.4166666666666667,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,2.5,0.0,84.96,16.67,33.33,0.0,33.33,38.1,40.0,100.0,0.1116286243990337,0.1066617807337821,0.0,2.083333333333333,0.0514312124999999,1.6666666666666667,2.5,1.6666666666666667,0.0770754166666666,23.333333333333336,CM/AM,47,50,59,21,59,50,9,9,21,85,12,68,9,50,74,100,44,24,56,56,91,50,47,53,29,12,74,9,68,18,41,88,47,59,29,53,53,74,50,35,47,65,62,65,76,29,76,53,12,12,24,82,12,71,9,53,82,100,41,29,65,59,100,59,65,53,29,12,74,9,68,18,41,88,53,65,29,59,53,76,53,41,65,82,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,3bm08rp9rgzh6cjhk0picxs6h,S. Chukwueze,Samuel Chukwueze,27,Attacker,Nigeria,Striker,68.0,6.0,59.0,8.0,121.0,10.0,9.0,9.0,14.0,2.0,4.0,299.0,1.0,6.0,3.0,3.0,2.0,6.0,4.0,2.0,1.0,0.0,3.0,15.0,0.0,80.67,53.33,31.58,66.67,50.0,70.0,75.0,75.0,0.5691035241884603,1.0408933454047444,3.0,20.0,0.62540201,5.0,7.0,13.0,0.93136051,46.0,20.468227424749163,1.806020066889632,17.759197324414714,2.4080267558528425,36.42140468227424,3.0100334448160533,2.709030100334448,2.709030100334448,4.214046822742475,0.6020066889632106,1.2040133779264213,0.3010033444816053,1.806020066889632,0.903010033444816,0.903010033444816,0.6020066889632106,1.806020066889632,1.2040133779264213,0.6020066889632106,0.3010033444816053,0.0,0.903010033444816,4.51505016722408,0.0,80.67,53.33,31.58,66.67,50.0,70.0,75.0,75.0,0.1713020641369947,0.3133123782154749,0.903010033444816,6.020066889632107,0.1882480966555183,1.5050167224080266,2.1070234113712374,3.913043478260869,0.2803426284280936,13.846153846153843,RW,100,81,62,100,100,100,62,62,62,69,100,38,88,75,75,100,56,75,44,56,38,62,75,56,38,50,62,88,56,100,94,75,75,100,75,100,88,75,100,100,100,100,100,75,50,75,88,100,62,62,62,62,100,25,75,75,75,100,50,38,38,25,38,50,75,56,38,50,62,88,56,100,94,75,75,100,75,88,88,75,100,88,100,100,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,498kxii7w64hmki575xdur28k,A. Cisse,Alphadjo Cisse,19,Midfielder,Italy,Midfielder,37.0,1.0,40.0,2.0,76.0,2.0,9.0,9.0,12.0,0.0,0.0,231.0,8.0,1.0,2.0,1.0,0.0,7.0,6.0,1.0,1.0,2.0,2.0,13.0,0.0,82.61,50.0,11.11,11.11,28.57,38.71,33.33,100.0,0.5344052740866165,0.2047837313676476,2.0,1.0,0.02953272,2.0,3.0,4.0,0.25833832,29.0,14.415584415584414,0.3896103896103896,15.584415584415584,0.7792207792207791,29.610389610389607,0.7792207792207791,3.506493506493506,3.506493506493506,4.675324675324675,0.0,0.0,3.1168831168831166,0.3896103896103896,0.7792207792207791,0.3896103896103896,0.0,2.727272727272727,2.3376623376623376,0.3896103896103896,0.3896103896103896,0.7792207792207791,0.7792207792207791,5.064935064935065,0.0,82.61,50.0,11.11,11.11,28.57,38.71,33.33,100.0,0.2082098470467337,0.0797858693640185,0.7792207792207791,0.3896103896103896,0.0115062545454545,0.7792207792207791,1.1688311688311688,1.5584415584415583,0.1006512935064935,11.298701298701298,LM/LCM,67,50,50,33,50,42,75,50,33,17,25,100,33,25,75,33,83,92,50,67,100,83,83,58,50,58,33,33,83,17,83,92,100,83,92,67,67,83,67,67,83,83,67,50,50,33,67,33,100,83,67,17,25,100,33,33,83,33,83,100,50,67,100,83,100,58,50,58,33,33,83,17,83,92,100,83,100,67,67,83,67,67,83,83,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,5gond4ss348863bc1768s4q,Mario Gila,Mario Gila,26,Defender,Spain,Defender,163.0,1.0,81.0,23.0,243.0,4.0,2.0,2.0,14.0,10.0,2.0,341.0,3.0,0.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,91.7,65.71,50.0,0.0,100.0,48.28,54.55,80.0,0.1921131235829304,0.3243266659611559,0.0,7.0,0.14990131,6.0,24.0,18.0,0.6070577699999999,153.0,43.02052785923754,0.2639296187683284,21.378299120234605,6.070381231671554,64.13489736070382,1.0557184750733135,0.5278592375366569,0.5278592375366569,3.6950146627566,2.6392961876832843,0.5278592375366569,0.7917888563049854,0.0,1.0557184750733135,1.5835777126099708,0.0,0.2639296187683284,0.2639296187683284,0.0,0.0,0.0,0.2639296187683284,0.2639296187683284,0.0,91.7,65.71,50.0,0.0,100.0,48.28,54.55,80.0,0.0507043434676355,0.0855994133035308,0.0,1.8475073313783,0.039563395601173,1.5835777126099708,6.334310850439883,4.750733137829912,0.1602205258064516,40.381231671554254,CB,92,82,93,100,95,92,78,76,57,42,28,78,31,69,66,41,32,39,45,43,46,77,16,49,54,81,86,31,95,27,45,74,65,92,43,92,92,100,100,96,95,100,78,76,76,100,81,84,70,70,35,27,19,65,31,41,62,41,22,27,45,43,46,57,8,49,54,81,86,31,95,27,45,74,59,78,43,89,86,97,95,89,86,95,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,7wjdqyl3bkhsfca5cu4riwley,S. Pavlović,Strahinja Pavlovic,25,Defender,Serbia,Defender,183.0,0.0,64.0,4.0,247.0,0.0,6.0,6.0,29.0,18.0,1.0,360.0,5.0,3.0,10.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,7.0,1.0,92.16,30.77,0.0,50.0,33.33,72.5,75.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.75,0.0,16.0,1.0,61.75,0.0,1.5,1.5,7.25,4.5,0.25,1.25,0.75,2.5,2.25,0.0,0.75,0.75,0.0,0.0,0.0,0.25,1.75,0.25,92.16,30.77,0.0,50.0,33.33,72.5,75.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,100,17,79,45,95,10,95,93,100,93,21,86,93,100,95,38,67,86,24,38,43,60,90,98,95,33,17,60,62,100,98,83,26,26,36,24,24,26,24,24,24,24,95,17,52,29,95,10,90,86,100,81,10,81,90,100,95,38,48,76,24,38,43,43,76,95,95,33,17,60,62,100,98,83,26,26,36,24,24,26,24,24,24,24,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,87g6qlasqe627i5g7ir30j2sp,P. Estupiñán,Pervis Estupiñán,28,Defender,Ecuador,Defender,62.0,2.0,40.0,2.0,100.0,2.0,1.0,1.0,6.0,10.0,4.0,204.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,91.74,100.0,40.0,100.0,0.0,46.15,60.0,50.0,0.2206436253897322,0.215114776972475,2.0,3.0,0.06657017,4.0,2.0,7.0,0.3170451099999999,43.0,27.35294117647059,0.8823529411764706,17.647058823529413,0.8823529411764706,44.11764705882353,0.8823529411764706,0.4411764705882353,0.4411764705882353,2.647058823529412,4.411764705882353,1.7647058823529411,0.0,0.4411764705882353,0.4411764705882353,1.3235294117647058,0.0,1.3235294117647058,0.4411764705882353,0.8823529411764706,1.3235294117647058,0.0,0.0,0.8823529411764706,0.0,91.74,100.0,40.0,100.0,0.0,46.15,60.0,50.0,0.0973427759072348,0.0949035780760919,0.8823529411764706,1.3235294117647058,0.0293691926470588,1.7647058823529411,0.8823529411764706,3.088235294117647,0.1398728426470588,18.97058823529412,LB/LCB,64,74,38,19,48,43,33,33,24,74,83,24,62,21,57,38,67,40,76,100,43,21,26,48,90,100,79,95,21,29,76,48,71,62,86,62,62,95,52,52,62,62,76,86,57,24,62,43,38,38,29,67,95,24,67,24,62,38,76,43,86,100,43,21,24,48,90,100,79,95,21,29,76,48,76,67,95,62,62,100,57,57,81,81,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,95r0jtkw03vjohzwc8os8ielm,K. De Winter,Koni De Winter,24,Defender,Belgium,Defender,166.0,0.0,48.0,3.0,214.0,0.0,1.0,1.0,19.0,22.0,5.0,360.0,1.0,1.0,7.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,95.96,50.0,0.0,100.0,0.0,61.29,81.82,87.5,0.4218451349473022,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.07232097,58.0,41.5,0.0,12.0,0.75,53.5,0.0,0.25,0.25,4.75,5.5,1.25,0.25,0.25,1.75,2.25,0.0,0.75,0.75,0.0,0.25,0.0,0.0,1.5,0.0,95.96,50.0,0.0,100.0,0.0,61.29,81.82,87.5,0.1054612837368255,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0180802425,14.5,CB,95,38,59,27,92,11,58,58,91,95,81,38,74,99,84,41,88,89,45,93,46,28,84,49,95,39,38,88,28,65,97,81,92,24,43,31,31,31,46,54,43,70,76,38,36,15,65,11,51,51,59,70,59,26,64,86,73,41,68,76,45,88,46,28,66,49,95,39,38,88,28,65,97,81,86,24,43,31,31,31,45,51,43,57,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,9v4l7ic3ve6d22c0gs9p1oe3u,Gonçalo Ramos,Gonçalo Matias Ramos,25,Attacker,Portugal,Striker,29.0,0.0,36.0,2.0,65.0,2.0,6.0,7.0,24.0,4.0,1.0,355.0,5.0,1.0,2.0,12.0,0.0,14.0,12.0,2.0,3.0,1.0,4.0,20.0,0.0,73.86,100.0,0.0,16.67,28.57,46.15,52.17,33.33,1.540858678017608,0.1719517540562921,0.0,3.0,0.0609883799999999,0.0,3.0,2.0,0.1162477699999998,22.0,7.352112676056338,0.0,9.126760563380282,0.5070422535211268,16.47887323943662,0.5070422535211268,1.5211267605633805,1.7746478873239435,6.084507042253521,1.0140845070422535,0.2535211267605634,1.2676056338028168,0.2535211267605634,0.5070422535211268,3.0422535211267605,0.0,3.549295774647887,3.0422535211267605,0.5070422535211268,0.7605633802816901,0.2535211267605634,1.0140845070422535,5.070422535211267,0.0,73.86,100.0,0.0,16.67,28.57,46.15,52.17,33.33,0.3906402282298161,0.0435934024368064,0.0,0.7605633802816901,0.0154618428169013,0.0,0.7605633802816901,0.5070422535211268,0.0294712656338027,5.577464788732394,ST,98,38,77,71,88,31,54,62,96,98,75,58,29,81,100,42,96,96,79,81,52,77,77,48,42,87,38,25,27,65,96,46,96,58,23,60,50,25,75,56,65,92,88,38,50,65,65,23,46,46,85,92,58,23,19,73,96,42,77,81,73,69,38,46,54,48,42,87,38,25,27,65,96,46,85,58,23,50,42,25,69,46,58,81,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,b2e12l3s3dxgyr8d2rk5qb9ey,Y. Musah,Yunus Musah,23,Midfielder,USA,Midfielder,70.0,1.0,76.0,4.0,145.0,1.0,7.0,7.0,14.0,3.0,3.0,315.0,6.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,90.62,66.67,100.0,57.14,0.0,66.67,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.2857142857142857,21.714285714285715,1.1428571428571428,41.42857142857143,0.2857142857142857,2.0,2.0,4.0,0.8571428571428571,0.8571428571428571,1.7142857142857142,1.1428571428571428,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,90.62,66.67,100.0,57.14,0.0,66.67,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CM/AM,94,50,71,68,71,12,74,74,76,62,82,88,85,50,44,35,21,24,21,26,41,21,26,53,94,71,100,76,21,88,35,50,15,12,29,12,12,12,12,12,12,12,76,35,65,59,71,6,71,71,59,53,65,76,82,41,35,35,18,18,21,26,41,21,18,53,94,71,100,76,21,88,35,50,15,12,29,12,12,12,12,12,12,12,Serie A
Milan,9dntj5dioj5ex52yrgwzxrq9l,diod1hv5hv7v7z7mfleev1txx,L. Modrić,Luka Modric,41,Midfielder,Croatia,Midfielder,98.0,4.0,82.0,12.0,176.0,4.0,3.0,3.0,6.0,2.0,4.0,235.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.72,70.59,40.0,33.33,0.0,60.0,0.0,50.0,0.0,0.5901125740754609,0.0,2.0,0.04797389,1.0,20.0,16.0,0.6094616799999999,105.0,37.53191489361702,1.5319148936170213,31.40425531914893,4.595744680851063,67.40425531914893,1.5319148936170213,1.1489361702127658,1.1489361702127658,2.297872340425532,0.7659574468085106,1.5319148936170213,1.1489361702127658,0.3829787234042553,0.3829787234042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.72,70.59,40.0,33.33,0.0,60.0,0.0,50.0,0.0,0.226000560284219,0.0,0.7659574468085106,0.0183729791489361,0.3829787234042553,7.659574468085106,6.127659574468085,0.2334108561702127,40.212765957446805,DM/CM,84,100,68,94,80,74,56,54,14,30,64,62,46,16,26,40,10,30,18,24,46,26,12,52,68,68,86,38,26,92,32,40,24,100,36,58,56,58,88,80,96,88,96,100,68,96,88,80,60,60,20,28,72,76,56,16,26,40,10,30,18,24,46,26,12,52,68,68,86,38,26,92,32,40,24,100,36,64,60,64,84,80,100,88,Serie A
