Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total big chances saved_Total,total duels won_Total,total effective clearance_Total,total mins played,total was fouled_Total,total accurate cross_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total goals_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total won contest_Total,total won tackle_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total big chances saved_p90,total duels won_p90,total effective clearance_p90,total was fouled_p90,total accurate cross_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won contest_p90,total won tackle_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total big chances saved_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total big chances saved_p90PR,total duels won_p90PR,total effective clearance_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won contest_p90PR,total won tackle_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2dy1hq4zjtp1tmx54th5de5uc,S. Bartlewicz,Szymon Bartlewicz,20,Midfielder,Poland,Midfielder,11.0,55.0,2.0,63.0,1.0,0.0,8.0,1.0,208.0,3.0,3.0,0.0,4.0,5.0,2.0,3.0,2.0,7.0,7.0,1.0,2.0,1.0,9.0,2.0,2.0,0.0,78.75,100.0,30.0,28.57,20.0,34.78,0.0,100.0,0.5906765605711664,0.4006099376117035,1.0,6.0,0.16615777,2.0,5.0,12.0,0.7829357100000001,36.0,4.759615384615385,23.798076923076927,0.8653846153846154,27.259615384615387,0.4326923076923077,0.0,3.4615384615384617,0.4326923076923077,1.2980769230769231,1.2980769230769231,0.0,1.7307692307692308,2.1634615384615388,0.8653846153846154,1.2980769230769231,0.8653846153846154,3.028846153846154,3.028846153846154,0.4326923076923077,0.8653846153846154,0.4326923076923077,3.8942307692307696,0.8653846153846154,0.8653846153846154,0.0,78.75,100.0,30.0,28.57,20.0,34.78,0.0,100.0,0.2555812040932931,0.1733408383896794,0.4326923076923077,2.5961538461538463,0.0718951889423077,0.8653846153846154,2.1634615384615388,5.1923076923076925,0.3387702591346154,15.576923076923078,CM/AM,4,4,10,4,12,50,8,7,20,51,27,23,29,32,34,39,48,42,69,28,36,36,26,18,51,31,98,60,11,33,7,4,96,47,38,14,21,20,12,7,21,56,11,11,67,22,33,31,50,27,11,47,76,27,62,80,51,84,87,89,87,87,67,56,82,49,49,51,31,98,60,11,33,7,4,96,82,67,36,67,64,36,22,76,98,47,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2pdy64dhznfn9tu2ahy3ef5qt,B. Nowak,Bartosz Nowak,33,Midfielder,Poland,Midfielder,37.0,168.0,9.0,183.0,3.0,0.0,18.0,6.0,712.0,3.0,22.0,5.0,34.0,16.0,8.0,8.0,5.0,11.0,13.0,2.0,5.0,7.0,35.0,7.0,4.0,0.0,75.31,52.94,34.92,63.64,43.75,47.37,50.0,66.67,1.1392279128286988,3.5427857393813538,8.0,21.0,0.6548080499999999,8.0,15.0,33.0,2.3302446600000004,94.0,4.676966292134831,21.235955056179776,1.1376404494382022,23.132022471910112,0.3792134831460674,0.0,2.2752808988764044,0.7584269662921348,0.3792134831460674,2.7808988764044944,0.6320224719101123,4.297752808988764,2.02247191011236,1.0112359550561798,1.0112359550561798,0.6320224719101123,1.3904494382022472,1.643258426966292,0.2528089887640449,0.6320224719101123,0.8848314606741573,4.424157303370786,0.8848314606741573,0.5056179775280899,0.0,75.31,52.94,34.92,63.64,43.75,47.37,50.0,66.67,0.1440035283069984,0.4478240400903396,1.0112359550561798,2.654494382022472,0.082770680477528,1.0112359550561798,1.896067415730337,4.171348314606742,0.2945533980337079,11.882022471910112,CM/AM,24,82,63,62,44,50,34,48,20,100,100,100,84,76,89,89,64,69,79,63,83,96,73,49,51,13,53,80,73,84,47,63,62,76,100,91,78,87,70,36,88,100,51,9,51,40,16,18,50,7,29,11,98,100,100,71,67,71,67,49,47,73,44,78,89,51,28,51,13,53,80,73,84,47,63,62,67,100,82,69,73,53,16,58,96,24,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2vdsve6yhop4tq3hwqsv233hm,I. Shkurin,Ilya Shkurin,27,Attacker,Belarus,Striker,35.0,70.0,4.0,105.0,35.0,0.0,56.0,8.0,682.0,9.0,0.0,1.0,8.0,20.0,19.0,1.0,3.0,12.0,12.0,6.0,0.0,9.0,55.0,9.0,2.0,0.0,66.88,57.14,0.0,75.0,45.0,45.9,50.0,66.67,2.451661869412563,0.4008455143051727,2.0,4.0,0.10305785,2.0,10.0,6.0,0.2568546699999999,32.0,4.618768328445748,9.237536656891496,0.5278592375366569,13.856304985337244,4.618768328445748,0.0,7.390029325513197,1.0557184750733135,1.187683284457478,0.0,0.1319648093841642,1.0557184750733135,2.6392961876832843,2.50733137829912,0.1319648093841642,0.3958944281524927,1.5835777126099708,1.5835777126099708,0.7917888563049854,0.0,1.187683284457478,7.258064516129033,1.187683284457478,0.2639296187683284,0.0,66.88,57.14,0.0,75.0,45.0,45.9,50.0,66.67,0.3235330912714526,0.0528975018877793,0.2639296187683284,0.5278592375366569,0.0136000095307917,0.2639296187683284,1.3196480938416422,0.7917888563049854,0.0338957775659823,4.222873900293255,ST,90,87,83,93,97,50,97,68,77,33,85,82,77,82,37,50,77,73,95,25,83,97,93,68,52,40,57,33,87,77,80,85,62,83,63,53,58,50,62,92,65,63,80,67,73,70,77,100,50,97,37,43,33,77,53,47,60,27,27,63,63,97,25,53,100,80,50,52,40,57,33,87,77,80,85,62,50,30,27,20,17,50,83,40,33,63,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,4k6q76mgnuplycboirg98tzh1,A. Czerwiński,Alan Czerwinski,33,Defender,Poland,Defender,92.0,104.0,10.0,191.0,3.0,0.0,8.0,10.0,336.0,0.0,5.0,1.0,5.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,86.82,50.0,38.46,0.0,0.0,36.36,37.5,80.0,0.3048289121832093,0.5766023231299244,0.0,11.0,0.25464939,5.0,28.0,20.0,0.8537760099999998,112.0,24.642857142857142,27.857142857142858,2.6785714285714284,51.160714285714285,0.8035714285714286,0.0,2.142857142857143,2.6785714285714284,0.0,1.3392857142857142,0.2678571428571428,1.3392857142857142,1.0714285714285714,0.8035714285714286,0.2678571428571428,0.5357142857142857,0.0,0.0,0.0,0.2678571428571428,0.0,1.3392857142857142,0.0,1.0714285714285714,0.0,86.82,50.0,38.46,0.0,0.0,36.36,37.5,80.0,0.0816506014776453,0.1544470508383726,0.0,2.946428571428571,0.0682096580357142,1.3392857142857142,7.5,5.357142857142857,0.2286900026785713,30.0,RB/RCB,53,57,73,52,35,47,10,22,5,82,73,62,62,70,58,83,7,7,42,7,27,32,10,30,52,77,78,83,10,27,8,33,93,60,80,27,58,60,62,83,55,67,57,83,90,87,93,43,47,10,37,5,90,80,83,83,80,70,93,7,7,42,7,27,53,10,53,52,77,78,83,10,27,8,33,93,70,93,27,83,80,87,100,90,90,93,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,4w0adddkbx4642lkebbcmxbzd,E. Marković,Eman Markovic,27,Midfielder,Norway,Midfielder,17.0,73.0,2.0,88.0,1.0,0.0,24.0,2.0,436.0,8.0,2.0,0.0,4.0,18.0,15.0,3.0,7.0,15.0,15.0,1.0,1.0,6.0,28.0,8.0,6.0,0.0,82.24,50.0,11.76,53.33,33.33,50.0,14.29,85.71,1.5814320066293348,0.274232894510685,5.0,14.0,0.3724295399999999,8.0,5.0,9.0,0.4068096199999999,45.0,3.5091743119266057,15.068807339449542,0.4128440366972477,18.1651376146789,0.2064220183486238,0.0,4.954128440366973,0.4128440366972477,1.651376146788991,0.4128440366972477,0.0,0.8256880733944955,3.7155963302752295,3.096330275229358,0.6192660550458716,1.444954128440367,3.096330275229358,3.096330275229358,0.2064220183486238,0.2064220183486238,1.2385321100917432,5.779816513761468,1.651376146788991,1.2385321100917432,0.0,82.24,50.0,11.76,53.33,33.33,50.0,14.29,85.71,0.3264423866895416,0.0566077075824808,1.0321100917431194,2.889908256880734,0.0768776573394495,1.651376146788991,1.0321100917431194,1.8577981651376148,0.0839744628440366,9.288990825688074,RM/RCM,13,48,37,35,17,52,52,22,61,33,33,28,87,91,41,87,76,67,65,24,87,85,78,76,52,61,67,20,74,72,59,22,91,87,26,70,61,48,85,22,35,22,43,13,39,39,26,13,52,65,17,48,39,33,22,96,100,43,91,74,74,57,13,96,83,87,78,52,61,67,20,74,72,59,22,91,91,26,74,70,57,91,22,30,17,39,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,5b7b7r7i8p979803noj3wez11,B. Wolski,Bartosz Wolski,29,Midfielder,Poland,Midfielder,102.0,179.0,16.0,273.0,5.0,0.0,26.0,10.0,563.0,8.0,8.0,0.0,10.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,88.06,61.54,57.14,50.0,0.0,60.47,62.5,58.33,0.0933943415782443,0.9853424832361092,1.0,26.0,0.5811328099999999,13.0,44.0,45.0,1.95783083,176.0,16.30550621669627,28.614564831261102,2.5577264653641207,43.64120781527531,0.7992895204262878,0.0,4.156305506216697,1.5985790408525755,1.2788632326820604,1.2788632326820604,0.0,1.5985790408525755,0.3197158081705151,0.0,0.3197158081705151,0.1598579040852575,0.3197158081705151,0.3197158081705151,0.0,0.1598579040852575,0.0,0.1598579040852575,0.1598579040852575,1.119005328596803,0.0,88.06,61.54,57.14,50.0,0.0,60.47,62.5,58.33,0.0149298236981207,0.1575147841762874,0.1598579040852575,4.156305506216697,0.0928986730017761,2.0781527531083483,7.033747779751332,7.19360568383659,0.3129747330373001,28.134991119005328,DM/CM,44,76,72,68,50,50,48,44,72,94,40,90,12,16,28,40,26,26,44,4,14,20,26,68,52,76,64,84,48,14,84,74,56,8,92,26,90,88,98,84,92,100,78,44,80,68,64,56,50,40,28,68,96,40,84,8,16,24,28,20,20,44,4,14,24,20,56,52,76,64,84,48,14,84,74,56,8,80,16,88,92,96,88,100,100,76,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,6mjhepo267xtrt1bqre1dsq8l,L. Klemenz,Lukas Klemenz,30,Defender,Poland,Defender,143.0,83.0,7.0,225.0,23.0,0.0,37.0,29.0,529.0,6.0,1.0,0.0,5.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,14.0,1.0,3.0,0.0,82.42,28.0,50.0,100.0,0.0,59.68,71.88,42.86,1.8423006657197645,0.0666363541485848,0.0,5.0,0.10775631,3.0,14.0,18.0,0.3556904999999999,137.0,24.3289224952741,14.120982986767483,1.1909262759924384,38.27977315689981,3.913043478260869,0.0,6.294896030245746,4.933837429111531,1.0207939508506616,0.1701323251417769,0.0,0.8506616257088846,1.3610586011342154,1.3610586011342154,0.0,0.0,0.1701323251417769,0.1701323251417769,0.0,1.0207939508506616,0.0,2.3818525519848768,0.1701323251417769,0.5103969754253308,0.0,82.42,28.0,50.0,100.0,0.0,59.68,71.88,42.86,0.3134348958691471,0.0113369978702696,0.0,0.8506616257088846,0.0183328315689981,0.5103969754253308,2.3818525519848768,3.062381852551985,0.0605144517958411,23.30812854442344,RB/RCB,73,37,52,60,93,47,72,75,57,22,30,62,93,93,23,27,17,15,42,50,27,80,35,17,52,47,23,97,93,27,80,97,17,97,10,27,40,40,43,45,50,10,67,80,33,37,60,97,47,87,90,67,23,30,50,90,93,23,27,13,13,42,57,27,83,30,17,52,47,23,97,93,27,80,97,17,100,10,27,47,37,37,43,60,7,67,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,8fgscsdgytvhw5y6mlthxtrdh,E. Jirka,Erik Jirka,29,Midfielder,Slovakia,Midfielder,40.0,77.0,5.0,112.0,5.0,0.0,22.0,12.0,437.0,2.0,5.0,0.0,3.0,7.0,2.0,5.0,2.0,9.0,10.0,0.0,8.0,1.0,14.0,5.0,4.0,0.0,69.14,23.81,31.25,55.56,14.29,42.31,45.45,40.0,0.4074731509393087,0.2684589905777373,4.0,9.0,0.19603813,5.0,16.0,23.0,0.8584109600000001,70.0,8.237986270022883,15.858123569794053,1.0297482837528604,23.06636155606408,1.0297482837528604,0.0,4.530892448512586,2.471395881006865,0.4118993135011441,1.0297482837528604,0.0,0.6178489702517163,1.4416475972540046,0.4118993135011441,1.0297482837528604,0.4118993135011441,1.853546910755149,2.059496567505721,0.0,1.647597254004577,0.205949656750572,2.883295194508009,1.0297482837528604,0.8237986270022883,0.0,69.14,23.81,31.25,55.56,14.29,42.31,45.45,40.0,0.0839189555710246,0.05528903696109,0.8237986270022883,1.853546910755149,0.040373985583524,1.0297482837528604,3.2951945080091534,4.736842105263158,0.176789442562929,14.416475972540049,RM/RCM,70,57,65,59,76,52,43,83,11,76,33,17,46,15,80,46,35,39,24,78,22,30,50,54,52,13,35,65,83,9,39,72,22,30,22,59,43,30,59,83,78,61,74,61,48,70,52,78,52,43,96,9,78,33,13,30,17,78,48,43,43,24,91,13,39,61,48,52,13,35,65,83,9,39,72,22,30,13,52,39,22,52,96,87,61,87,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,a0zpetflr8gttr03gfqjvxi39,Borja Galán,Borja Galán,33,Midfielder,Spain,Midfielder,25.0,49.0,5.0,72.0,4.0,0.0,12.0,6.0,251.0,5.0,2.0,2.0,4.0,6.0,4.0,2.0,2.0,6.0,8.0,0.0,1.0,1.0,14.0,2.0,1.0,0.0,79.12,55.56,25.0,33.33,16.67,50.0,66.67,100.0,0.4231114971419584,0.4177558675011227,3.0,5.0,0.17972494,3.0,3.0,7.0,0.6085438999999999,26.0,8.964143426294822,17.56972111553785,1.7928286852589643,25.81673306772909,1.4342629482071714,0.0,4.302788844621515,2.1513944223107573,1.7928286852589643,0.7171314741035857,0.7171314741035857,1.4342629482071714,2.1513944223107573,1.4342629482071714,0.7171314741035857,0.7171314741035857,2.1513944223107573,2.8685258964143427,0.0,0.3585657370517928,0.3585657370517928,5.0199203187251,0.7171314741035857,0.3585657370517928,0.0,79.12,55.56,25.0,33.33,16.67,50.0,66.67,100.0,0.1517132858277938,0.1497929405382511,1.0756972111553786,1.7928286852589643,0.0644432055776892,1.0756972111553786,1.0756972111553786,2.50996015936255,0.2182029920318725,9.322709163346614,LM/LCM,39,22,56,22,56,47,11,53,36,39,94,33,42,44,50,47,25,28,22,19,25,53,28,17,50,36,67,56,31,33,72,89,100,28,33,42,17,22,28,25,28,39,22,61,61,89,61,78,47,56,89,78,78,100,61,61,72,56,67,28,61,22,44,33,89,28,22,50,36,67,56,31,33,72,89,100,56,67,56,28,39,61,50,56,83,56,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,ah6vnv6ucqsj05pj9ofmmfhlh,M. Wdowiak,Mateusz Wdowiak,30,Midfielder,Poland,Midfielder,38.0,92.0,3.0,123.0,3.0,0.0,18.0,9.0,381.0,5.0,7.0,0.0,8.0,13.0,7.0,6.0,4.0,11.0,11.0,1.0,2.0,2.0,18.0,5.0,2.0,0.0,87.86,42.86,58.33,45.45,15.38,43.9,30.0,40.0,1.06131171164876,0.7755135515737401,7.0,20.0,0.6272526099999999,4.0,3.0,13.0,1.36491909,42.0,8.976377952755906,21.73228346456693,0.7086614173228346,29.05511811023622,0.7086614173228346,0.0,4.251968503937007,2.125984251968504,1.1811023622047243,1.653543307086614,0.0,1.889763779527559,3.070866141732284,1.653543307086614,1.4173228346456692,0.9448818897637796,2.598425196850393,2.598425196850393,0.2362204724409448,0.4724409448818897,0.4724409448818897,4.251968503937007,1.1811023622047243,0.4724409448818897,0.0,87.86,42.86,58.33,45.45,15.38,43.9,30.0,40.0,0.2507035539327779,0.1831921775371039,1.653543307086614,4.724409448818897,0.1481699078740157,0.9448818897637796,0.7086614173228346,3.070866141732284,0.3224218322834645,9.921259842519683,LM/LCM,56,56,31,56,44,47,39,64,36,89,33,64,75,75,64,72,44,44,64,42,44,69,53,31,50,94,36,94,61,28,33,28,28,72,56,69,58,72,39,25,47,94,44,67,89,44,67,50,47,50,83,44,89,33,94,78,89,78,78,50,39,61,61,56,72,67,39,50,94,36,94,61,28,33,28,28,83,89,83,83,89,44,17,72,100,61,Ekstraklasa
