Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total duels won_Total,total mins played,total touches in opposition box_Total,total accurate long balls_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total goals_Total,total ontarget attempt_Total,total was fouled_Total,total won contest_Total,total interception_Total,total won tackle_Total,total big chances saved_Total,total accurate cross_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total duels won_p90,total touches in opposition box_p90,total accurate long balls_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total was fouled_p90,total won contest_p90,total interception_p90,total won tackle_p90,total big chances saved_p90,total accurate cross_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total duels won_TotalPR,total touches in opposition box_TotalPR,total accurate long balls_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total interception_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total accurate cross_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total duels won_p90PR,total touches in opposition box_p90PR,total accurate long balls_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total was fouled_p90PR,total won contest_p90PR,total interception_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total accurate cross_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,1lyedukw5k3tit02e25631m21,C. Kahraman,Cihan Kahraman,27.0,Midfielder,Türkiye,Midfielder,50.0,67.0,110.0,18.0,501.0,4.0,4.0,1.0,4.0,10.0,4.0,1.0,3.0,1.0,12.0,13.0,3.0,0.0,1.0,6.0,7.0,6.0,3.0,0.0,7.0,79.71,44.44,43.75,58.33,25.0,39.13,16.67,75.0,0.2450309778456222,1.2962208281205976,2.0,9.0,0.19828285,5.0,11.0,14.0,0.33049966,55.0,8.982035928143713,12.035928143712576,19.76047904191617,3.2335329341317367,0.718562874251497,0.718562874251497,0.1796407185628742,0.718562874251497,1.796407185628743,0.718562874251497,0.1796407185628742,0.5389221556886228,0.1796407185628742,2.155688622754491,2.335329341317365,0.5389221556886228,0.0,0.1796407185628742,1.0778443113772456,1.25748502994012,1.0778443113772456,0.5389221556886228,0.0,1.25748502994012,79.71,44.44,43.75,58.33,25.0,39.13,16.67,75.0,0.0440175409303513,0.232854040979748,0.3592814371257485,1.6167664670658684,0.0356196736526946,0.8982035928143713,1.9760479041916168,2.51497005988024,0.0593711964071856,9.880239520958083,CM/AM,59,46,44,39,19,56,20,100,80,37,26,54,39,74,78,54,26,31,44,78,91,28,52,81,48,37,81,63,37,22,17,78,30,96,46,56,52,52,54,56,22,54,33,30,22,19,11,41,11,100,78,33,19,52,33,63,63,44,26,26,30,74,81,22,52,85,48,37,81,63,37,22,17,78,15,81,33,44,37,41,37,41,15,37,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,1xfp8m5avfbrw5xsbi5n34ep6,N. Michelis,Nikos Michelis,25.0,Defender,Greece,Defender,243.0,52.0,295.0,20.0,489.0,4.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,86.26,46.0,0.0,0.0,0.0,62.5,65.0,100.0,0.1271325877516834,0.0,0.0,2.0,0.03085409,0.0,7.0,12.0,0.2998942400000002,148.0,44.7239263803681,9.570552147239264,54.29447852760736,3.680981595092024,0.7361963190184049,4.233128834355828,2.392638036809816,0.0,0.0,0.0,0.0,0.0,0.0,0.1840490797546012,0.1840490797546012,9.386503067484664,0.0,0.0,0.3680981595092024,0.0,0.7361963190184049,0.920245398773006,0.0,0.0,86.26,46.0,0.0,0.0,0.0,62.5,65.0,100.0,0.0233986357825184,0.0,0.0,0.3680981595092024,0.0056786668711656,0.0,1.2883435582822085,2.2085889570552144,0.0551952588957055,27.23926380368098,CB,59,26,44,46,54,63,76,47,18,13,13,34,38,46,46,91,40,28,38,21,38,63,46,44,32,47,44,21,28,72,71,96,35,22,37,41,38,28,24,34,29,32,79,24,56,44,56,71,74,47,18,13,13,34,38,50,50,97,40,28,35,21,41,65,46,44,32,47,44,21,28,72,71,96,32,22,37,41,38,28,24,35,29,41,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,5fuhsuoevtbczleyh6aqmqne,A. Correia,Anthony Correia,27.0,Defender,France,Defender,277.0,61.0,338.0,11.0,630.0,5.0,47.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,37.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,87.56,58.75,0.0,0.0,0.0,36.67,43.75,100.0,0.1168576523631789,0.1806638848676391,0.0,5.0,0.0918052,0.0,15.0,18.0,0.3725505399999999,198.0,39.57142857142857,8.714285714285714,48.285714285714285,1.5714285714285714,0.7142857142857143,6.714285714285714,1.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.1428571428571428,5.285714285714286,0.0,0.0,0.4285714285714285,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,87.56,58.75,0.0,0.0,0.0,36.67,43.75,100.0,0.0166939503375969,0.0258091264096627,0.0,0.7142857142857143,0.0131150285714285,0.0,2.142857142857143,2.571428571428572,0.0532215057142856,28.285714285714285,CB,79,38,59,9,69,97,26,97,46,31,38,34,38,46,46,75,40,28,62,21,6,13,96,44,44,82,44,21,28,6,18,96,29,79,37,66,65,28,47,50,44,56,65,18,32,9,51,94,16,96,38,26,28,34,38,34,34,47,40,28,44,21,3,10,93,44,44,82,44,21,28,6,18,96,26,68,37,63,59,28,38,44,26,47,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,8fzz4hjjxl92oeyuad60nkmj8,Gustavo Costa,Gustavo Abreu Costa,21.0,Defender,Portugal,Defender,92.0,43.0,135.0,18.0,309.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,9.0,0.0,0.0,4.0,2.0,6.0,4.0,0.0,0.0,79.88,45.45,0.0,33.33,0.0,69.23,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79611650485437,12.524271844660197,39.320388349514566,5.242718446601942,0.0,2.912621359223301,1.7475728155339807,0.0,0.0,0.0,0.0,0.0,0.0,1.7475728155339807,2.0388349514563107,2.621359223300971,0.0,0.0,1.1650485436893203,0.5825242718446603,1.7475728155339807,1.1650485436893203,0.0,0.0,79.88,45.45,0.0,33.33,0.0,69.23,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,62,25,46,50,10,75,75,44,17,12,25,19,29,54,54,40,44,33,69,54,79,50,50,17,29,56,17,46,33,96,8,56,12,17,19,15,15,15,10,10,10,10,92,25,75,83,10,88,88,44,17,12,25,19,29,75,88,54,44,33,83,67,92,58,50,17,29,56,17,46,33,96,8,56,12,17,19,15,15,15,10,10,10,10,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,8yuez76ecj9uhh9m4k2llf5gq,S. Messeguem,Soufiane Messeguem,25.0,Midfielder,Germany,Midfielder,50.0,55.0,102.0,24.0,619.0,11.0,8.0,2.0,0.0,6.0,4.0,1.0,3.0,2.0,11.0,12.0,8.0,1.0,2.0,12.0,2.0,4.0,4.0,0.0,3.0,72.86,61.54,23.08,18.18,50.0,36.36,25.0,50.0,0.5059494029159762,0.6341373171031855,2.0,4.0,0.12049959,2.0,9.0,7.0,0.4964296299999999,48.0,7.269789983844911,7.996768982229402,14.830371567043615,3.489499192245557,1.5993537964458804,1.1631663974151858,0.2907915993537964,0.0,0.8723747980613893,0.5815831987075929,0.1453957996768982,0.4361873990306946,0.2907915993537964,1.5993537964458804,1.7447495961227786,1.1631663974151858,0.1453957996768982,0.2907915993537964,1.7447495961227786,0.2907915993537964,0.5815831987075929,0.5815831987075929,0.0,0.4361873990306946,72.86,61.54,23.08,18.18,50.0,36.36,25.0,50.0,0.0735629180330175,0.0922009023251804,0.2907915993537964,0.5815831987075929,0.0175201342487883,0.2907915993537964,1.308562197092084,1.0177705977382876,0.0721787830371566,6.978998384491114,CM/AM,59,30,41,52,54,74,44,31,35,37,26,54,65,65,70,89,72,54,83,35,70,41,52,57,11,63,48,19,74,19,30,26,59,48,46,19,26,22,39,22,59,41,19,7,7,26,30,67,26,31,19,15,11,41,52,48,48,89,52,37,70,22,59,26,52,52,11,63,48,19,74,19,30,26,37,33,26,19,19,19,19,7,22,7,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,90ih1zcj54pxfn0jf1l3hhv4l,Luís Silva,Luís Manuel Costa Silva,33.0,Midfielder,Portugal,Midfielder,95.0,44.0,139.0,11.0,339.0,1.0,8.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,86.34,53.33,0.0,0.0,0.0,40.74,42.86,75.0,0.1669471315206145,0.0444416961367068,0.0,3.0,0.05791296,0.0,12.0,11.0,0.26665297,74.0,25.22123893805309,11.68141592920354,36.90265486725664,2.920353982300885,0.2654867256637168,2.1238938053097347,0.7964601769911505,0.0,0.2654867256637168,0.5309734513274337,0.2654867256637168,0.2654867256637168,0.0,0.2654867256637168,0.2654867256637168,2.3893805309734515,0.0,0.0,1.0619469026548674,0.0,0.7964601769911505,0.7964601769911505,0.0,0.0,86.34,53.33,0.0,0.0,0.0,40.74,42.86,75.0,0.0443222473063578,0.0117986803902761,0.0,0.7964601769911505,0.0153751221238938,0.0,3.185840707964602,2.920353982300885,0.0707928238938053,19.646017699115045,DM/CM,62,14,40,13,30,51,37,37,20,36,56,31,24,17,17,70,43,24,39,11,25,31,50,33,45,43,33,11,24,7,29,83,50,17,13,25,19,12,39,35,33,48,79,21,52,10,29,60,43,37,19,43,55,36,24,14,14,76,43,24,50,11,24,31,50,33,45,43,33,11,24,7,29,83,48,17,13,24,24,12,45,40,38,57,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,a9f7xwldytd5pztz8r1ymmyhg,L. Gohi,Lorougnon Gohi,22.0,Attacker,Côte d'Ivoire,Striker,20.0,41.0,57.0,25.0,326.0,9.0,3.0,3.0,0.0,6.0,6.0,4.0,2.0,2.0,13.0,13.0,5.0,1.0,2.0,6.0,8.0,0.0,7.0,0.0,4.0,72.15,37.5,40.0,61.54,33.33,53.19,60.0,87.5,0.4246828271222891,0.6138013646042695,3.0,11.0,0.35282776,2.0,4.0,13.0,0.9696743799999998,28.0,5.521472392638037,11.319018404907975,15.736196319018404,6.901840490797546,2.4846625766871164,0.8282208588957055,0.8282208588957055,0.0,1.656441717791411,1.656441717791411,1.1042944785276074,0.5521472392638037,0.5521472392638037,3.588957055214724,3.588957055214724,1.3803680981595092,0.2760736196319018,0.5521472392638037,1.656441717791411,2.208588957055215,0.0,1.9325153374233128,0.0,1.1042944785276074,72.15,37.5,40.0,61.54,33.33,53.19,60.0,87.5,0.1172437252791595,0.1694543644613013,0.8282208588957055,3.03680981595092,0.0974064368098159,0.5521472392638037,1.1042944785276074,3.588957055214724,0.2677015159509202,7.730061349693251,LW,44,41,32,76,41,47,76,29,56,29,44,32,56,68,65,71,74,38,44,85,12,88,53,68,24,41,94,82,41,65,94,88,29,59,32,62,65,41,29,76,71,59,47,41,41,71,41,41,76,29,76,29,53,29,53,65,65,76,65,29,53,88,12,88,53,76,24,41,94,82,41,65,94,88,24,76,41,76,76,35,35,71,88,53,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,bd0g0d91h9zyiyk8mktnmfpt6,Á. Zamora,Álvaro Zamora,24.0,Attacker,Costa Rica,Striker,24.0,33.0,57.0,11.0,250.0,5.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,7.0,0.0,2.0,2.0,0.0,0.0,73.08,37.5,0.0,0.0,50.0,47.83,66.67,100.0,0.1505223779616559,0.077450912720478,1.0,2.0,0.03992476,1.0,8.0,8.0,0.16113649,19.0,8.64,11.88,20.52,3.96,1.8,1.08,0.72,0.0,0.36,0.72,0.72,0.0,0.0,0.36,1.08,0.36,0.0,0.36,2.52,0.0,0.72,0.72,0.0,0.0,73.08,37.5,0.0,0.0,50.0,47.83,66.67,100.0,0.0541880560661961,0.027882328579372,0.36,0.72,0.0143729135999999,0.36,2.88,2.88,0.0580091364,6.84,LW,59,24,32,12,18,47,62,29,12,6,26,6,12,6,6,21,32,12,62,6,44,24,53,18,29,41,18,6,85,47,100,97,6,24,12,15,12,24,76,50,24,24,82,53,53,29,24,59,71,29,12,12,29,6,12,6,6,41,32,24,82,6,71,53,53,18,29,41,18,6,85,47,100,97,12,24,18,18,12,24,88,65,24,35,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,bozw8m0wz31bzaa7jyktg3cic,João Guilherme,João Guilherme de Sousa Crispim,25.0,Midfielder,Brazil,Midfielder,49.0,61.0,107.0,53.0,610.0,24.0,0.0,16.0,0.0,3.0,16.0,11.0,5.0,3.0,19.0,22.0,8.0,1.0,3.0,17.0,8.0,2.0,9.0,0.0,3.0,76.98,0.0,50.0,42.11,18.75,51.96,45.71,75.0,1.5664622659761167,0.2738061817353837,4.0,10.0,0.31355374,5.0,3.0,5.0,0.42537519,30.0,7.229508196721311,9.0,15.78688524590164,7.819672131147541,3.540983606557377,0.0,2.360655737704918,0.0,0.4426229508196721,2.360655737704918,1.6229508196721312,0.7377049180327869,0.4426229508196721,2.8032786885245904,3.2459016393442623,1.180327868852459,0.1475409836065573,0.4426229508196721,2.508196721311476,1.180327868852459,0.2950819672131147,1.3278688524590163,0.0,0.4426229508196721,76.98,0.0,50.0,42.11,18.75,51.96,45.71,75.0,0.2311173835046729,0.0403976333707943,0.5901639344262295,1.475409836065574,0.0462620272131147,0.7377049180327869,0.4426229508196721,0.7377049180327869,0.0627602739344262,4.426229508196721,RM/RCM,62,25,62,100,81,12,100,44,38,100,100,88,75,75,75,88,88,81,88,75,69,100,56,75,12,12,94,50,50,88,62,88,100,25,56,62,62,56,44,25,38,38,50,12,12,88,62,12,100,44,12,88,88,75,38,50,62,62,75,62,75,50,38,88,56,75,12,12,94,50,50,88,62,88,88,25,25,50,50,25,12,12,25,12,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,cczre91rv404v648514qs00es,Alejandro Mestanza,Alejandro Mestanza,21.0,Midfielder,Spain,Midfielder,58.0,48.0,105.0,24.0,262.0,5.0,4.0,3.0,0.0,4.0,4.0,2.0,2.0,1.0,9.0,9.0,1.0,0.0,0.0,7.0,5.0,3.0,7.0,0.0,1.0,84.68,57.14,50.0,55.56,0.0,63.16,75.0,77.78,0.5881057138845441,0.4867578251516083,2.0,5.0,0.14213674,2.0,8.0,6.0,0.23348054,61.0,19.923664122137406,16.48854961832061,36.06870229007634,8.244274809160306,1.717557251908397,1.3740458015267176,1.0305343511450382,0.0,1.3740458015267176,1.3740458015267176,0.6870229007633588,0.6870229007633588,0.3435114503816794,3.0916030534351147,3.0916030534351147,0.3435114503816794,0.0,0.0,2.404580152671756,1.717557251908397,1.0305343511450382,2.404580152671756,0.0,0.3435114503816794,84.68,57.14,50.0,55.56,0.0,63.16,75.0,77.78,0.2020210467542327,0.1672068865024608,0.6870229007633588,1.717557251908397,0.0488255977099236,0.6870229007633588,2.748091603053436,2.0610687022900764,0.0802032389312977,20.95419847328244,DM/CM,21,21,21,61,80,13,37,37,70,69,81,56,64,90,88,7,43,24,77,86,25,71,50,74,38,55,92,69,24,87,90,88,90,83,67,43,57,48,19,17,21,29,52,50,48,95,93,24,52,37,83,86,88,76,76,100,100,5,43,24,95,100,36,90,50,83,38,55,92,69,24,87,90,88,95,95,83,67,79,60,33,17,40,60,Liga Portugal
