Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total assists_Total,total interception_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total assists_p90,total interception_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total assists_p90PR,total interception_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Aberdeen,841zp0njrq63yv4fvw6lgf60q,2zotauhxa3dll1um5665y2yqy,G. Molloy,Gavin Molloy,24.0,Defender,Republic of Ireland,Defender,83.0,1.0,29.0,6.0,111.0,5.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,13.0,17.0,1.0,285.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,81.62,31.58,25.0,100.0,33.33,65.0,50.0,40.0,0.41141680283161,0.1660061389427976,1.0,0.0,0.0,1.0,4.0,6.0,0.2373805299999999,39.0,26.21052631578948,0.3157894736842105,9.157894736842106,1.8947368421052635,35.05263157894737,1.5789473684210529,0.6315789473684211,0.9473684210526316,0.6315789473684211,0.3157894736842105,0.0,0.3157894736842105,0.3157894736842105,4.105263157894737,5.368421052631579,0.3157894736842105,0.3157894736842105,0.9473684210526316,0.6315789473684211,0.3157894736842105,0.6315789473684211,0.3157894736842105,0.9473684210526316,0.0,0.0,81.62,31.58,25.0,100.0,33.33,65.0,50.0,40.0,0.1299210956310347,0.0524229912450939,0.3157894736842105,0.0,0.0,0.3157894736842105,1.2631578947368425,1.8947368421052635,0.0749622726315789,12.31578947368421,LB/LCB,59,24,12,41,12,32,24,35,47,41,26,15,9,18,41,85,47,26,29,35,24,91,41,50,50,65,41,50,97,62,94,32,18,76,29,47,12,12,26,18,18,18,18,76,29,12,59,53,65,35,53,53,59,26,18,12,29,76,94,59,35,35,53,35,94,59,50,50,65,41,50,97,62,94,32,18,76,29,71,12,12,29,18,18,24,29,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,4bu2v4f3cdx0hxdxo23q1aoa2,N. Guinness-Walker,Nesta Guinness-Walker,27.0,Defender,England,Defender,69.0,6.0,88.0,8.0,151.0,9.0,4.0,3.0,0.0,3.0,0.0,18.0,18.0,44.0,24.0,0.0,607.0,1.0,3.0,11.0,9.0,7.0,0.0,11.0,0.0,0.0,75.88,36.36,25.0,50.0,33.33,61.97,56.25,46.67,0.116055202064115,0.4297611636023304,3.0,14.0,0.3364388300000001,3.0,16.0,23.0,1.36737323,71.0,10.230642504118617,0.8896210873146623,13.047775947281714,1.186161449752883,22.38879736408567,1.3344316309719937,0.5930807248764415,0.4448105436573311,0.0,0.4448105436573311,0.0,2.668863261943987,2.668863261943987,6.523887973640857,3.558484349258649,0.0,0.1482701812191103,0.4448105436573311,1.6309719934102145,1.3344316309719937,1.037891268533773,0.0,1.6309719934102145,0.0,0.0,75.88,36.36,25.0,50.0,33.33,61.97,56.25,46.67,0.0172075258414668,0.0637207656082532,0.4448105436573311,2.0757825370675453,0.0498838462932454,0.4448105436573311,2.372322899505766,3.4102141680395386,0.2027406766062603,10.527182866556837,LB/LCB,35,79,59,62,53,68,47,35,15,91,26,100,100,100,82,35,47,26,94,100,85,44,100,50,50,18,79,50,50,62,82,53,29,24,53,88,85,82,65,53,59,88,41,6,65,29,35,12,47,29,29,15,76,26,100,100,82,47,35,35,24,88,100,65,44,100,50,50,18,79,50,50,62,82,53,29,24,35,76,82,71,47,41,41,65,18,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,4w3ipvncxgip8rxi2sf0l971l,K. Nisbet,Kevin Nisbet,29.0,Attacker,Scotland,Striker,19.0,0.0,36.0,1.0,55.0,9.0,3.0,16.0,9.0,7.0,5.0,6.0,6.0,24.0,10.0,3.0,540.0,4.0,23.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,69.62,20.0,0.0,66.67,25.0,42.86,31.03,60.0,1.5811287386736197,0.1176963069806705,6.0,1.0,0.10805102,0.0,7.0,11.0,0.25959069,34.0,3.1666666666666665,0.0,6.0,0.1666666666666666,9.166666666666666,1.5,0.5,2.6666666666666665,1.5,1.1666666666666667,0.8333333333333334,1.0,1.0,4.0,1.6666666666666667,0.5,0.6666666666666666,3.8333333333333335,1.0,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.0,0.0,69.62,20.0,0.0,66.67,25.0,42.86,31.03,60.0,0.2635214564456032,0.019616051163445,1.0,0.1666666666666666,0.0180085033333333,0.0,1.1666666666666667,1.8333333333333333,0.043265115,5.666666666666667,ST,48,29,45,45,53,82,35,88,65,97,91,44,41,80,97,86,55,73,52,77,59,91,53,50,52,33,30,29,88,30,70,55,62,70,15,86,17,38,11,79,79,58,85,24,29,21,33,21,61,21,55,21,91,70,30,30,39,82,73,30,36,36,58,48,88,39,50,52,33,30,29,88,30,70,55,62,48,15,76,9,27,11,61,67,45,58,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,5e2dhux42uepgafp4s16gusph,M. Knoester,Mats Knoester,27.0,Defender,Netherlands,Defender,112.0,1.0,39.0,7.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,19.0,0.0,304.0,0.0,1.0,3.0,1.0,4.0,0.0,7.0,0.0,0.0,92.59,43.75,100.0,100.0,0.0,52.94,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1578947368421,0.2960526315789473,11.546052631578949,2.0723684210526314,44.4078947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.2960526315789473,0.2960526315789473,2.664473684210526,5.625,0.0,0.0,0.2960526315789473,0.8881578947368421,0.2960526315789473,1.1842105263157894,0.0,2.0723684210526314,0.0,0.0,92.59,43.75,100.0,100.0,0.0,52.94,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,5,100,10,10,5,5,14,10,12,43,31,60,55,5,5,40,26,7,57,62,50,45,57,45,52,90,38,100,83,26,5,5,74,7,17,43,10,10,21,5,5,5,5,38,100,33,14,33,5,14,10,12,43,31,71,71,5,19,40,26,14,71,71,90,45,95,45,52,90,38,100,83,26,5,5,74,7,17,43,10,10,21,5,5,5,5,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,6mzls8dbmhxyhrhtrha733jtg,F. Marshall,Findlay Marshall,20.0,Midfielder,Scotland,Midfielder,19.0,2.0,29.0,2.0,46.0,4.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,11.0,2.0,0.0,206.0,0.0,5.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,71.88,33.33,14.29,33.33,0.0,64.71,0.0,100.0,0.1310967150853567,0.5783533801795849,1.0,2.0,0.03870264,1.0,3.0,4.0,0.4111108699999999,22.0,8.300970873786408,0.8737864077669903,12.66990291262136,0.8737864077669903,20.09708737864078,1.7475728155339807,1.7475728155339807,0.8737864077669903,0.4368932038834952,0.4368932038834952,0.0,1.3106796116504855,1.3106796116504855,4.805825242718447,0.8737864077669903,0.0,0.0,2.184466019417476,1.3106796116504855,0.4368932038834952,1.3106796116504855,0.0,0.8737864077669903,0.0,0.0,71.88,33.33,14.29,33.33,0.0,64.71,0.0,100.0,0.0572752638722432,0.252678661243508,0.4368932038834952,0.8737864077669903,0.0169089203883495,0.4368932038834952,1.3106796116504855,1.7475728155339807,0.179611545145631,9.611650485436892,CM/AM,20,53,7,33,7,67,30,17,37,27,17,40,40,33,23,33,17,27,50,30,47,37,63,53,53,27,43,27,27,17,100,13,97,13,60,33,7,7,27,13,13,53,20,20,67,13,53,13,93,60,27,40,40,17,47,47,67,47,33,17,53,87,47,73,37,87,53,53,27,43,27,27,17,100,13,97,20,93,33,13,13,33,13,20,87,33,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,77flvpigla5xf7spyu6trwo2x,D. Happe,Dan Happe,27.0,Defender,England,Defender,128.0,0.0,54.0,15.0,182.0,20.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,26.0,39.0,0.0,381.0,2.0,13.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,83.49,45.45,0.0,0.0,33.33,74.29,86.96,50.0,0.7066236463952368,0.0417157340525691,0.0,0.0,0.0,0.0,12.0,11.0,0.3424372299999999,118.0,30.236220472440944,0.0,12.755905511811024,3.543307086614173,42.99212598425197,4.724409448818897,0.2362204724409448,1.4173228346456692,1.4173228346456692,0.0,0.2362204724409448,0.0,0.0,6.141732283464567,9.21259842519685,0.0,0.4724409448818897,3.070866141732284,0.4724409448818897,0.0,0.4724409448818897,0.0,1.1811023622047243,0.0,0.0,83.49,45.45,0.0,0.0,33.33,74.29,86.96,50.0,0.166918971589426,0.0098541104061186,0.0,0.0,0.0,0.0,2.8346456692913384,2.598425196850393,0.0808906842519684,27.874015748031496,CB,10,50,31,38,14,67,40,90,90,43,74,24,21,50,57,40,90,90,38,26,24,45,38,45,52,24,57,50,26,71,86,100,31,90,33,43,10,10,21,24,17,29,19,29,50,43,76,29,81,52,100,100,43,81,24,21,71,95,40,100,100,48,26,38,45,57,45,52,24,57,50,26,71,86,100,31,100,43,43,10,10,21,43,24,38,38,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,8a3sqpvhe5l3dcez6r4vvbjhm,A. Aremu,Afeez Aremu,26.0,Midfielder,Nigeria,Midfielder,118.0,1.0,97.0,12.0,214.0,9.0,2.0,4.0,0.0,4.0,0.0,5.0,5.0,43.0,10.0,0.0,498.0,0.0,0.0,8.0,3.0,14.0,0.0,8.0,0.0,0.0,82.63,50.0,33.33,60.0,0.0,58.9,60.0,60.87,0.2096412852736597,0.1233602257774319,4.0,7.0,0.14663896,3.0,23.0,26.0,0.5676271600000001,101.0,21.32530120481928,0.180722891566265,17.53012048192771,2.1686746987951806,38.67469879518072,1.6265060240963856,0.3614457831325301,0.7228915662650602,0.0,0.7228915662650602,0.0,0.9036144578313252,0.9036144578313252,7.771084337349397,1.8072289156626504,0.0,0.0,0.0,1.4457831325301205,0.5421686746987951,2.5301204819277108,0.0,1.4457831325301205,0.0,0.0,82.63,50.0,33.33,60.0,0.0,58.9,60.0,60.87,0.037886979266324,0.0222940167067648,0.7228915662650602,1.2650602409638554,0.0265010168674698,0.5421686746987951,4.156626506024097,4.698795180722891,0.102583221686747,18.25301204819277,DM/CM,67,69,52,70,70,83,13,39,6,72,11,41,37,93,72,41,19,6,72,65,100,46,81,50,52,33,59,83,89,19,85,78,41,22,11,83,54,52,48,56,70,52,56,56,70,30,52,44,74,7,26,6,67,11,37,33,85,56,41,19,6,63,63,93,46,78,50,52,33,59,83,89,19,85,78,41,7,7,85,52,44,41,56,52,48,37,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,99h9xs07yghgz8erbeysxdec,T. Yogane,Tony Yogane,20.0,Attacker,England,Striker,6.0,0.0,16.0,0.0,22.0,3.0,0.0,3.0,1.0,2.0,2.0,7.0,8.0,18.0,0.0,0.0,208.0,0.0,1.0,7.0,5.0,2.0,0.0,4.0,0.0,0.0,70.97,0.0,0.0,71.43,0.0,64.29,37.5,66.67,0.1687215389838727,0.0,2.0,3.0,0.08671031,4.0,1.0,2.0,0.041926,5.0,2.5961538461538463,0.0,6.923076923076923,0.0,9.51923076923077,1.2980769230769231,0.0,1.2980769230769231,0.4326923076923077,0.8653846153846154,0.8653846153846154,3.028846153846154,3.4615384615384617,7.788461538461539,0.0,0.0,0.0,0.4326923076923077,3.028846153846154,2.1634615384615388,0.8653846153846154,0.0,1.7307692307692308,0.0,0.0,70.97,0.0,0.0,71.43,0.0,64.29,37.5,66.67,0.0730045120603295,0.0,0.8653846153846154,1.2980769230769231,0.0375188841346153,1.7307692307692308,0.4326923076923077,0.8653846153846154,0.0181410576923076,2.1634615384615388,LW,11,11,11,11,11,56,11,11,11,22,22,33,33,33,11,33,11,11,50,50,28,39,89,56,56,33,11,11,100,11,89,67,44,11,11,28,11,11,28,11,11,11,11,11,11,11,11,11,89,11,22,11,67,44,56,56,78,11,33,11,11,56,78,44,39,100,56,56,33,11,11,100,11,89,67,44,11,11,44,22,22,89,11,11,11,11,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,9coe01drgpmlz3ee9qfond815,L. Mayo,Lewis Mayo,26.0,Defender,Scotland,Defender,132.0,0.0,50.0,11.0,182.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,19.0,46.0,1.0,469.0,2.0,4.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,84.65,40.74,0.0,0.0,66.67,59.38,73.68,50.0,0.4686685365170094,0.0,0.0,1.0,0.01685596,0.0,14.0,13.0,0.32313047,112.0,25.33049040511727,0.0,9.594882729211086,2.11087420042644,34.92537313432836,2.686567164179104,0.0,0.5756929637526652,0.5756929637526652,0.0,0.0,0.0,0.0,3.646055437100213,8.8272921108742,0.1918976545842217,0.3837953091684435,0.767590618336887,0.1918976545842217,0.0,0.3837953091684435,0.0,1.1513859275053304,0.0,0.0,84.65,40.74,0.0,0.0,66.67,59.38,73.68,50.0,0.0899363929350337,0.0,0.0,0.1918976545842217,0.0032346191897654,0.0,2.686567164179104,2.4946695095948828,0.0620079793176972,21.49253731343284,CB,14,50,19,29,14,33,14,67,67,43,31,24,21,14,67,90,90,36,17,26,24,45,45,45,52,38,24,50,26,98,29,62,31,71,17,43,26,19,21,43,24,24,14,10,50,14,19,14,33,14,67,67,43,31,24,21,19,90,100,90,38,19,26,19,45,43,45,52,38,24,50,26,98,29,62,31,76,17,43,29,29,21,38,19,19,14,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,a3m0uhwp1p0hwv8pultfvuck4,A. Mouloua,Ayoub Mouloua,23.0,Attacker,Morocco,Striker,9.0,0.0,13.0,0.0,22.0,6.0,1.0,4.0,4.0,0.0,0.0,4.0,4.0,19.0,2.0,1.0,201.0,2.0,14.0,6.0,1.0,4.0,0.0,1.0,0.0,0.0,45.83,0.0,0.0,25.0,50.0,44.19,33.33,66.67,0.5526363893225874,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0057694799999999,4.0,4.029850746268656,0.0,5.820895522388059,0.0,9.850746268656716,2.686567164179104,0.4477611940298507,1.791044776119403,1.791044776119403,0.0,0.0,1.791044776119403,1.791044776119403,8.507462686567164,0.8955223880597015,0.4477611940298507,0.8955223880597015,6.26865671641791,2.686567164179104,0.4477611940298507,1.791044776119403,0.0,0.4477611940298507,0.0,0.0,45.83,0.0,0.0,25.0,50.0,44.19,33.33,66.67,0.2474491295474271,0.0,0.4477611940298507,0.0,0.0,0.0,0.0,0.0,0.0025833492537312,1.791044776119403,ST,17,29,5,15,6,68,8,8,15,17,8,32,32,58,41,47,29,32,52,26,76,36,53,50,52,3,15,29,29,85,79,59,76,15,5,36,5,5,11,6,6,3,6,36,29,18,15,33,91,15,24,45,17,8,52,52,94,67,67,42,85,88,36,100,36,73,50,52,3,15,29,29,85,79,59,76,42,5,48,5,5,11,6,6,3,9,Premiership
