Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total accurate cross_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total won contest_Total,total interception_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total accurate cross_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total won contest_p90,total interception_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total won contest_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total won contest_p90PR,total interception_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Crvena zvezda,81lpho34qr3dad0xzalq0abja,2456sb5oj15equsuu5npj43my,Tomás Händel,Tomás Romano Pereira dos Santos Händel,25.0,Midfielder,Portugal,Midfielder,48.0,112.0,4.0,157.0,2.0,0.0,9.0,4.0,3.0,1.0,18.0,1.0,2.0,330.0,3.0,14.0,7.0,1.0,3.0,0.0,8.0,8.0,3.0,2.0,0.0,0.0,87.22,80.0,37.5,37.5,75.0,58.06,40.0,16.67,0.3284326523111806,0.6349188948536441,2.0,12.0,0.29769671,4.0,24.0,26.0,0.8605215599999999,85.0,13.090909090909092,30.545454545454547,1.090909090909091,42.81818181818182,0.5454545454545455,0.0,2.4545454545454546,1.090909090909091,0.8181818181818182,0.2727272727272727,4.909090909090909,0.2727272727272727,0.5454545454545455,0.8181818181818182,3.8181818181818175,1.9090909090909087,0.2727272727272727,0.8181818181818182,0.0,2.181818181818182,2.181818181818182,0.8181818181818182,0.5454545454545455,0.0,0.0,87.22,80.0,37.5,37.5,75.0,58.06,40.0,16.67,0.0895725415394128,0.1731596985964484,0.5454545454545455,3.272727272727273,0.0811900118181818,1.090909090909091,6.545454545454546,7.090909090909091,0.2346876981818181,23.181818181818183,RM/RCM,50,80,25,70,35,35,50,35,55,20,30,25,85,75,65,40,20,25,25,40,40,40,30,55,55,100,100,90,70,100,90,60,20,30,40,40,70,60,65,100,80,50,80,70,100,40,100,40,35,80,60,60,30,80,30,100,90,90,80,20,50,25,90,80,80,40,55,55,100,100,90,70,100,90,60,20,60,50,60,70,80,80,100,90,80,100,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,2v3bbqm0o4jx6r3zrmlzh1cyd,M. Ivanić,Mirko Ivanic,33.0,Midfielder,Montenegro,Midfielder,33.0,86.0,7.0,116.0,5.0,2.0,8.0,15.0,10.0,5.0,13.0,6.0,2.0,415.0,8.0,24.0,1.0,0.0,3.0,1.0,10.0,13.0,6.0,2.0,0.0,0.0,79.45,50.0,42.86,60.0,53.33,52.0,62.5,0.0,1.586074923849544,0.8914245872458708,2.0,16.0,0.4071858399999998,6.0,19.0,28.0,1.1622662200000002,61.0,7.156626506024097,18.650602409638555,1.5180722891566267,25.1566265060241,1.0843373493975903,0.4337349397590362,1.7349397590361448,3.253012048192772,2.168674698795181,1.0843373493975903,2.819277108433736,1.3012048192771086,0.4337349397590362,1.7349397590361448,5.2048192771084345,0.2168674698795181,0.0,0.6506024096385543,0.2168674698795181,2.168674698795181,2.819277108433736,1.3012048192771086,0.4337349397590362,0.0,0.0,79.45,50.0,42.86,60.0,53.33,52.0,62.5,0.0,0.3439680557745999,0.1933209948244057,0.4337349397590362,3.4698795180722897,0.0883053628915662,1.3012048192771086,4.120481927710844,6.072289156626507,0.2520577344578314,13.228915662650603,LM/LCM,64,82,77,73,59,95,82,82,82,73,18,77,91,91,77,9,9,64,18,64,77,64,50,50,55,64,55,100,64,91,45,77,9,91,91,32,77,55,77,82,91,91,73,55,82,73,73,64,91,55,91,82,64,9,82,100,100,82,9,9,73,18,55,55,55,36,50,55,64,55,100,64,91,45,77,9,100,73,18,64,64,82,100,100,82,82,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,3oub3l3mryzafp6wobgjbgxjp,A. Katai,Aleksandar Katai,35.0,Midfielder,Serbia,Midfielder,18.0,92.0,7.0,109.0,4.0,4.0,13.0,30.0,19.0,11.0,16.0,4.0,1.0,421.0,16.0,47.0,5.0,1.0,1.0,3.0,12.0,12.0,6.0,0.0,0.0,0.0,72.67,77.78,10.0,50.0,53.33,45.71,57.14,100.0,2.818390122432263,0.9490699172761576,9.0,14.0,0.40436045,5.0,17.0,22.0,0.8448280499999999,60.0,3.847980997624703,19.66745843230404,1.4964370546318289,23.30166270783848,0.8551068883610451,0.8551068883610451,2.7790973871733966,6.413301662707839,4.061757719714964,2.351543942992874,3.4204275534441804,0.8551068883610451,0.2137767220902612,3.4204275534441804,10.04750593824228,1.0688836104513064,0.2137767220902612,0.2137767220902612,0.6413301662707838,2.565320665083135,2.565320665083135,1.2826603325415675,0.0,0.0,0.0,72.67,77.78,10.0,50.0,53.33,45.71,57.14,100.0,0.6025062019451393,0.2028890559497724,1.9239904988123515,2.9928741092636577,0.0864428515439429,1.0688836104513064,3.6342042755344415,4.703087885985748,0.1806045712589073,12.826603325415675,CM/AM,12,58,46,42,60,100,73,100,100,83,25,65,48,100,100,35,10,33,60,81,79,79,10,52,48,25,94,29,65,88,50,83,94,100,58,81,67,71,44,58,58,67,52,4,58,50,38,58,100,88,100,100,96,21,75,50,96,100,42,8,38,62,83,83,83,10,52,48,25,94,29,65,88,50,83,94,96,71,100,88,96,58,58,71,79,50,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,3uku25ta6a40v6l8u4m65cxnu,V. Lučić,Vladimir Lucic,24.0,Midfielder,Serbia,Midfielder,24.0,67.0,1.0,87.0,1.0,1.0,9.0,6.0,5.0,1.0,17.0,3.0,0.0,209.0,2.0,29.0,2.0,7.0,4.0,3.0,10.0,10.0,5.0,2.0,0.0,0.0,83.65,33.33,33.33,50.0,33.33,68.0,0.0,77.78,0.3592453435889604,0.906193618077512,2.0,16.0,0.64357727,3.0,6.0,6.0,0.88388302,30.0,10.33492822966507,28.851674641148325,0.4306220095693779,37.46411483253589,0.4306220095693779,0.4306220095693779,3.8755980861244015,2.583732057416268,2.15311004784689,0.4306220095693779,7.320574162679425,1.2918660287081338,0.0,0.8612440191387559,12.48803827751196,0.8612440191387559,3.014354066985646,1.7224880382775118,1.2918660287081338,4.30622009569378,4.30622009569378,2.15311004784689,0.8612440191387559,0.0,0.0,83.65,33.33,33.33,50.0,33.33,68.0,0.0,77.78,0.1546989517847197,0.3902269168754836,0.8612440191387559,6.889952153110047,0.2771385373205741,1.2918660287081338,2.583732057416268,2.583732057416268,0.3806194822966506,12.91866028708134,LM/LCM,55,73,14,64,27,68,91,32,50,23,36,59,32,27,91,18,91,82,73,64,59,41,50,50,55,91,41,91,50,27,91,18,82,9,100,32,77,91,36,59,23,82,55,82,100,18,100,36,82,100,55,73,27,91,73,32,45,100,36,100,100,100,100,100,100,64,50,55,91,41,91,50,27,91,18,82,36,100,55,100,100,73,64,64,100,73,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,40ht1vwlzsf29ipe2rlyd59uc,M. Gashtarov,Matej Gashtarov,19.0,Midfielder,North Macedonia,Midfielder,224.0,179.0,17.0,401.0,6.0,0.0,2.0,5.0,2.0,3.0,39.0,13.0,0.0,630.0,1.0,4.0,18.0,9.0,2.0,3.0,7.0,7.0,2.0,8.0,0.0,0.0,90.93,65.38,33.33,28.57,20.0,56.52,60.0,69.23,0.3989954903210254,0.3777571279997108,3.0,12.0,0.23835627,2.0,32.0,34.0,0.99545849,203.0,32.0,25.571428571428573,2.4285714285714284,57.285714285714285,0.8571428571428571,0.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.4285714285714285,5.571428571428571,1.8571428571428568,0.0,0.1428571428571428,0.5714285714285714,2.571428571428572,1.2857142857142858,0.2857142857142857,0.4285714285714285,1.0,1.0,0.2857142857142857,1.1428571428571428,0.0,0.0,90.93,65.38,33.33,28.57,20.0,56.52,60.0,69.23,0.0569993557601464,0.0539653039999586,0.4285714285714285,1.7142857142857142,0.0340508957142857,0.2857142857142857,4.571428571428571,4.857142857142857,0.1422083557142857,29.0,DM/CM,96,96,70,96,50,41,24,48,69,39,69,78,39,43,48,93,67,65,89,52,50,28,69,52,50,100,93,80,22,43,70,59,70,52,52,54,81,70,33,81,78,81,96,100,89,56,96,41,41,22,41,63,33,70,63,39,37,44,93,59,63,78,41,41,30,70,52,50,100,93,80,22,43,70,59,70,63,52,44,70,67,30,74,78,89,96,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,Franklin Tebo Uchenna,26.0,Defender,Nigeria,Defender,96.0,48.0,6.0,144.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,225.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,92.9,85.71,0.0,0.0,0.0,66.67,83.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,19.2,2.4,57.6,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6,0.0,0.0,0.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,92.9,85.71,0.0,0.0,0.0,66.67,83.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,22,24,18,21,13,45,13,5,5,29,12,14,36,16,4,16,43,42,30,14,14,20,14,46,51,95,100,42,20,16,87,100,95,5,17,26,8,8,17,4,4,4,4,89,87,45,89,30,45,13,5,5,29,25,29,36,16,4,29,95,42,30,14,14,20,34,46,51,95,100,42,20,16,87,100,95,5,17,26,8,8,17,4,4,4,4,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,55pnhqsxzsj97rrp45trw5wq1,M. Abu Fani,Mohamed Abu Fani,28.0,Midfielder,Israel,Midfielder,110.0,257.0,34.0,355.0,1.0,2.0,21.0,19.0,8.0,11.0,20.0,2.0,2.0,515.0,4.0,20.0,14.0,2.0,12.0,8.0,7.0,8.0,2.0,3.0,0.0,0.0,87.44,64.15,44.44,28.57,21.05,47.62,50.0,66.67,1.3499991400560991,2.032680022880794,9.0,23.0,0.57563328,6.0,65.0,80.0,2.3283301300000003,199.0,19.223300970873787,44.9126213592233,5.941747572815534,62.03883495145631,0.174757281553398,0.3495145631067961,3.66990291262136,3.320388349514563,1.3980582524271843,1.922330097087379,3.495145631067961,0.3495145631067961,0.3495145631067961,0.6990291262135923,3.495145631067961,2.4466019417475726,0.3495145631067961,2.0970873786407767,1.3980582524271843,1.2233009708737863,1.3980582524271843,0.3495145631067961,0.5242718446601942,0.0,0.0,87.44,64.15,44.44,28.57,21.05,47.62,50.0,66.67,0.2359221798156289,0.3552256350665465,1.5728155339805825,4.019417475728155,0.100596107184466,1.0485436893203883,11.359223300970871,13.980582524271844,0.4068926440776699,34.77669902912621,CM/AM,92,96,92,94,17,83,96,88,77,83,46,44,77,60,75,83,19,92,88,46,54,40,54,52,48,96,71,88,35,17,62,71,52,71,100,81,98,88,65,96,96,96,96,92,100,92,100,8,88,100,92,71,79,25,33,75,62,79,79,17,88,100,42,46,33,54,52,48,96,71,88,35,17,62,71,52,75,100,79,100,100,54,100,100,100,96,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,5v56mooqawkgwrfuhkkp9x7qi,L. Loizou,Loizos Loizou,23.0,Attacker,Cyprus,Striker,46.0,75.0,6.0,120.0,0.0,1.0,8.0,12.0,11.0,1.0,19.0,1.0,2.0,379.0,5.0,35.0,6.0,3.0,1.0,2.0,19.0,20.0,10.0,1.0,0.0,0.0,85.71,66.67,10.0,52.63,41.67,51.35,0.0,100.0,1.0653278247486933,0.8973458780991702,4.0,17.0,0.8332103299999998,7.0,8.0,14.0,0.8298725999999998,44.0,10.923482849604222,17.810026385224273,1.4248021108179418,28.49604221635884,0.0,0.2374670184696569,1.899736147757256,2.849604221635884,2.6121372031662267,0.2374670184696569,4.511873350923483,0.2374670184696569,0.4749340369393139,1.1873350923482848,8.311345646437994,1.4248021108179418,0.7124010554089709,0.2374670184696569,0.4749340369393139,4.511873350923483,4.749340369393139,2.3746701846965697,0.2374670184696569,0.0,0.0,85.71,66.67,10.0,52.63,41.67,51.35,0.0,100.0,0.2529802222358374,0.2130900502082462,0.949868073878628,4.036939313984169,0.1978599728232189,1.6622691292875988,1.899736147757256,3.3245382585751977,0.1970673720316622,10.448548812664908,RW,86,86,79,86,11,68,57,54,86,14,21,29,75,71,79,43,32,21,57,57,57,61,29,54,54,100,86,18,57,79,100,14,100,64,71,46,71,86,82,61,79,64,79,100,86,79,100,11,71,79,79,100,14,36,29,86,86,93,43,36,21,57,86,79,86,29,54,54,100,86,18,57,79,100,14,100,86,93,50,86,100,100,79,79,71,93,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,6kge6vcoa9ocnh6tb8qznfzkl,M. Veljković,Milos Veljkovic,30.0,Defender,Serbia,Defender,252.0,157.0,30.0,409.0,11.0,0.0,1.0,2.0,2.0,0.0,20.0,13.0,1.0,450.0,1.0,5.0,7.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,93.59,73.17,0.0,66.67,50.0,52.63,50.0,0.0,0.2672128464150892,0.0443324097774954,0.0,4.0,0.07369264,1.0,38.0,44.0,1.09379851,316.0,50.4,31.4,6.0,81.8,2.2,0.0,0.2,0.4,0.4,0.0,4.0,2.6,0.2,0.2,1.0,1.4,0.0,0.0,0.0,0.6,0.6,0.4,0.4,0.0,0.0,93.59,73.17,0.0,66.67,50.0,52.63,50.0,0.0,0.0534425692830178,0.008866481955499,0.0,0.8,0.014738528,0.2,7.6,8.8,0.218759702,63.2,CB,82,91,87,87,37,45,38,33,42,29,32,20,84,53,49,67,4,42,30,67,67,71,14,46,51,100,97,42,64,74,34,24,4,39,42,26,42,34,41,92,88,95,95,95,97,96,97,37,45,50,46,57,29,25,16,92,64,71,84,4,42,30,79,79,74,11,46,51,100,97,42,64,74,34,24,4,58,42,26,51,42,49,97,100,100,100,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,7nv0wf9kmny9w7p36ahdsitat,T. Elšnik,Timi Max Elsnik,28.0,Midfielder,Slovenia,Midfielder,130.0,167.0,17.0,295.0,11.0,1.0,11.0,10.0,7.0,3.0,30.0,10.0,0.0,584.0,2.0,17.0,1.0,7.0,2.0,3.0,9.0,10.0,2.0,5.0,0.0,0.0,88.86,89.47,33.33,22.22,20.0,54.55,84.62,43.75,1.0159136180147932,0.8909093601264941,2.0,10.0,0.2537021,4.0,32.0,35.0,1.03689391,157.0,20.034246575342465,25.73630136986301,2.6198630136986303,45.46232876712329,1.6952054794520548,0.1541095890410959,1.6952054794520548,1.5410958904109588,1.0787671232876712,0.4623287671232877,4.623287671232877,1.5410958904109588,0.0,0.3082191780821918,2.6198630136986303,0.1541095890410959,1.0787671232876712,0.3082191780821918,0.4623287671232877,1.386986301369863,1.5410958904109588,0.3082191780821918,0.7705479452054794,0.0,0.0,88.86,89.47,33.33,22.22,20.0,54.55,84.62,43.75,0.1565620301735126,0.1372976753619597,0.3082191780821918,1.5410958904109588,0.039097926369863,0.6164383561643836,4.931506849315069,5.3938356164383565,0.159795294349315,24.195205479452056,DM/CM,74,81,70,81,83,87,98,87,96,39,41,57,39,69,96,4,44,65,89,63,69,28,35,52,50,96,100,80,15,43,52,93,7,96,96,35,72,78,67,81,81,85,78,70,93,67,85,78,89,93,93,100,37,37,56,39,67,100,4,37,67,85,70,74,33,33,52,50,96,100,80,15,43,52,93,7,93,96,22,63,74,70,81,85,96,85,Serbian SuperLeague
