Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total attempts obox_Total,total effective clearance_Total,total interception_Total,total assists_Total,total big chances saved_Total,total blocked scoring att_Total,total goals_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total attempts obox_p90,total effective clearance_p90,total interception_p90,total assists_p90,total big chances saved_p90,total blocked scoring att_p90,total goals_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total attempts obox_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total attempts obox_p90PR,total effective clearance_p90PR,total interception_p90PR,total assists_p90PR,total big chances saved_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Athletic Club,3czravw89omgc9o4s0w3l1bg5,43g9qpb7gic5w7v38259ykt1w,Beñat Gerenabarrena,Beñat Gerenabarrena,23.0,Midfielder,Spain,Midfielder,75.0,1.0,72.0,6.0,146.0,4.0,1.0,1.0,0.0,0.0,0.0,19.0,373.0,1.0,6.0,5.0,0.0,8.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39,60.0,14.29,0.0,100.0,52.78,0.0,80.0,0.0738071603667964,0.1531377131321024,0.0,5.0,0.1010824,1.0,13.0,10.0,0.4209609299999998,62.0,18.09651474530831,0.2412868632707774,17.372654155495976,1.4477211796246647,35.22788203753351,0.9651474530831098,0.2412868632707774,0.2412868632707774,0.0,0.0,0.0,4.584450402144772,0.2412868632707774,1.4477211796246647,1.206434316353887,0.0,1.93029490616622,0.2412868632707774,0.7238605898123324,2.895442359249329,0.0,0.0,0.0,0.0,0.0,0.0,86.39,60.0,14.29,0.0,100.0,52.78,0.0,80.0,0.0178086982118275,0.0369501184501051,0.0,1.206434316353887,0.024389855227882,0.2412868632707774,3.136729222520107,2.412868632707774,0.1015723423592492,14.959785522788202,DM/CM,31,80,24,26,24,67,21,24,17,8,8,52,69,82,61,12,83,45,12,92,42,51,24,44,51,51,38,45,75,12,95,62,14,95,21,55,25,43,33,27,30,26,62,24,33,81,31,31,29,67,21,21,17,8,8,62,74,81,69,12,86,52,17,100,42,51,24,44,51,51,38,45,75,12,95,62,14,95,26,55,25,43,40,26,36,24,67,24,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,5kd57453a90zahgdxwkghr816,Aitor Paredes,Aitor Paredes,26.0,Defender,Spain,Defender,128.0,0.0,99.0,17.0,227.0,7.0,2.0,1.0,1.0,0.0,0.0,16.0,299.0,1.0,1.0,2.0,0.0,3.0,0.0,23.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,92.28,54.84,0.0,0.0,100.0,80.0,0.0,42.86,0.1450379195486153,0.1121384859439627,0.0,2.0,0.04320281,0.0,24.0,27.0,0.4125234099999999,148.0,38.52842809364548,0.0,29.799331103678927,5.117056856187291,68.32775919732441,2.1070234113712374,0.6020066889632106,0.3010033444816053,0.3010033444816053,0.0,0.0,4.816053511705685,0.3010033444816053,0.3010033444816053,0.6020066889632106,0.0,0.903010033444816,0.0,6.9230769230769225,0.6020066889632106,0.0,0.0,0.0,0.3010033444816053,0.0,0.0,92.28,54.84,0.0,0.0,100.0,80.0,0.0,42.86,0.0436568988607872,0.0337540593142362,0.0,0.6020066889632106,0.0130041903010033,0.0,7.224080267558528,8.127090301003344,0.1241709260869565,44.54849498327759,CB,42,42,77,75,62,36,73,28,36,15,15,38,68,22,44,23,42,32,49,17,46,43,34,93,51,51,71,69,42,23,97,98,2,20,40,65,35,39,44,22,77,83,67,62,69,42,94,90,83,60,90,29,42,15,15,71,77,23,62,23,60,32,81,19,46,43,34,94,51,51,71,69,42,23,97,98,2,20,44,73,35,46,50,22,90,96,77,79,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,66jotyvbhtz5cjvhbby6luelm,Nico Williams,Nico Williams,24.0,Attacker,Spain,Striker,25.0,5.0,78.0,0.0,98.0,2.0,7.0,12.0,9.0,22.0,23.0,18.0,364.0,2.0,37.0,2.0,6.0,6.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,74.24,0.0,25.0,27.27,16.67,37.5,50.0,75.0,0.9009727095845396,0.519124457420212,6.0,19.0,0.6268606200000001,7.0,6.0,10.0,1.2115728200000004,33.0,6.181318681318682,1.2362637362637363,19.285714285714285,0.0,24.23076923076923,0.4945054945054945,1.7307692307692308,2.967032967032967,2.2252747252747254,5.43956043956044,5.686813186813187,4.450549450549451,0.4945054945054945,9.148351648351648,0.4945054945054945,1.4835164835164836,1.4835164835164836,0.7417582417582418,0.989010989010989,0.989010989010989,0.0,0.0,0.2472527472527472,0.2472527472527472,0.0,0.0,74.24,0.0,25.0,27.27,16.67,37.5,50.0,75.0,0.222767977644529,0.1283549482632392,1.4835164835164836,4.697802197802198,0.1549930104395604,1.7307692307692308,1.4835164835164836,2.4725274725274726,0.2995647082417583,8.159340659340659,LW,50,85,70,8,62,70,70,82,82,95,88,52,50,85,20,50,88,75,80,82,38,52,30,68,52,52,20,8,70,15,20,30,80,75,80,45,80,75,80,85,57,72,95,50,45,90,75,8,65,75,68,80,80,95,95,45,50,90,20,65,100,65,75,85,38,52,30,70,52,52,20,8,70,15,20,30,80,75,65,45,70,75,75,95,65,80,95,65,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,7aoe0u87gxgv9tvgrotcfue7e,Robert Navarro,Robert Navarro,24.0,Midfielder,Spain,Midfielder,24.0,7.0,78.0,1.0,95.0,0.0,6.0,9.0,6.0,11.0,12.0,13.0,317.0,5.0,18.0,2.0,5.0,3.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,84.07,20.0,38.89,45.45,55.56,46.43,0.0,50.0,1.091662606680338,0.6149512897318434,2.0,13.0,0.32195101,6.0,14.0,5.0,0.2138254699999999,39.0,6.813880126182966,1.987381703470032,22.14511041009464,0.2839116719242902,26.97160883280757,0.0,1.7034700315457414,2.555205047318612,1.7034700315457414,3.123028391167193,3.406940063091483,3.690851735015773,1.4195583596214512,5.110410094637224,0.5678233438485805,1.4195583596214512,0.8517350157728707,0.8517350157728707,0.0,1.7034700315457414,0.0,0.0,0.5678233438485805,0.5678233438485805,0.0,0.0,84.07,20.0,38.89,45.45,55.56,46.43,0.0,50.0,0.3099357558398436,0.1745918488197662,0.5678233438485805,3.690851735015773,0.0914056495268138,1.7034700315457414,3.9747634069400632,1.4195583596214512,0.0607075466876971,11.07255520504732,CM/AM,3,86,30,5,8,9,30,59,83,76,79,21,83,85,15,67,39,48,8,92,26,52,55,88,48,52,30,3,79,30,88,36,14,30,85,36,41,61,61,58,27,5,12,9,9,91,33,6,21,9,36,73,88,85,91,33,97,85,15,73,55,52,8,91,26,52,64,94,48,52,30,3,79,30,88,36,14,30,100,48,48,82,79,67,45,3,15,12,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,7fmpgkx58o9pivo2bbnxxkt05,Aymeric Laporte,Aymeric Laporte,32.0,Defender,Spain,Defender,257.0,1.0,137.0,18.0,393.0,9.0,0.0,2.0,2.0,2.0,2.0,21.0,482.0,0.0,3.0,3.0,1.0,5.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,94.47,69.23,100.0,50.0,0.0,58.33,52.94,62.5,0.2910687050123162,0.0,0.0,9.0,0.1764984,2.0,26.0,28.0,0.7633952599999994,295.0,47.98755186721992,0.1867219917012448,25.58091286307054,3.3609958506224067,73.38174273858921,1.6804979253112031,0.0,0.3734439834024896,0.3734439834024896,0.3734439834024896,0.3734439834024896,3.921161825726141,0.0,0.5601659751037344,0.5601659751037344,0.1867219917012448,0.933609958506224,0.0,3.734439834024896,0.7468879668049793,0.0,0.0,0.0,0.0,0.0,0.0,94.47,69.23,100.0,50.0,0.0,58.33,52.94,62.5,0.0543489283218017,0.0,0.0,1.6804979253112031,0.0329561327800829,0.3734439834024896,4.854771784232366,5.228215767634855,0.1425426834024895,55.08298755186723,CB,92,89,88,78,94,58,16,45,53,66,65,66,27,42,66,57,74,32,38,45,46,43,34,43,51,51,90,94,97,58,27,52,31,56,58,18,35,86,83,69,82,91,92,96,90,92,90,69,92,31,16,35,48,60,60,33,27,38,54,54,62,32,15,29,46,43,34,43,51,51,90,94,97,58,27,52,31,56,50,18,35,81,81,65,79,83,85,94,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,7r7wgbcu7vmlj19m9jpjhu1yi,Jesús Areso,Jesús Areso,27.0,Defender,Spain,Defender,47.0,6.0,85.0,0.0,126.0,7.0,6.0,2.0,1.0,5.0,5.0,19.0,344.0,1.0,5.0,3.0,1.0,5.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77,0.0,37.5,20.0,50.0,57.58,70.0,62.5,0.154727926312188,0.5811438365962258,1.0,19.0,0.4971000999999999,9.0,8.0,7.0,0.5597057399999998,48.0,12.296511627906977,1.569767441860465,22.23837209302325,0.0,32.96511627906977,1.8313953488372088,1.569767441860465,0.5232558139534883,0.2616279069767441,1.3081395348837208,1.3081395348837208,4.970930232558139,0.2616279069767441,1.3081395348837208,0.7848837209302325,0.2616279069767441,1.3081395348837208,0.2616279069767441,1.569767441860465,1.8313953488372088,0.0,0.0,0.0,0.0,0.0,0.0,80.77,0.0,37.5,20.0,50.0,57.58,70.0,62.5,0.0404811435119096,0.1520434456211055,0.2616279069767441,4.970930232558139,0.1300552587209301,2.3546511627906974,2.093023255813953,1.8313953488372088,0.1464346412790697,12.55813953488372,RB/RCB,20,92,70,3,35,90,90,40,47,53,52,53,57,53,48,33,37,47,23,87,45,42,27,43,52,52,37,3,87,32,73,73,97,37,30,90,63,97,97,92,30,27,70,37,27,93,80,3,57,97,90,40,47,60,60,77,53,63,50,37,53,50,27,90,45,42,27,43,52,52,37,3,87,32,73,73,97,37,40,93,67,100,100,97,40,23,80,43,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,7ubtan6a51o79w469zawrqqqd,Íñigo Ruiz de Galarreta,Íñigo Ruiz de Galarreta,33.0,Midfielder,Spain,Midfielder,73.0,1.0,118.0,13.0,190.0,5.0,6.0,5.0,0.0,7.0,8.0,19.0,287.0,0.0,3.0,6.0,4.0,1.0,5.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,86.76,65.0,12.5,57.14,0.0,46.34,62.5,25.0,0.2745135693762701,0.579410645183869,2.0,12.0,0.2500261,4.0,20.0,25.0,0.72353438,89.0,22.89198606271777,0.313588850174216,37.00348432055749,4.076655052264808,59.58188153310104,1.56794425087108,1.881533101045296,1.56794425087108,0.0,2.195121951219512,2.508710801393728,5.958188153310104,0.0,0.940766550522648,1.881533101045296,1.254355400696864,0.313588850174216,1.56794425087108,0.313588850174216,1.56794425087108,0.313588850174216,0.0,0.313588850174216,0.0,0.0,0.0,86.76,65.0,12.5,57.14,0.0,46.34,62.5,25.0,0.0860843945779244,0.1816967180019101,0.627177700348432,3.763066202090592,0.0784053972125435,1.254355400696864,6.2717770034843205,7.8397212543554,0.2268923142857142,27.909407665505224,CM/AM,70,33,55,77,64,80,30,44,9,45,55,59,9,24,65,52,14,70,29,82,64,52,35,30,48,52,52,48,30,56,9,33,86,15,21,33,41,52,39,36,64,70,58,53,91,33,88,94,88,97,45,52,9,64,70,79,9,27,79,67,15,79,39,88,79,52,45,30,48,52,52,48,30,56,9,33,86,15,36,61,61,85,64,48,79,79,85,76,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,8hm6d6395johhjsoe8jz6dcyd,Yuri,Yuri Berchiche,36.0,Defender,Spain,Defender,113.0,3.0,144.0,6.0,254.0,4.0,6.0,11.0,3.0,2.0,2.0,15.0,367.0,1.0,4.0,1.0,1.0,7.0,8.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,91.7,40.0,23.08,50.0,9.09,60.0,57.14,77.78,0.5728317026923218,0.5305339965655016,3.0,11.0,0.24258738,4.0,27.0,25.0,0.4855206999999998,148.0,27.71117166212534,0.7356948228882835,35.3133514986376,1.471389645776567,62.28882833787466,0.9809264305177112,1.471389645776567,2.697547683923706,0.7356948228882835,0.4904632152588556,0.4904632152588556,3.678474114441417,0.2452316076294278,0.9809264305177112,0.2452316076294278,0.2452316076294278,1.7166212534059946,1.9618528610354224,1.7166212534059946,0.9809264305177112,0.0,0.0,0.7356948228882835,0.0,0.0,0.0,91.7,40.0,23.08,50.0,9.09,60.0,57.14,77.78,0.1404764393523405,0.1301037048798232,0.7356948228882835,2.697547683923706,0.0594900931880109,0.9809264305177112,6.621253405994551,6.130790190735695,0.119065021798365,36.294277929155314,LB/LCB,83,83,90,38,90,58,88,100,92,23,22,35,78,42,8,25,68,100,25,50,42,45,97,43,52,52,97,48,73,55,73,65,73,70,100,87,95,78,60,50,90,80,50,93,87,83,93,37,90,50,90,100,93,23,20,23,80,47,7,27,70,100,23,57,42,45,100,43,52,52,97,48,73,55,73,65,73,70,100,87,97,83,70,57,93,87,50,93,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,ccokndnkkyllbp5vb8nwnhdlg,Peio Canales,Peio Canales,21.0,Midfielder,Spain,Midfielder,55.0,1.0,63.0,2.0,117.0,1.0,5.0,4.0,0.0,8.0,8.0,12.0,220.0,2.0,1.0,5.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,86.67,40.0,20.0,50.0,50.0,57.14,0.0,100.0,0.225355264950247,0.4595807726092896,2.0,11.0,0.48053825,4.0,14.0,10.0,0.23649964,64.0,22.5,0.409090909090909,25.77272727272727,0.8181818181818181,47.86363636363636,0.409090909090909,2.0454545454545454,1.6363636363636362,0.0,3.2727272727272725,3.2727272727272725,4.909090909090908,0.8181818181818181,0.409090909090909,2.0454545454545454,1.6363636363636362,0.8181818181818181,1.6363636363636362,0.409090909090909,0.409090909090909,0.0,0.0,0.8181818181818181,0.0,0.0,0.0,86.67,40.0,20.0,50.0,50.0,57.14,0.0,100.0,0.0921907902069192,0.1880103160674366,0.8181818181818181,4.5,0.1965838295454545,1.6363636363636362,5.727272727272727,4.090909090909091,0.0967498527272727,26.18181818181818,CM/AM,42,33,15,12,33,29,23,32,9,59,55,15,52,8,48,52,26,61,29,18,26,52,55,30,48,52,45,15,42,41,79,73,14,100,15,24,41,47,85,36,27,15,21,36,88,45,55,24,67,45,55,55,9,88,85,58,70,12,85,85,48,82,48,45,26,52,85,30,48,52,45,15,42,41,79,73,14,100,45,64,73,89,100,64,67,48,30,73,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,ck7lu09geq8mi6vkf2llyi5ii,Mikel Jauregizar,Mikel Jauregizar,22.0,Midfielder,Spain,Midfielder,53.0,0.0,56.0,7.0,109.0,2.0,1.0,2.0,0.0,1.0,1.0,16.0,212.0,2.0,1.0,3.0,0.0,6.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,85.83,70.0,0.0,0.0,100.0,55.17,40.0,54.55,0.1034221814946331,0.0439560380787725,1.0,8.0,0.16701623,5.0,13.0,8.0,0.17647718,55.0,22.5,0.0,23.77358490566038,2.971698113207548,46.27358490566038,0.8490566037735848,0.4245283018867924,0.8490566037735848,0.0,0.4245283018867924,0.4245283018867924,6.792452830188679,0.8490566037735848,0.4245283018867924,1.2735849056603774,0.0,2.547169811320755,0.8490566037735848,0.4245283018867924,2.547169811320755,0.0,0.0,0.0,0.0,0.0,0.0,85.83,70.0,0.0,0.0,100.0,55.17,40.0,54.55,0.0439056430873442,0.0186605822032524,0.4245283018867924,3.39622641509434,0.0709031165094339,2.1226415094339623,5.518867924528302,3.39622641509434,0.0749195575471698,23.349056603773583,DM/CM,12,37,21,39,17,33,21,44,17,23,23,33,89,12,36,12,61,67,2,64,42,51,24,44,51,51,35,74,37,12,95,74,57,49,26,12,57,61,60,71,30,20,17,17,50,37,60,67,52,60,48,67,17,33,33,98,98,21,79,12,98,83,2,98,42,51,24,44,51,51,35,74,37,12,95,74,57,49,52,31,64,93,93,100,81,52,40,50,La Liga
