Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total att assist_Total,total mins played,total accurate long balls_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total touches in opposition box_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total attempts obox_Total,total blocked scoring att_Total,total goals_Total,total ontarget attempt_Total,total was fouled_Total,total assists_Total,total big chances saved_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total att assist_p90,total accurate long balls_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total touches in opposition box_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total attempts obox_p90,total blocked scoring att_p90,total goals_p90,total ontarget attempt_p90,total was fouled_p90,total assists_p90,total big chances saved_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total accurate long balls_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total was fouled_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total att assist_p90PR,total accurate long balls_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total was fouled_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,2uyo09o5dotyzlme4pxosx591,F. Aliti,Fidan Aliti,32,Defender,Kosovo,Defender,114.0,41.0,155.0,1.0,540.0,14.0,11.0,0.0,0.0,1.0,1.0,25.0,23.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,85.64,53.85,0.0,100.0,0.0,62.5,68.75,40.0,0.0,0.066245035610734,0.0,0.0,0.0,1.0,7.0,9.0,0.19734383,74.0,19.0,6.833333333333333,25.83333333333333,0.1666666666666666,2.333333333333333,1.8333333333333333,0.0,0.0,0.1666666666666666,0.1666666666666666,4.166666666666667,3.8333333333333335,1.8333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,85.64,53.85,0.0,100.0,0.0,62.5,68.75,40.0,0.0,0.0110408392684556,0.0,0.0,0.0,0.1666666666666666,1.1666666666666667,1.5,0.0328906383333333,12.333333333333334,CB,42,25,32,40,62,69,8,10,51,51,75,60,99,4,61,25,42,31,33,40,25,97,42,47,51,51,19,56,42,88,25,78,64,17,8,56,32,18,18,58,31,42,28,33,14,22,8,28,44,54,8,10,46,46,60,36,94,4,54,17,42,31,33,40,25,86,42,47,51,51,19,56,42,88,25,78,64,17,8,47,32,18,18,47,22,22,17,11,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,597piziedxtrw505e19cvdm95,M. Elia,Meschack Elia,29,Attacker,Congo DR,Striker,13.0,42.0,54.0,2.0,201.0,2.0,0.0,3.0,2.0,8.0,11.0,5.0,0.0,4.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,84.38,50.0,16.67,50.0,33.33,29.41,0.0,0.0,0.2343047447291716,0.1521140463460787,2.0,15.0,0.41852692,3.0,4.0,6.0,0.12541933,16.0,5.820895522388059,18.80597014925373,24.17910447761194,0.8955223880597015,0.8955223880597015,0.0,1.343283582089552,0.8955223880597015,3.582089552238806,4.925373134328358,2.238805970149253,0.0,1.791044776119403,3.134328358208955,1.791044776119403,0.0,0.4477611940298507,0.4477611940298507,0.4477611940298507,0.0,0.4477611940298507,0.4477611940298507,0.0,0.0,0.0,0.0,84.38,50.0,16.67,50.0,33.33,29.41,0.0,0.0,0.1049125722667932,0.0681107670206322,0.8955223880597015,6.716417910447761,0.1874001134328358,1.343283582089552,1.791044776119403,2.686567164179104,0.0561579089552238,7.164179104477612,LW,19,38,34,25,34,22,6,19,44,53,6,22,78,12,50,12,44,9,25,28,19,9,34,53,53,53,69,34,53,56,47,6,25,12,12,19,19,69,69,41,41,41,19,25,25,69,62,38,44,22,6,31,56,81,6,22,100,38,62,12,62,12,44,28,31,12,34,53,53,53,69,34,53,56,47,6,25,12,19,25,38,81,88,56,56,62,25,38,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,5wnt4q34ojngvtxturq18rvmd,Hwang Ui-Jo,Ui-Jo Hwang,34,Attacker,Korea Republic,Striker,20.0,30.0,50.0,1.0,276.0,2.0,2.0,6.0,3.0,7.0,7.0,9.0,2.0,1.0,6.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,75.76,50.0,0.0,42.86,16.67,37.5,40.0,0.0,0.5778822460400613,0.1102859906206842,2.0,1.0,0.02855202,3.0,6.0,7.0,0.1429772899999999,19.0,6.521739130434782,9.782608695652174,16.304347826086957,0.3260869565217391,0.6521739130434783,0.6521739130434783,1.9565217391304344,0.9782608695652172,2.282608695652174,2.282608695652174,2.934782608695652,0.6521739130434783,0.3260869565217391,1.9565217391304344,0.9782608695652172,0.0,0.0,0.9782608695652172,0.6521739130434783,0.0,0.3260869565217391,1.6304347826086956,0.0,0.0,0.0,0.0,75.76,50.0,0.0,42.86,16.67,37.5,40.0,0.0,0.1884398628391504,0.0359628230284839,0.6521739130434783,0.3260869565217391,0.0093104413043478,0.9782608695652172,1.9565217391304344,2.282608695652174,0.046623029347826,6.195652173913043,ST,46,46,54,9,45,25,14,7,55,54,18,45,54,4,59,14,27,64,48,16,9,57,34,52,52,52,61,34,27,59,14,25,36,14,14,14,43,12,16,70,73,70,36,55,79,64,79,11,61,25,36,14,64,64,25,61,64,4,64,14,27,86,71,16,11,71,34,52,52,52,61,34,27,59,14,25,36,14,29,21,54,14,18,82,89,86,46,79,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,8v4sya2lts2dsaqs6rdebhhat,Paolo Fernandes,Paolo Fernandes,28,Midfielder,Spain,Midfielder,15.0,37.0,51.0,3.0,210.0,2.0,0.0,8.0,3.0,8.0,9.0,15.0,3.0,1.0,9.0,3.0,5.0,1.0,5.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,83.61,50.0,10.0,37.5,25.0,45.45,0.0,71.43,0.5686353400882348,0.2974237417464123,1.0,5.0,0.1476387,0.0,6.0,4.0,0.3993701499999999,28.0,6.428571428571428,15.857142857142856,21.85714285714285,1.2857142857142856,0.8571428571428571,0.0,3.4285714285714284,1.2857142857142856,3.4285714285714284,3.8571428571428568,6.428571428571428,1.2857142857142856,0.4285714285714285,3.8571428571428568,1.2857142857142856,2.142857142857143,0.4285714285714285,2.142857142857143,1.2857142857142856,0.4285714285714285,0.8571428571428571,2.142857142857143,0.0,0.0,0.0,0.0,83.61,50.0,10.0,37.5,25.0,45.45,0.0,71.43,0.2437008600378149,0.1274673178913195,0.4285714285714285,2.142857142857143,0.0632737285714285,0.0,2.571428571428571,1.7142857142857142,0.1711586357142856,12.0,RM/RCM,12,12,12,44,19,19,88,62,88,88,50,31,19,56,56,69,44,94,94,81,75,62,25,56,56,56,75,44,50,38,50,62,25,88,75,50,50,44,50,12,25,12,50,12,12,50,25,88,25,19,100,88,100,100,100,38,50,88,88,100,62,100,100,100,88,88,25,56,56,56,75,44,50,38,50,62,25,88,100,75,88,75,75,12,50,12,62,25,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,bbqgqyofv8u6dy6zke3cjmzmx,F. Aksoy,Fatih Aksoy,28,Defender,Türkiye,Defender,44.0,18.0,62.0,1.0,261.0,16.0,3.0,2.0,2.0,1.0,1.0,9.0,15.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,77.5,61.54,0.0,0.0,0.0,75.0,75.0,100.0,0.3644857362900822,0.083288017761583,0.0,2.0,0.03932202,0.0,4.0,3.0,0.10258684,34.0,15.172413793103448,6.206896551724138,21.379310344827587,0.3448275862068966,5.517241379310345,1.0344827586206895,0.6896551724137931,0.6896551724137931,0.3448275862068966,0.3448275862068966,3.103448275862069,5.172413793103448,1.7241379310344829,0.6896551724137931,0.0,1.0344827586206895,0.0,0.0,0.0,0.0,0.0,1.0344827586206895,0.0,0.0,0.0,0.0,77.5,61.54,0.0,0.0,0.0,75.0,75.0,100.0,0.1256847366517524,0.0287200061246837,0.0,0.6896551724137931,0.0135593172413793,0.0,1.3793103448275863,1.0344827586206895,0.0353747724137931,11.724137931034484,LB/LCB,16,7,5,18,93,48,41,61,18,16,14,82,64,27,14,32,16,20,27,41,20,50,39,50,52,52,18,86,16,14,20,100,89,95,68,18,20,16,14,14,20,16,9,23,45,5,9,27,95,68,45,73,23,23,27,91,73,36,14,50,16,20,27,41,20,68,39,50,52,52,18,86,16,14,20,100,89,95,95,23,20,23,14,14,27,18,9,23,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,btdiw5i7gt94ikdrhv91dgcus,B. Gezek,Baran Gezek,21,Midfielder,Türkiye,Midfielder,52.0,47.0,99.0,0.0,404.0,5.0,6.0,0.0,0.0,1.0,1.0,18.0,7.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,85.34,45.45,0.0,100.0,0.0,60.0,85.71,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.584158415841584,10.47029702970297,22.054455445544555,0.0,1.113861386138614,1.3366336633663367,0.0,0.0,0.2227722772277227,0.2227722772277227,4.00990099009901,1.5594059405940597,0.8910891089108911,0.0,0.2227722772277227,0.4455445544554455,0.0,0.0,0.0,0.0,0.0,0.6683168316831684,0.0,0.0,0.0,0.0,85.34,45.45,0.0,100.0,0.0,60.0,85.71,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,13,17,11,4,19,90,7,16,16,14,40,63,44,9,30,23,33,13,23,41,20,24,40,51,51,51,46,19,33,91,20,81,97,11,7,6,17,4,4,10,3,3,3,3,6,6,6,4,14,86,7,16,11,11,43,77,40,9,31,20,33,13,23,41,20,26,40,51,51,51,46,19,33,91,20,81,97,11,7,6,17,4,4,10,3,3,3,3,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,bv9ejevyrwdqc1j5rw4tkiy1h,F. Hadërgjonaj,Florent Hadërgjonaj,32,Defender,Kosovo,Defender,63.0,111.0,157.0,16.0,540.0,18.0,8.0,1.0,0.0,2.0,3.0,16.0,13.0,2.0,3.0,2.0,3.0,17.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,74.41,45.0,32.69,100.0,0.0,53.33,72.73,75.0,0.0492809810965786,1.8095445854909653,0.0,2.0,0.11090316,2.0,23.0,38.0,1.6572299800000003,90.0,10.5,18.5,26.166666666666668,2.6666666666666665,3.0,1.3333333333333333,0.1666666666666666,0.0,0.3333333333333333,0.5,2.6666666666666665,2.1666666666666665,0.3333333333333333,0.5,0.3333333333333333,0.5,2.833333333333333,0.1666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,74.41,45.0,32.69,100.0,0.0,53.33,72.73,75.0,0.0082134968494297,0.3015907642484942,0.0,0.3333333333333333,0.01848386,0.3333333333333333,3.8333333333333335,6.333333333333333,0.2762049966666667,15.0,RB/RCB,12,90,50,100,75,72,18,12,42,52,25,40,10,40,52,28,100,62,35,42,22,32,98,48,52,52,15,40,85,95,22,40,85,85,10,100,30,32,50,50,88,95,100,60,8,85,20,100,70,62,12,12,35,52,15,35,5,35,52,18,100,55,35,42,22,25,95,48,52,52,15,40,85,95,22,40,85,85,10,100,30,22,50,42,88,95,100,35,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,c7ktjbc3jqj8kiwc8ru6sat5g,Ruan,Ruan Pereira Duarte,21,Attacker,Brazil,Striker,44.0,58.0,101.0,1.0,492.0,5.0,3.0,10.0,7.0,9.0,10.0,22.0,6.0,8.0,13.0,3.0,4.0,1.0,3.0,3.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,82.79,50.0,100.0,33.33,40.0,47.83,75.0,50.0,1.0100207157131815,0.1843737523506573,3.0,7.0,0.17250154,2.0,12.0,15.0,0.4823325599999999,56.0,8.048780487804878,10.609756097560975,18.47560975609756,0.1829268292682926,0.9146341463414634,0.5487804878048781,1.829268292682927,1.2804878048780488,1.646341463414634,1.829268292682927,4.024390243902439,1.0975609756097562,1.4634146341463414,2.3780487804878048,0.5487804878048781,0.7317073170731707,0.1829268292682926,0.5487804878048781,0.5487804878048781,0.1829268292682926,0.7317073170731707,1.4634146341463414,0.1829268292682926,0.0,0.0,0.0,82.79,50.0,100.0,33.33,40.0,47.83,75.0,50.0,0.1847598870207039,0.0337269059178031,0.5487804878048781,1.2804878048780488,0.0315551597560975,0.3658536585365853,2.1951219512195124,2.74390243902439,0.0882315658536585,10.24390243902439,LW,94,62,75,9,69,78,81,88,56,44,78,100,100,69,31,81,44,59,72,69,84,75,78,53,53,53,56,34,100,12,66,59,97,38,75,31,41,34,19,19,84,84,62,88,75,25,44,6,50,69,38,69,19,25,38,100,88,12,12,44,31,19,62,56,56,56,69,53,53,53,56,34,100,12,66,59,97,38,62,12,6,6,6,6,81,69,44,81,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,c7uxn96yuy4m7s2ibr80hgc4q,İ. Kaya,Ibrahim Kaya,25,Attacker,Türkiye,Striker,12.0,25.0,37.0,4.0,250.0,3.0,5.0,6.0,3.0,5.0,5.0,22.0,2.0,0.0,10.0,2.0,3.0,0.0,3.0,4.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,71.15,75.0,0.0,40.0,16.67,59.46,50.0,75.0,0.4080903487665842,0.3135706831338319,5.0,6.0,0.20841711,3.0,0.0,2.0,0.08411207,6.0,4.32,9.0,13.32,1.44,1.08,1.8,2.16,1.08,1.8,1.8,7.92,0.72,0.0,3.6,0.72,1.08,0.0,1.08,1.44,0.0,0.36,3.96,0.0,0.0,0.0,0.0,71.15,75.0,0.0,40.0,16.67,59.46,50.0,75.0,0.1469125255559703,0.1128854459281794,1.8,2.16,0.0750301596,1.08,0.0,0.72,0.0302803452,2.16,LW,12,12,6,44,53,94,47,34,16,9,78,66,12,38,12,56,16,59,84,28,19,97,34,53,53,53,12,81,16,31,22,94,81,66,44,38,78,22,31,41,6,12,6,6,12,6,6,50,62,100,62,44,31,19,100,62,12,56,25,75,16,69,88,28,25,100,34,53,53,53,12,81,16,31,22,94,81,66,50,44,94,25,38,44,6,12,6,6,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,eyllkbdemtx2seh48r9l3czbp,G. Makouta,Gaïus Makouta,29,Midfielder,Congo,Midfielder,85.0,104.0,188.0,6.0,528.0,10.0,12.0,6.0,4.0,8.0,8.0,27.0,7.0,4.0,8.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,85.84,50.0,33.33,50.0,33.33,64.29,85.71,66.67,0.6443282805086272,0.617085263949349,1.0,18.0,0.4975295499999999,9.0,16.0,18.0,0.6541569499999997,98.0,14.488636363636363,17.72727272727273,32.04545454545455,1.0227272727272727,1.7045454545454546,2.0454545454545454,1.0227272727272727,0.6818181818181819,1.3636363636363638,1.3636363636363638,4.602272727272728,1.1931818181818183,0.6818181818181819,1.3636363636363638,0.6818181818181819,0.6818181818181819,0.1704545454545454,0.3409090909090909,0.0,0.3409090909090909,0.3409090909090909,0.8522727272727273,0.0,0.0,0.0,0.0,85.84,50.0,33.33,50.0,33.33,64.29,85.71,66.67,0.1098286841776069,0.1051849881731845,0.1704545454545454,3.0681818181818183,0.0848061732954545,1.5340909090909092,2.7272727272727275,3.0681818181818183,0.1115040255681817,16.704545454545457,DM/CM,43,69,60,79,33,100,79,97,96,96,89,63,44,94,83,43,73,64,23,99,83,51,40,51,51,51,54,29,80,40,67,93,97,77,91,86,49,99,100,100,50,61,91,63,23,43,29,69,23,100,77,91,89,83,60,49,17,86,77,26,69,63,23,94,80,37,40,51,51,51,54,29,80,40,67,93,97,77,89,80,34,97,100,97,29,31,83,31,Süper Lig
